,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.03,1.03,0.81,0.87,0.49,0.13,0.77,0.74,0.76,0.65,0.74,0.51,0.65,0.66,0.61,0.57,1.47,1.32,0.37,0.17,0.28,0.51,0.73,0.4,0.34,0.77,0.81,1.09,0.91,0.85
mist_0,1.45,1.27,1.45,1.7,1.25,,2.17,0.75,3.91,1.05,0.73,0.96,0.59,0.92,0.7,,1.24,0.49,0.67,0.76,0.52,0.91,,1.01,0.93,,,1.39,1.25,1.06
overcast clouds_2,1.22,1.27,1.77,0.8,,,1.12,0.72,0.74,0.89,0.59,0.84,0.89,0.73,,0.75,,0.59,0.57,,,0.78,,0.79,0.81,,,1.28,1.09,1.02
broken clouds_0,1.27,1.23,1.08,0.72,0.69,,0.94,0.91,0.68,0.72,0.86,0.93,0.59,0.65,0.79,0.7,0.82,0.59,0.59,0.83,1.22,0.43,0.55,0.44,0.46,0.58,0.23,1.33,1.11,1.03
light rain_0,1.47,1.34,2.17,0.75,1.09,,1.9,0.8,2.49,1.0,0.74,1.01,0.66,0.9,0.65,0.86,1.63,0.52,0.47,1.73,0.53,0.68,1.35,1.02,0.96,,0.52,1.48,1.34,1.13
overcast clouds_1,1.6,1.63,1.62,0.91,1.12,,1.01,1.42,0.71,0.75,1.04,0.79,0.72,0.69,0.97,0.99,,0.86,1.21,0.95,0.94,0.57,,0.51,0.83,,,1.53,1.3,1.21
few clouds_1,1.38,1.22,1.08,0.81,0.85,0.36,0.96,1.56,0.74,0.88,2.2,0.98,0.7,0.84,0.71,0.36,0.56,0.87,0.42,0.63,,0.49,0.8,0.49,0.66,1.53,,1.37,1.17,1.09
overcast clouds_0,1.4,1.3,1.2,0.66,0.84,,1.06,1.05,0.79,0.79,0.9,0.83,0.7,0.74,0.75,0.77,,0.77,0.9,0.72,0.58,0.57,0.56,0.62,0.7,0.23,0.23,1.44,1.21,1.11
light intensity drizzle_0,1.53,1.46,2.95,0.99,,,2.16,0.9,,1.45,0.8,1.34,1.75,1.04,0.7,,,0.57,0.77,1.23,0.53,0.69,,1.16,,,,1.66,1.43,1.23
broken clouds_1,1.76,1.54,1.28,1.03,0.68,,1.37,,0.91,0.93,0.57,0.89,1.82,0.72,,0.67,,,0.63,,,1.42,0.48,1.21,0.92,,,1.57,1.33,1.24
overcast clouds_3,1.34,1.48,,0.91,,,1.18,0.51,,0.67,0.7,,0.81,,,,0.67,,,,,0.51,,0.37,,,,1.7,1.44,1.34
moderate rain_0,2.16,1.42,2.68,,,,2.26,0.96,3.37,1.07,0.95,1.07,0.66,1.24,1.01,,,0.67,0.75,1.12,0.8,1.41,,1.36,,,,1.8,1.68,1.47
scattered clouds_1,1.63,1.34,1.0,1.83,1.04,,1.28,0.81,1.19,0.86,0.89,0.53,1.24,0.84,0.92,0.88,,1.0,0.66,,,0.49,1.56,0.57,0.62,0.75,,1.68,1.42,1.33
haze_0,1.92,1.84,1.43,1.71,,,5.56,0.99,,1.94,0.89,1.84,1.56,1.42,0.97,,,0.57,,0.63,0.38,1.66,,1.96,,,,1.94,1.48,1.38
mist_3,1.63,1.62,0.71,,,,0.76,1.3,,1.11,1.99,,,0.44,1.69,,,0.88,,,,0.34,,0.46,,,,1.75,1.71,1.38
drizzle_0,1.92,1.22,3.19,,,,,1.07,,1.45,0.97,4.31,,1.3,0.91,,,0.66,,2.19,0.66,,,,,,,2.1,2.06,1.48
scattered clouds_0,1.65,1.62,1.07,0.91,0.86,,1.4,0.78,1.05,1.01,1.36,1.08,0.91,0.97,1.37,0.67,1.25,,1.08,0.93,,0.72,1.05,0.53,1.08,0.59,0.4,1.71,1.45,1.35
few clouds_2,1.7,1.75,1.61,1.25,,,1.23,,4.79,1.18,0.62,,1.52,1.76,,1.17,,,0.35,,,0.55,0.62,0.44,,,,1.79,1.51,1.41
few clouds_0,1.65,1.59,1.32,1.31,1.26,,1.29,0.95,0.78,0.94,0.89,0.98,1.26,0.84,0.7,0.86,1.25,0.76,0.66,0.36,,0.77,1.29,0.7,,,,1.85,1.51,1.41
scattered clouds_2,1.8,1.92,1.5,1.17,1.42,,1.65,1.22,0.86,1.07,1.24,0.92,0.79,0.94,,0.86,,,0.92,,,0.59,,,0.61,,,1.89,1.6,1.49
