,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.99,0.57,0.9,0.94,1.77,0.67,0.77,1.11,0.87,0.38,0.56,0.54,0.63,0.52,0.4,1.06,1.22,1.09,0.94,0.9,0.61,0.16,1.22,1.18,1.05
mist_0,1.52,1.01,3.36,1.0,0.98,1.13,0.63,1.39,0.99,,0.74,0.7,,,0.65,,1.6,1.28,1.39,0.67,,,1.53,1.78,1.46
overcast clouds_2,1.49,0.68,0.99,1.19,0.7,0.69,1.05,1.04,,1.36,,3.56,,1.47,,,1.45,1.23,1.51,0.96,,,1.73,1.04,1.24
broken clouds_0,1.01,1.24,0.93,0.98,1.14,1.29,0.81,0.92,1.24,0.89,0.7,0.72,,0.6,0.41,0.58,1.5,1.33,1.2,0.69,0.64,,1.51,1.37,1.26
light rain_0,1.22,1.07,2.11,1.09,1.0,1.19,0.78,1.33,0.92,0.84,0.39,1.3,,0.73,0.69,,1.74,1.32,1.88,,,,1.7,1.81,1.58
overcast clouds_1,1.07,1.48,1.01,0.84,1.19,1.04,0.7,0.78,1.06,1.34,1.78,0.74,,0.54,,,1.39,1.7,1.4,0.91,,,1.74,1.56,1.45
few clouds_1,1.22,1.32,0.72,1.09,1.21,1.06,0.97,0.86,0.6,,0.67,0.65,1.09,0.82,0.89,,1.55,1.41,1.09,0.85,1.52,0.78,1.61,1.17,1.3
overcast clouds_0,1.01,1.31,0.82,1.01,1.07,1.18,1.16,1.0,0.99,1.27,0.84,0.97,0.35,0.78,0.95,,1.54,1.44,1.31,0.76,0.52,,1.65,1.46,1.41
light intensity drizzle_0,1.76,1.15,,1.42,1.1,1.31,,1.51,1.02,,0.62,,,,,,1.72,1.17,2.73,,,,1.92,1.99,1.77
broken clouds_1,2.21,,0.88,1.09,1.03,0.57,,0.61,,1.0,0.72,1.78,1.0,1.32,1.63,,1.53,1.99,1.12,2.3,1.4,,1.8,1.68,1.59
overcast clouds_3,,0.84,,,0.95,,0.47,,,,,0.43,,,,,,1.79,,0.86,,,2.2,1.49,1.68
moderate rain_0,,1.35,1.88,0.91,1.39,1.61,1.21,1.93,1.44,,,,,,,,2.62,1.69,2.19,,,,2.1,2.36,2.22
scattered clouds_1,1.78,1.11,2.69,1.35,1.8,0.58,1.22,1.11,1.62,0.76,1.0,0.68,1.32,0.93,,,1.77,1.59,1.21,2.0,1.31,,1.8,1.62,1.78
haze_0,,1.46,,0.96,1.26,2.4,,1.97,2.8,,,1.0,,,,,2.31,1.88,1.63,1.35,,,2.53,1.58,1.94
mist_3,,1.48,,0.89,1.76,,,0.72,1.58,,,0.61,,,,,2.19,,0.94,,,,2.43,2.69,1.94
drizzle_0,,1.46,,2.15,1.37,2.86,,2.5,1.36,,,,,,,,2.18,1.63,3.05,,,,2.41,2.69,2.13
