,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,scattered clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.95,0.75,0.87,0.85,0.83,0.6,0.88,0.87,0.69,0.69,0.51,0.76,0.61,0.95,0.43,1.1,1.1,0.83,1.05,0.61,1.14,1.05,1.01
mist_0,,1.02,,1.21,1.0,1.16,,1.2,1.01,,,,,,,1.48,1.16,1.47,,,1.42,1.38,1.23
overcast clouds_2,1.31,0.75,1.0,1.21,0.67,1.06,1.14,0.99,,0.97,0.8,1.13,1.2,,,1.25,1.32,1.61,0.94,,1.34,1.23,1.19
broken clouds_0,1.11,0.9,0.75,0.98,0.99,1.16,0.75,0.92,0.91,0.9,0.82,0.69,0.69,,,1.33,1.25,1.11,0.82,0.8,1.37,1.24,1.19
light rain_0,,1.06,,1.18,1.03,1.24,,1.19,0.94,,,,,,,1.52,1.23,2.08,,,1.51,1.46,1.29
overcast clouds_1,1.12,1.56,0.78,0.98,1.25,1.1,0.85,0.93,1.21,,,0.78,0.76,,,1.61,1.63,1.57,,,1.55,1.42,1.37
few clouds_1,1.11,,0.78,1.13,,1.17,0.98,1.13,,,,0.76,0.73,,0.91,1.41,1.26,1.05,0.96,,1.4,1.29,1.25
overcast clouds_0,1.21,1.16,0.85,1.04,1.07,0.99,0.91,1.01,0.91,0.96,,0.86,0.88,,,1.44,1.27,1.25,,,1.46,1.33,1.27
light intensity drizzle_0,,1.15,,1.66,1.09,,,1.35,1.02,,,,,,,1.57,1.25,,,,1.65,1.54,1.39
broken clouds_1,1.54,,1.01,1.22,,,,0.94,,1.0,0.88,,,,,1.75,1.59,,1.15,,1.58,1.45,1.4
overcast clouds_3,1.19,,,,0.91,,1.0,,,,,0.77,,,,,1.57,,1.09,,1.69,1.55,1.5
moderate rain_0,,1.25,,,1.28,,,,1.4,,,,,,,2.08,,,,,1.78,1.76,1.62
scattered clouds_1,1.47,,,1.13,,,,1.11,,,1.0,,0.88,,,1.63,1.36,,,,1.67,1.54,1.49
mist_3,,1.57,,,,,,,,,,,,,,1.64,,,,,1.73,1.79,1.53
drizzle_0,,1.38,,,1.31,,,,1.3,,,,,,,1.9,,,,,2.01,2.09,1.62
haze_0,,1.27,,,,,,,,,,,,,,1.76,,,,,1.88,1.59,1.53
scattered clouds_0,1.55,,,1.3,,,,1.31,,,,,,,,1.64,1.61,,,,1.68,1.55,1.49
few clouds_0,1.47,,,1.24,,,,,,,,,,,,1.6,1.58,,,,1.81,1.62,1.56
few clouds_2,1.43,,,1.53,,,,,,,,,,1.0,,1.72,1.81,,,,1.76,1.62,1.56
scattered clouds_2,,,,,,,,,,,,,,,,1.8,,,,,1.84,1.7,1.64
mist_1,,1.28,,,1.22,,,,,,,,,,,,,,,,1.92,,
fog_0,,,,,,,,,,,,,,,,,,,,,1.9,,
mist_4,,,,,,,,,,,,,,,,,,,,,1.9,1.74,1.68
scattered clouds_3,,,,,,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,,,,,
temp_4,0.88,0.74,0.97,0.79,0.74,0.82,0.66,0.73,0.68,0.52,0.59,0.48,0.55,0.49,0.78,1.0,0.85,1.04,0.82,0.79,1.06,0.96,0.91
temp_3,0.89,0.89,0.7,0.73,0.81,0.76,0.71,0.76,1.06,0.68,0.73,0.61,0.58,0.47,0.6,1.15,1.03,1.17,0.72,,1.11,1.05,0.99
temp_5,1.15,0.81,1.08,1.1,0.8,0.87,0.94,0.93,0.69,1.05,,1.12,1.36,,0.49,1.19,1.6,0.98,,0.7,1.17,1.18,1.08
temp_2,1.2,,1.17,1.18,,1.09,1.07,1.24,0.78,1.16,0.56,0.99,0.76,0.97,0.67,1.38,1.28,,1.0,,1.38,1.27,1.21
temp_6,1.19,,,0.91,,,0.85,,,,,,,,,1.37,,1.17,,0.89,1.4,1.29,1.24
temp_7,,,,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.85,0.78,0.79,0.72,0.78,0.67,0.67,0.74,0.76,0.59,0.56,0.61,0.57,0.58,0.58,1.03,0.94,0.92,0.76,0.65,1.01,0.96,0.91
traffic_volume_0,0.91,0.77,0.9,0.87,0.75,0.85,0.76,0.81,0.65,0.71,0.65,0.61,0.62,0.61,0.52,1.07,1.0,0.95,0.77,0.63,1.09,1.01,0.96
traffic_volume_1,1.02,0.79,0.88,0.9,0.74,0.95,0.75,0.76,0.76,0.72,0.67,0.6,0.69,0.56,0.59,1.09,1.01,1.01,0.77,0.68,1.19,1.08,1.0
