,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.53,0.36,0.88,1.43,1.1,0.68,1.33,1.43,0.63,0.39,0.98,1.08,1.01,1.28,0.59,0.86,1.29,1.14,0.95,1.26,1.04,0.28,1.28,1.38,1.42
mist_0,0.73,1.83,2.29,0.87,1.87,1.33,0.36,1.97,2.11,,0.51,0.62,,,0.43,,1.46,0.95,1.26,0.26,,,1.41,1.75,1.76
overcast clouds_2,1.58,0.66,1.8,2.11,0.85,0.88,1.41,1.87,,1.82,,3.91,,2.75,,,1.31,1.15,1.16,1.0,,,1.59,1.12,1.56
broken clouds_0,1.15,0.83,1.01,1.71,1.28,1.79,1.13,1.6,1.3,1.26,1.2,1.53,,1.23,0.54,0.89,1.41,1.15,1.15,0.72,0.81,,1.43,1.43,1.5
light rain_0,0.62,1.81,1.66,1.14,1.88,1.54,0.45,1.99,2.0,0.42,0.3,1.0,,0.47,0.49,,1.61,0.95,1.55,,,,1.48,1.77,1.83
overcast clouds_1,1.0,1.69,0.98,1.32,1.72,1.98,0.83,1.14,1.52,1.3,2.54,1.12,,0.96,,,1.19,1.53,1.17,0.58,,,1.58,1.5,1.68
few clouds_1,1.47,0.96,0.64,1.6,0.79,1.12,1.81,1.13,0.45,,1.01,1.42,1.32,1.61,0.96,,1.33,1.36,0.92,1.1,1.78,1.08,1.44,1.11,1.51
overcast clouds_0,0.87,1.37,0.83,1.64,1.35,1.48,1.36,1.77,1.38,1.74,1.06,1.81,0.34,1.04,1.26,,1.34,1.12,1.27,0.67,0.47,,1.48,1.46,1.6
light intensity drizzle_0,0.92,1.82,,1.41,1.99,1.5,,2.12,2.14,,0.46,,,,,,1.57,0.6,2.08,,,,1.56,1.83,1.89
broken clouds_1,2.07,,0.88,1.58,0.78,0.49,,0.82,,2.25,1.15,3.39,1.3,1.93,1.89,,1.08,1.78,0.83,2.1,1.34,,1.5,1.57,1.81
overcast clouds_3,,0.65,,,1.45,,0.34,,,,,0.59,,,,,,1.78,,0.71,,,1.55,1.39,1.86
moderate rain_0,,2.12,0.99,0.67,2.35,1.68,0.66,2.7,2.68,,,,,,,,1.94,1.16,1.7,,,,1.69,1.99,2.16
scattered clouds_1,1.89,0.72,1.65,1.83,1.39,0.56,1.37,1.33,1.5,0.92,2.15,1.13,1.74,2.04,,,1.47,1.35,0.75,2.26,1.29,,1.45,1.47,1.84
haze_0,,2.16,,0.57,1.66,2.33,,1.87,3.36,,,0.88,,,,,1.33,1.34,1.48,0.71,,,1.87,1.34,1.92
mist_3,,1.89,,0.85,1.84,,,0.83,1.99,,,1.01,,,,,1.79,,0.77,,,,1.82,2.2,1.92
drizzle_0,,2.25,,1.76,2.35,2.26,,3.06,2.64,,,,,,,,1.82,0.79,1.96,,,,1.69,2.2,2.12
scattered clouds_0,1.76,0.49,,1.75,0.58,1.39,1.54,1.56,,0.81,1.48,1.53,1.93,1.54,0.93,0.97,1.64,1.63,0.56,1.22,0.58,,1.5,1.94,1.75
few clouds_2,1.98,,,4.48,,,1.69,2.27,,0.53,0.5,0.46,2.63,1.7,,,0.96,1.98,0.4,2.47,,,1.64,2.32,1.87
few clouds_0,1.88,,0.66,2.18,0.75,1.72,2.06,1.23,,0.69,1.55,2.39,1.25,1.8,,,1.42,1.46,1.14,2.03,,,1.52,1.79,1.75
scattered clouds_2,1.7,1.17,,2.14,2.28,,1.27,1.97,,0.7,,1.51,,,2.72,,1.35,1.38,1.62,1.14,2.75,,1.66,0.9,1.56
mist_1,,1.87,1.1,,1.47,2.53,,,1.82,,,,,,,,1.1,0.89,1.94,,,,1.9,1.83,1.89
fog_0,,2.41,,0.75,3.27,,1.58,1.45,2.17,,,,,,,,1.32,0.59,1.4,,,,1.67,2.45,2.29
