,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,scattered clouds_0,mist_3,drizzle_0,haze_0,few clouds_2,few clouds_0,mist_1,scattered clouds_2,fog_0,mist_4,scattered clouds_3,broken clouds_2,heavy snow_0,proximity thunderstorm_0,fog_2,heavy intensity rain_0,heavy snow_1,proximity shower rain_0,snow_0,heavy intensity drizzle_0,proximity thunderstorm with rain_0,thunderstorm with light rain_0,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.85,,,0.86,,,0.72,,,,,,0.53,0.6,,,,,0.45,,,,,,,,,,,,,,,,,1.35,1.19,1.19,0.83,0.57,,1.14,1.27,0.96
mist_0,,0.81,,,0.76,,,,0.78,,,0.52,,,,0.59,0.71,,,,,,,,,,,,,,,,,,,1.67,1.56,1.41,,,,1.48,1.85,1.39
overcast clouds_2,,,0.78,0.92,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.38,1.7,,,,2.05,0.94,1.04
broken clouds_0,1.0,,,0.81,,1.29,0.78,0.76,,,,,,0.58,,,,,0.54,,,,,,,,,,,,,,,,,1.78,1.55,1.29,,,,1.52,1.56,1.26
light rain_0,,0.89,,,0.82,,,,0.72,,,0.59,,,,0.62,,,,,,,,,,,,,,,,,,,,1.84,1.67,1.71,,,,1.7,2.13,1.75
overcast clouds_1,,1.42,,0.83,1.24,0.79,,0.84,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,1.65,1.77,,,,2.08,1.48,1.69
few clouds_1,1.17,,,1.2,,,0.78,0.97,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,1.66,1.59,1.6,,,,2.04,1.16,1.13
overcast clouds_0,,,,0.91,0.93,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.75,1.26,,,,1.73,1.93,1.8
light intensity drizzle_0,,0.94,,,0.93,,,,0.79,,,0.66,,,,0.6,,,,,,,,,,,,,,,,,,,,1.78,,,,,,2.01,2.18,1.83
broken clouds_1,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.88,,,,,2.1,1.77,1.68
overcast clouds_3,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,1.56,1.72
moderate rain_0,,1.14,,,1.07,,,,1.22,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,2.16,,
scattered clouds_1,1.73,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,2.24,,
scattered clouds_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,
mist_3,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,2.63,,
drizzle_0,,1.21,,,1.12,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,,,,
haze_0,,1.24,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
few clouds_2,1.83,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,2.29,,
few clouds_0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
