,sky is clear_0,overcast clouds_2,broken clouds_0,overcast clouds_1,few clouds_1,overcast clouds_0,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.99,0.93,0.98,0.71,0.82,1.18,0.62,0.61,0.59,0.72,1.16,1.06,0.94,0.95,0.67,1.15,1.15,1.03
mist_0,,,,1.16,,1.44,,,,,1.47,1.19,1.34,,,1.4,1.67,1.38
overcast clouds_2,1.44,0.99,1.2,0.7,1.08,1.07,,,,,1.33,1.14,1.46,0.97,,1.58,0.97,1.17
broken clouds_0,0.97,0.92,0.98,1.31,0.82,0.94,0.75,0.78,0.65,,1.36,1.23,1.15,,,1.36,1.27,1.18
light rain_0,,,1.09,1.2,,1.35,,,,,1.57,1.21,1.79,,,1.53,1.67,1.48
overcast clouds_1,1.01,0.99,0.83,1.04,,0.79,,,,,1.25,1.54,1.32,,,1.55,1.43,1.34
few clouds_1,1.14,,1.07,,0.97,0.86,,0.69,0.88,,1.39,1.28,1.03,0.84,,1.43,1.06,1.2
overcast clouds_0,0.95,,0.99,1.18,,1.0,,1.02,,,1.37,1.3,1.22,,,1.46,1.33,1.3
light intensity drizzle_0,,,,,,,,,,,1.51,,,,,1.68,1.79,1.61
broken clouds_1,,,1.04,,,,,,,,1.33,1.76,,,,1.55,1.49,1.43
overcast clouds_3,,,,,,,,,,,,1.57,,,,1.89,1.32,1.5
moderate rain_0,,,,,,,,,,,2.24,,,,,1.78,2.06,1.96
scattered clouds_1,1.6,,1.27,,,,1.0,,,,1.51,1.38,,,,1.52,1.41,1.56
mist_3,,,,,,,,,,,1.85,,,,,2.03,,1.69
drizzle_0,,,,,,,,,,,1.84,,,,,2.02,,1.86
haze_0,,,,,,,,,,,,,,,,2.12,1.36,1.69
scattered clouds_0,1.5,,1.16,,,,,,,,1.81,1.75,,,,1.59,1.89,1.45
few clouds_0,1.47,,1.4,,,,,,,,1.54,1.51,,,,1.65,1.75,1.47
few clouds_2,1.47,,,,,,,,,1.0,,1.88,,,,1.71,,1.56
scattered clouds_2,,,,,,,,,,,,,,,,1.77,,
mist_1,,,,,,,,,,,,,,,,,,
fog_0,,,,,,,,,,,,,,,,,,
mist_4,,,,,,,,,,,,,,,,,,1.68
scattered clouds_3,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,
temp_4,0.9,0.9,0.74,0.98,0.71,0.71,0.58,0.48,0.53,0.66,1.0,0.84,1.14,0.85,0.74,1.1,0.94,0.93
temp_3,0.88,0.72,0.76,0.76,0.72,0.79,0.86,0.54,0.61,0.4,1.24,1.02,,0.67,,1.13,1.11,1.04
temp_5,1.01,0.99,0.89,0.68,0.89,1.03,,,0.88,,1.14,,0.99,,0.7,1.21,1.16,1.13
temp_2,1.16,,1.29,,1.13,1.36,,0.94,0.7,0.67,1.27,1.19,,1.0,,1.23,1.77,1.23
temp_6,1.19,,,,,,,,,,1.38,,1.0,,0.88,1.4,0.98,1.13
temp_7,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.86,0.68,0.73,0.69,0.58,0.74,0.51,0.76,0.7,0.61,0.99,0.99,0.8,0.98,0.47,1.0,1.13,0.95
traffic_volume_0,0.85,0.99,0.85,0.97,0.89,0.9,0.64,0.46,0.47,0.52,1.09,0.88,1.07,0.55,0.83,1.19,1.0,0.99
traffic_volume_1,1.0,1.09,0.78,0.83,0.83,0.79,0.8,0.52,0.58,0.59,1.17,1.02,1.1,0.69,,1.19,0.81,1.0
