,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.95,0.96,0.78,0.87,0.51,0.14,0.74,0.73,0.76,0.65,0.74,0.52,0.66,0.67,0.63,0.59,1.52,1.38,0.39,0.18,0.3,0.54,0.78,0.43,0.36,0.84,0.97,1.0,0.86,0.8
mist_0,1.28,1.14,1.34,1.63,1.24,,2.0,0.72,3.71,1.01,0.7,0.93,0.57,0.9,0.69,,1.23,0.49,0.68,0.77,0.53,0.92,,1.03,0.96,,,1.22,1.13,0.97
overcast clouds_2,1.08,1.13,1.63,0.76,,,1.03,0.68,0.7,0.85,0.56,0.81,0.86,0.71,,0.74,,0.59,0.57,,,0.79,,0.8,0.84,,,1.13,0.98,0.92
broken clouds_0,1.11,1.09,0.98,0.68,0.67,,0.85,0.85,0.64,0.68,0.82,0.89,0.56,0.63,0.76,0.68,0.8,0.58,0.59,0.83,1.22,0.44,0.56,0.44,0.47,0.6,0.27,1.16,0.99,0.92
light rain_0,1.28,1.18,1.97,0.7,1.06,,1.73,0.75,2.33,0.94,0.7,0.96,0.63,0.86,0.62,0.83,1.6,0.51,0.46,1.72,0.53,0.68,1.35,1.02,0.97,,0.59,1.28,1.19,1.0
overcast clouds_1,1.38,1.42,1.45,0.85,1.08,,0.9,1.3,0.65,0.7,0.97,0.74,0.68,0.65,0.92,0.96,,0.84,1.19,0.94,0.93,0.56,,0.51,0.84,,,1.31,1.13,1.07
few clouds_1,1.19,1.06,0.97,0.75,0.82,0.38,0.86,1.43,0.68,0.81,2.05,0.92,0.66,0.79,0.68,0.34,0.54,0.85,0.41,0.62,,0.48,0.79,0.49,0.66,1.55,,1.17,1.02,0.96
overcast clouds_0,1.2,1.12,1.07,0.61,0.81,,0.94,0.96,0.72,0.73,0.84,0.77,0.66,0.69,0.71,0.73,,0.75,0.87,0.71,0.57,0.56,0.55,0.61,0.7,0.23,0.26,1.22,1.05,0.97
light intensity drizzle_0,1.29,1.25,2.59,0.9,,,1.9,0.81,,1.31,0.73,1.23,1.61,0.96,0.65,,,0.54,0.74,1.19,0.51,0.67,,1.13,,,,1.39,1.22,1.06
broken clouds_1,1.46,1.29,1.1,0.92,0.63,,1.18,,0.81,0.83,0.51,0.8,1.65,0.66,,0.62,,,0.59,,,1.35,0.46,1.16,0.89,,,1.29,1.12,1.05
