,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.15,1.13,0.84,1.01,0.55,0.13,0.95,0.72,0.84,0.81,0.79,0.56,0.83,0.81,0.64,0.63,1.11,0.92,0.46,0.16,0.2,0.68,0.84,0.54,0.37,0.61,0.78,1.21,1.08,1.03
mist_0,1.61,1.25,1.52,1.16,0.79,,1.95,1.02,3.52,1.2,0.99,1.13,0.55,1.16,0.97,,0.78,0.72,0.6,1.03,0.74,0.91,,1.1,0.65,,,1.56,1.48,1.3
overcast clouds_2,1.36,1.42,1.67,0.93,,,1.36,0.75,1.0,1.2,0.66,1.04,1.11,0.96,,0.91,,0.62,0.74,,,1.04,,1.09,0.89,,,1.47,1.31,1.25
broken clouds_0,1.46,1.36,1.16,0.82,0.77,,1.16,0.91,0.75,0.98,0.98,1.14,0.74,0.9,0.88,0.86,0.58,0.58,0.77,0.88,1.04,0.64,0.62,0.63,0.54,0.64,0.29,1.52,1.34,1.27
light rain_0,1.67,1.33,2.18,0.58,0.84,,1.81,1.07,2.3,1.19,1.03,1.23,0.6,1.17,0.92,0.73,1.18,0.77,0.42,1.95,0.8,0.75,1.04,1.09,0.84,,0.55,1.68,1.58,1.39
overcast clouds_1,1.8,1.79,1.67,0.88,1.07,,1.18,1.6,0.8,1.0,1.26,1.1,0.85,0.92,1.19,1.01,,1.06,1.45,1.1,1.16,0.74,,0.71,0.88,,,1.74,1.56,1.48
few clouds_1,1.57,1.39,1.11,0.98,0.96,0.39,1.18,1.52,0.8,1.14,2.01,1.17,0.98,1.13,0.73,0.39,0.5,0.83,0.51,0.67,,0.71,0.89,0.69,0.84,1.67,,1.58,1.41,1.35
overcast clouds_0,1.62,1.4,1.33,0.72,0.94,,1.29,1.2,0.87,1.06,1.09,1.0,0.91,1.01,0.9,0.93,,0.89,1.08,0.8,0.65,0.82,0.62,0.83,0.83,0.23,0.32,1.65,1.46,1.38
light intensity drizzle_0,1.78,1.39,2.93,0.92,,,2.08,1.2,,1.71,1.11,1.56,1.5,1.36,1.02,,,0.83,0.71,1.5,0.78,0.76,,1.35,,,,1.89,1.72,1.53
broken clouds_1,2.02,1.81,1.3,1.2,0.75,,1.68,,1.07,1.28,0.59,1.02,2.3,0.97,,1.0,,,0.86,,,1.91,0.58,1.6,1.05,,,1.83,1.64,1.57
overcast clouds_3,1.1,1.79,,1.14,,,1.3,0.54,,0.82,0.95,,1.03,,,,1.04,,,,,0.75,,0.51,,,,1.96,1.76,1.68
moderate rain_0,2.43,1.48,2.94,,,,1.89,1.35,2.98,1.19,1.36,1.29,0.6,1.68,1.44,,,1.05,0.7,1.42,1.22,1.34,,1.31,,,,2.09,2.02,1.83
scattered clouds_1,1.91,1.57,1.05,2.16,1.2,,1.64,0.78,1.42,1.2,0.96,0.63,1.53,1.16,1.02,1.14,,1.01,1.0,,,0.68,1.87,0.86,0.62,0.83,,1.98,1.77,1.69
haze_0,2.09,1.98,1.63,1.65,,,5.15,1.38,,1.92,1.15,2.09,1.56,1.77,1.32,,,0.85,,1.0,0.47,1.73,,2.18,,,,2.25,1.85,1.76
mist_3,1.94,1.46,0.79,,,,0.84,1.71,,1.36,2.4,,,0.54,2.16,,,1.05,,,,0.46,,0.6,,,,2.06,2.08,1.76
drizzle_0,2.25,1.15,3.05,,,,,1.5,,1.75,1.41,4.62,,1.77,1.36,,,1.05,,2.45,1.07,,,,,,,2.4,2.43,1.86
scattered clouds_0,1.94,1.88,1.07,1.13,0.91,,1.75,0.71,1.19,1.4,1.49,1.28,1.21,1.39,1.54,0.8,1.11,,1.38,1.0,,1.0,1.19,0.78,1.3,0.71,0.52,2.01,1.8,1.72
few clouds_2,2.05,2.12,1.67,1.62,,,1.62,,4.99,1.66,0.61,,1.93,2.36,,1.55,,,0.4,,,0.79,1.0,0.65,,,,2.11,1.89,1.81
few clouds_0,1.91,1.85,1.37,1.65,1.14,,1.67,1.03,0.91,1.35,1.03,1.22,1.6,1.17,0.78,1.0,1.14,0.76,0.94,0.42,,1.15,1.58,1.0,,,,2.18,1.89,1.81
scattered clouds_2,2.18,2.05,1.78,1.47,1.86,,2.13,1.34,1.0,1.48,1.45,1.14,1.07,1.36,,1.06,,,1.14,,,0.89,,,1.0,,,2.25,2.01,1.92
mist_1,1.71,2.05,2.23,,,,,1.42,2.65,1.48,1.33,1.39,,1.28,1.18,,,1.01,,1.22,0.46,,,,,,,2.34,2.29,2.19
fog_0,1.96,1.06,1.24,,,,,1.88,,1.09,3.53,,0.83,1.12,3.17,,,1.41,1.18,1.96,1.13,,,,,,,2.33,2.31,2.09
mist_4,0.96,3.01,1.67,,,,,1.77,,1.54,1.67,,1.44,1.2,1.49,,,1.32,1.18,,0.53,,,,,,,2.33,2.09,1.99
scattered clouds_3,2.76,2.17,,1.1,,,1.33,,,1.57,,,0.93,4.56,,,,,1.21,,,1.16,,,,1.0,,2.38,2.13,2.04
broken clouds_2,2.36,2.22,,1.6,,,,,,1.61,,1.51,4.51,,,,,,,,,,,,,,,2.44,2.18,2.09
heavy snow_0,5.79,2.44,,1.75,,,,2.06,,0.72,2.23,,,2.56,,1.46,1.44,1.58,,,,1.3,,0.73,,,,2.67,2.39,2.28
proximity thunderstorm_0,,,2.2,,,,,1.71,3.79,,1.56,,,3.77,1.44,,,1.42,,1.21,,,,,,,,2.78,5.58,3.07
heavy snow_1,,2.85,,,,,,2.15,,,,,,1.89,,,,,,,,,,,,,,3.12,2.8,2.67
heavy intensity rain_0,5.24,1.64,,,,,,2.15,,2.06,2.02,,,3.28,,,,1.6,,,,,,,,,,3.12,4.84,3.27
fog_2,3.03,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,3.12,2.8,2.67
proximity shower rain_0,3.88,,3.16,,,,3.16,,,2.63,2.58,,,2.42,,,,,,,,1.94,,,,,,4.0,3.58,3.42
snow_0,3.88,3.65,,,,,,2.75,,,2.58,2.48,,,,,,2.04,,,1.94,,,,,,,4.0,3.58,3.42
heavy intensity drizzle_0,3.88,3.65,,,,,,2.75,,,,,,,,,,,,1.94,,,,,,,,4.0,3.58,3.42
proximity thunderstorm with rain_0,,3.65,,,,,,2.75,,,2.58,,,,,,,2.04,,,,,,,,,,4.0,,
thunderstorm with light rain_0,,,3.16,,,,,2.75,,,2.58,,,,2.32,,,2.04,,1.94,,,,,,,,4.0,,
temp_4,1.0,0.84,0.99,0.75,0.68,0.4,0.84,0.68,0.89,0.72,0.67,0.73,0.6,0.65,0.6,0.45,,0.48,0.5,0.55,0.49,0.4,0.42,0.46,0.64,0.3,0.49,1.07,0.94,0.88
temp_3,1.16,1.03,1.13,0.66,,,0.86,0.83,0.65,0.68,0.74,0.69,0.64,0.69,0.95,0.6,0.58,0.71,0.64,0.71,0.77,0.52,0.4,0.49,0.51,0.54,,1.14,1.04,0.98
temp_5,1.26,1.65,0.98,,0.64,0.31,1.15,0.78,1.04,1.05,0.76,0.82,0.88,0.87,0.64,0.96,,0.62,1.11,0.68,0.26,1.0,1.2,1.2,0.43,,0.22,1.23,1.22,1.1
temp_2,1.52,1.39,,1.0,,,1.25,1.0,1.18,1.18,1.53,1.07,1.06,1.22,0.76,1.11,0.47,,0.53,0.58,,0.92,0.89,0.7,0.61,0.7,,1.53,1.37,1.29
