,sky is clear_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,2.09,0.69,1.03,0.22,0.39,1.7,0.68,1.24,1.03,1.62,2.01,1.13,1.17,0.96,1.94,2.56,1.01,1.06,0.98
mist_0,,1.08,0.28,2.12,0.99,,1.14,,,,,1.08,0.61,1.15,,,0.95,1.1,1.07
overcast clouds_2,1.31,3.68,2.04,0.48,0.75,1.32,1.55,,1.61,2.45,,0.96,1.07,0.83,1.05,,1.09,0.82,1.01
broken clouds_0,1.08,0.97,1.62,0.66,1.74,1.14,1.28,1.55,1.72,1.26,,1.12,0.95,1.14,,,1.04,1.0,0.91
light rain_0,,0.99,0.51,2.13,1.36,,1.28,,,,,1.25,0.6,1.24,,,0.95,1.13,1.07
overcast clouds_1,0.7,0.81,1.09,1.31,3.18,,0.72,2.54,,,,0.83,1.37,0.97,,,1.1,0.95,1.0
few clouds_1,1.54,,1.21,,,2.84,0.61,,1.71,1.59,,0.93,1.35,0.76,1.64,2.73,0.98,0.7,0.9
overcast clouds_0,0.55,,1.45,0.86,1.27,1.08,1.51,,1.73,,,0.98,0.81,1.33,,,1.01,0.99,0.93
light intensity drizzle_0,,1.91,0.6,2.21,1.15,,1.28,,,,,1.26,,1.54,,,0.94,1.1,1.02
broken clouds_1,1.54,,1.22,,,2.51,,,3.45,,,0.59,1.65,,1.94,,0.96,0.99,1.1
overcast clouds_3,,,,1.29,,,,,,,,,1.96,,,,0.77,0.88,1.1
moderate rain_0,,,,2.48,,,1.71,,,,,1.18,,,,,1.05,1.1,1.05
scattered clouds_1,1.74,,1.3,,,,,4.31,,,,1.06,1.19,,2.95,,0.91,0.92,1.0
mist_3,,,,,,,,,,,,1.28,,,,,1.04,1.19,0.98
drizzle_0,,,,2.58,,,1.62,,,,,1.35,,,,,0.87,1.19,1.1
haze_0,,,,,,,,,,,,,,,,,1.04,0.77,0.98
scattered clouds_0,1.61,,1.33,,,,,,,,,1.07,1.34,,,,0.93,1.19,0.98
few clouds_0,1.93,,1.76,,,,,,,,,0.96,1.27,,,,0.91,1.09,0.97
few clouds_2,2.21,,1.76,,,,,,,,13.42,,1.96,,3.66,,1.04,1.25,1.03
scattered clouds_2,,,,,,,,,,,,,,,,,1.02,,
mist_1,,,,,,,,,,,,,,,,,1.1,,0.93
fog_0,,,,,,,,,,,,,,,,,,,1.1
mist_4,,,,,,,,,,,,,,,,,,,1.1
scattered clouds_3,,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,
temp_4,0.99,1.2,1.08,1.19,1.18,0.8,0.98,1.09,0.7,0.89,0.94,1.29,0.57,0.97,0.82,1.03,1.01,0.97,0.99
temp_3,0.92,0.87,0.92,0.9,1.23,1.12,0.82,1.22,0.97,1.08,0.67,0.81,1.89,,0.99,,1.0,1.05,1.06
temp_5,0.66,0.99,0.81,1.24,0.63,0.76,1.6,0.55,1.36,0.7,1.26,0.68,0.23,3.02,,1.5,1.07,0.94,0.96
temp_2,1.76,0.94,1.47,,,2.29,0.89,,2.15,2.03,2.68,0.9,1.69,,4.87,,0.87,1.25,0.98
temp_6,1.82,,,,,,,,,,,0.96,,1.77,,8.06,0.85,0.6,0.71
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.06,0.82,1.05,1.07,1.03,0.86,1.05,0.89,1.29,1.15,1.18,0.98,1.06,1.07,1.25,0.76,1.04,1.13,0.99
traffic_volume_0,0.92,1.16,1.01,0.88,1.1,1.21,1.0,1.08,0.69,0.79,0.85,1.04,0.86,1.06,0.64,1.34,1.05,1.16,1.04
traffic_volume_1,0.96,1.16,0.88,1.01,0.82,1.02,0.9,1.13,0.8,0.97,0.82,0.99,1.05,0.78,0.93,1.06,0.86,0.56,0.96
