,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,mist_3,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,fog_0,scattered clouds_3,heavy snow_0,heavy snow_1,fog_2,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.5,1.59,0.78,2.56,2.49,0.63,5.65,0.13,0.73,0.89,0.21,0.44,2.03,0.56,0.15,0.58,0.37,0.03,1.04,0.03,0.49,1.21,2.54,1.36,0.59,0.15,0.54,0.34,0.86,0.78,1.94,0.48,0.4,0.26
mist_0,1.18,0.37,1.38,0.04,0.1,,0.26,14.69,1.23,0.35,6.13,1.14,0.05,1.34,7.66,,0.23,5.16,0.1,4.11,1.79,0.13,,0.33,0.13,2.02,,0.64,0.52,1.46,,1.36,3.52,
overcast clouds_2,0.63,2.09,0.82,1.62,0.44,,1.88,0.23,17.0,,0.35,1.17,2.4,1.51,,2.63,1.52,0.29,1.23,,,2.44,,5.04,0.57,,1.06,,,,,,3.36,
broken clouds_0,1.79,1.0,1.16,0.85,1.74,2.18,1.58,0.25,0.67,2.71,0.53,1.86,1.26,1.54,0.53,2.31,0.28,0.16,1.96,0.47,0.8,2.14,0.66,1.18,1.41,0.59,1.57,1.21,1.29,1.18,1.43,1.11,1.42,0.58
light rain_0,2.73,0.39,1.7,,0.13,,0.28,8.31,0.81,0.53,8.69,1.63,0.07,1.61,5.75,0.25,0.61,4.6,0.13,1.87,1.65,0.13,0.17,0.14,0.35,1.23,,0.63,,,0.77,2.07,1.3,
overcast clouds_1,1.15,2.26,0.9,0.19,1.06,2.87,0.82,1.38,0.66,1.03,1.58,9.72,0.65,0.73,1.3,0.76,,1.54,2.17,1.07,0.28,0.83,0.87,0.71,1.37,,,3.65,8.74,,,,1.09,
few clouds_1,0.87,1.81,0.56,1.91,2.51,1.95,2.21,0.28,0.38,1.41,0.26,0.71,4.88,0.84,0.07,0.31,0.77,0.22,0.74,,0.77,1.6,1.41,1.71,2.91,0.47,6.06,2.33,1.76,2.45,2.98,0.54,0.5,0.57
overcast clouds_0,1.62,0.78,1.37,0.62,1.93,1.03,1.2,0.72,0.61,1.62,0.72,1.03,1.3,1.58,0.72,2.27,0.41,0.53,1.2,0.72,0.84,2.69,0.98,0.92,2.5,1.29,,0.56,,0.85,,0.76,0.46,0.81
light intensity drizzle_0,4.33,0.13,1.98,0.08,,,0.36,7.17,2.03,0.73,7.95,1.41,0.05,1.52,8.14,,,3.45,0.11,1.8,2.4,0.14,,0.7,,1.62,,,,,,1.27,1.62,
broken clouds_1,0.94,5.66,0.6,1.75,1.29,7.38,2.73,,1.02,2.42,0.14,0.38,3.64,0.31,0.2,19.47,,,1.7,,,4.67,1.64,2.98,1.67,0.54,7.24,,,,,0.96,1.22,
overcast clouds_3,0.02,,,1.67,,,0.18,0.16,,0.06,1.73,0.23,0.79,,0.21,7.13,283.87,0.32,3.8,,,1.2,,,,,,11.99,,,,0.2,1.15,
moderate rain_0,1.52,0.48,3.6,,,,0.13,32.96,0.45,0.16,30.49,0.85,0.09,3.56,13.41,,,14.23,,1.5,3.85,0.12,,0.13,,2.7,,1.25,,,,,,
scattered clouds_1,1.03,1.26,0.27,3.65,1.35,2.35,2.57,0.14,0.98,1.85,0.28,0.44,2.0,0.72,0.4,1.51,,0.27,5.65,,0.73,0.99,5.03,3.26,0.53,,,,,,,0.32,0.41,
haze_0,0.3,0.73,1.62,0.39,,,1.01,12.18,1.63,0.15,1.19,1.21,0.12,0.84,2.63,,,2.56,0.51,12.58,,0.16,,0.8,,4.72,,,,,,,,
mist_3,3.9,,0.48,,,,,5.37,1.3,0.15,2.27,,,0.18,2.13,1.02,,0.16,,6.18,41.04,0.53,,,,7.28,,,,15.17,,,,0.28
drizzle_0,,0.15,1.05,,,,0.05,,0.12,0.73,,1.86,,5.0,34.48,,,10.67,,1.2,3.55,,,,,2.16,,,,,,,,
scattered clouds_0,1.84,2.26,0.34,1.55,1.06,,3.41,0.08,0.42,3.03,0.25,0.74,1.97,1.04,0.36,1.02,1.13,,2.54,0.53,0.91,0.75,2.16,1.74,2.19,0.95,2.56,0.76,,2.36,2.87,0.56,0.71,0.6
few clouds_2,,,0.75,6.14,,,14.53,,4.1,,0.08,,4.01,,0.12,0.34,,,0.27,,,0.37,37.38,1.24,4.86,,,,,,,,,
few clouds_0,0.7,1.94,0.55,3.77,0.56,,4.24,0.19,0.48,3.77,0.08,1.13,2.46,0.83,,0.73,1.27,,3.04,,1.65,4.0,3.54,1.24,,0.51,1.36,0.86,2.91,,,,,0.53
scattered clouds_2,,0.69,2.1,2.87,10.5,15.49,1.06,0.43,0.67,2.69,0.59,,1.87,3.13,,1.64,,,1.3,1.35,,2.4,,0.25,26.23,,,,,,22.95,,0.47,
mist_1,0.35,0.15,9.91,,1.64,,0.4,7.88,0.99,0.15,2.12,1.77,0.4,0.42,1.64,,,3.32,,2.81,,0.51,,,2.12,5.06,,,,,9.39,,,
fog_0,0.26,0.08,1.5,,,,,,1.28,0.18,3.53,,0.49,0.78,5.11,,,3.42,0.97,7.87,4.4,,,,,21.58,,,,15.93,,,,
mist_4,0.05,0.18,8.11,,,,,,,0.18,3.53,,0.49,0.21,8.62,,,28.46,0.97,20.23,,,,,,,,,,,,,,
scattered clouds_3,,,,3.35,,,0.91,1.43,,,,,,,0.82,,,,,40.45,,11.21,,,11.66,,86.91,13.71,,,,,,
broken clouds_2,,,,,,,,,0.28,,,16.54,1.75,,,,,,,,,,,,,,,,,,,0.25,,
heavy snow_0,0.43,,0.9,0.67,,,,7.17,,0.16,6.63,,,4.69,3.83,1.09,4.06,5.69,0.87,0.9,,0.56,,,2.33,,,13.71,9.32,,,,,
proximity thunderstorm_0,0.14,,,,,,0.23,5.73,8.94,1.21,1.99,0.52,0.55,,7.66,,,,,17.98,,0.7,,0.75,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.24,,,,,
heavy intensity rain_0,,0.4,3.6,,,,,,,0.4,,,,,,,,,,,15.39,,,,,,,,,,,,,
fog_2,,,,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,84.96,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp_4,6.16,0.44,0.99,0.83,1.19,0.89,0.89,1.33,1.31,1.37,1.38,1.16,0.72,0.97,1.9,0.7,0.05,1.02,1.22,0.66,1.6,0.63,0.71,0.94,0.98,1.19,0.27,0.13,,1.83,0.76,1.24,0.92,1.48
temp_3,0.56,30.92,0.18,1.22,0.09,,1.06,0.86,0.82,0.81,0.85,1.44,1.32,0.75,0.62,1.37,3.13,0.96,1.03,1.04,0.23,0.97,0.7,1.0,0.79,0.08,1.96,3.44,3.34,,,1.91,4.09,
temp_5,0.39,0.17,23.26,,1.44,0.94,0.55,1.49,1.04,0.63,1.51,0.53,0.71,2.47,1.1,1.01,,2.16,0.43,2.72,1.69,1.49,1.39,0.85,0.98,3.87,,,,1.58,2.94,0.61,0.79,0.66
temp_2,1.52,8.89,,26.78,,,4.54,0.23,0.86,2.62,0.08,0.37,2.73,1.05,,1.69,1.19,,1.67,0.48,,4.16,4.42,2.26,1.67,,4.79,0.19,,,,,1.38,0.26
temp_6,0.74,0.19,5.18,,22.0,12.39,3.11,,,0.33,0.2,0.31,1.2,0.33,,0.38,,,0.3,,1.48,0.54,,0.57,2.24,,,,,,7.65,0.11,0.11,0.11
temp_7,,,,,,154.89,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.01,0.96,1.34,0.95,1.18,1.11,1.02,1.07,1.0,0.98,1.09,1.01,0.97,1.14,1.14,0.87,0.48,1.08,0.9,1.2,0.89,1.14,0.97,0.92,1.16,1.13,0.91,0.8,0.8,1.2,1.11,1.02,1.83,1.27
traffic_volume_0,1.21,1.08,0.84,1.07,0.89,0.72,0.85,0.84,0.99,0.9,0.94,1.14,1.0,1.0,0.81,1.19,1.18,0.96,1.09,0.85,1.2,0.91,1.18,0.88,0.91,0.93,1.19,1.02,1.32,0.9,0.91,1.76,0.53,0.65
traffic_volume_1,0.81,0.99,0.66,1.02,0.79,1.12,1.17,1.07,1.02,1.18,0.91,0.82,1.06,0.76,0.98,1.05,1.88,0.91,1.11,0.81,0.99,0.85,0.84,1.34,0.79,0.83,0.96,1.41,1.01,0.73,0.89,0.63,1.13,1.27
