,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.41,0.12,0.31,0.98,0.59,0.53,0.87,0.89,0.35,0.13,0.62,0.64,0.36,0.98,0.42,0.4,1.15,1.04,0.84,0.96,0.77,0.14,1.02,1.2,1.1
mist_0,0.27,1.64,1.41,0.46,1.56,0.88,0.48,1.29,1.73,,,,,,,,1.35,0.96,1.0,0.23,,,1.12,1.52,1.43
overcast clouds_2,1.15,0.29,1.62,1.18,0.59,0.47,0.72,1.17,,1.39,,,,,,,1.14,1.09,1.03,1.26,,,1.65,0.69,1.12
broken clouds_0,0.91,0.69,0.73,1.38,1.09,1.33,0.85,1.22,1.35,0.48,0.53,0.98,,0.87,0.24,0.66,1.4,1.11,0.97,0.52,0.41,,1.19,1.27,1.3
light rain_0,0.54,1.63,0.83,0.77,1.66,1.19,,1.55,1.69,,,,,,,,1.56,0.94,1.0,,,,1.23,1.71,1.64
overcast clouds_1,0.83,1.34,1.19,1.28,1.45,1.7,0.78,0.95,1.21,,,0.54,,0.48,,,1.05,1.39,1.15,0.39,,,1.59,1.16,1.56
few clouds_1,1.24,0.39,0.75,1.57,,0.62,1.63,1.0,,,0.78,1.07,0.9,1.24,0.75,,1.04,1.28,1.04,0.7,1.5,0.77,1.46,0.96,1.15
overcast clouds_0,0.69,1.29,0.62,1.55,1.02,1.14,0.86,1.43,1.21,0.85,0.61,1.13,,0.94,0.52,,1.36,1.02,0.96,0.63,,,1.34,1.34,1.6
light intensity drizzle_0,0.62,1.64,,0.66,1.82,1.14,,1.49,1.79,,,,,,,,1.53,0.63,1.32,,,,1.34,1.73,1.62
broken clouds_1,1.47,,0.41,1.24,,,,0.85,,1.84,0.99,2.29,1.07,,,,1.03,1.53,0.66,1.53,1.15,,1.66,1.1,1.48
overcast clouds_3,,0.82,,,1.14,,,,,,,,,,,,,1.83,,,,,1.54,1.2,1.92
moderate rain_0,,2.02,,0.76,2.03,0.96,,1.84,2.41,,,,,,,,1.84,1.19,1.43,,,,1.61,1.91,1.97
scattered clouds_1,1.62,0.47,,1.66,,,0.65,1.31,,0.91,1.77,1.03,1.18,1.54,,,1.27,1.14,0.86,2.55,1.12,,1.53,0.98,1.19
haze_0,,2.04,,,1.09,1.77,,1.46,2.95,,,0.74,,,,,1.37,1.51,1.47,0.66,,,1.75,1.11,1.61
mist_3,,1.79,,1.02,1.7,,,0.57,1.2,,,0.89,,,,,1.9,,0.81,,,,1.77,1.75,2.55
drizzle_0,,2.13,,,2.22,0.89,,2.15,2.27,,,,,,,,1.83,0.77,1.07,,,,1.29,1.99,1.98
scattered clouds_0,1.48,,,1.58,,1.09,1.46,1.04,,0.43,0.96,0.86,1.6,0.46,0.76,,1.48,1.56,0.36,1.07,,,1.16,1.94,1.71
few clouds_2,2.15,,,,,,0.72,,,0.49,0.47,0.39,2.2,,,,0.69,1.71,,2.69,,,1.8,3.53,4.2
few clouds_0,1.61,,,1.81,,1.54,1.36,1.26,,,1.02,2.06,,1.04,,,1.4,1.29,1.14,1.68,,,1.41,1.93,1.43
scattered clouds_2,1.93,,,2.03,,,1.17,2.09,,,,0.65,,,2.24,,0.92,0.9,1.16,1.07,2.43,,2.58,0.95,1.75
mist_1,,1.82,,,1.26,1.76,,,1.47,,,,,,,,1.19,0.94,1.71,,,,1.44,1.95,1.67
fog_0,,1.88,,0.88,2.34,,,,1.99,,,,,,,,1.26,,1.56,,,,1.32,1.81,1.72
mist_4,,,,,,,,,,,,,,,,,0.55,1.26,1.98,,,,1.54,1.34,2.23
scattered clouds_3,1.76,,,1.67,,,,,,,,,,,,2.52,2.88,1.76,,,,,2.44,,0.42
broken clouds_2,,,,,,,,,,,,,,,,,3.63,2.35,,0.85,,,2.91,0.47,2.3
heavy snow_0,,2.27,,1.22,3.07,,,,,,,,,,,,1.71,2.2,,,,,1.87,,2.36
proximity thunderstorm_0,,2.29,2.15,,2.09,,,,3.01,,,,,,,,,,2.38,,,,1.52,,2.13
heavy snow_1,,2.69,,,,,,,,,,,,,,,,2.42,,,,,2.33,,
heavy intensity rain_0,,2.69,,,3.11,,,1.82,,,,,,,,,3.28,1.27,,,,,1.08,,2.59
fog_2,,2.69,,,,,,,,,,,,,,,2.36,,,,,,,2.43,2.8
proximity shower rain_0,,,,3.17,,,,,,,,,,,,,,,2.96,,,,2.71,,
snow_0,,3.12,,,3.19,,,,,,,,,,,,,2.8,,,,,,2.82,2.87
heavy intensity drizzle_0,,3.12,,,,,,,,,,,,,,,2.74,2.8,,,,,,,2.87
proximity thunderstorm with rain_0,,3.12,,,3.19,,,,,,,,,,,,,2.8,,,,,,,
thunderstorm with light rain_0,,3.12,,,3.19,,,,3.33,,,,,,,,,,2.96,,,,2.71,,
temp_4,0.78,0.97,0.75,0.84,0.93,0.87,0.66,0.85,1.02,0.51,0.65,0.51,0.54,0.54,0.38,0.16,1.18,0.63,0.74,0.46,0.26,,1.07,0.94,1.07
temp_3,0.81,0.87,0.69,0.85,1.02,0.74,0.63,0.71,0.94,0.59,0.63,0.55,0.3,0.71,0.48,0.54,0.98,1.26,0.08,0.59,,,1.02,1.16,1.3
temp_5,0.83,1.02,0.67,0.82,1.08,0.58,0.69,1.37,1.0,0.77,0.52,1.2,,0.42,0.45,,0.8,0.64,1.42,,0.84,,1.32,0.88,1.06
temp_2,1.45,1.05,0.2,1.37,,0.82,1.52,0.81,,,0.16,1.12,0.35,1.09,0.78,,0.6,1.23,,1.68,,,0.67,1.92,1.51
temp_6,1.65,,,1.79,,,0.88,,,0.51,0.49,,,,0.97,,1.13,,1.22,,1.95,1.63,1.78,,0.51
temp_7,3.72,,,,,,1.11,,,,,,,,,,,,,,2.83,3.0,2.25,,
traffic_volume_2,0.91,0.93,0.44,0.89,0.99,0.65,0.5,0.88,0.96,0.52,0.48,0.87,0.57,0.71,0.26,0.18,0.93,0.93,0.71,0.91,0.36,0.21,1.13,1.11,0.97
traffic_volume_0,0.7,0.82,0.91,0.84,0.83,0.84,0.92,0.99,0.81,0.46,0.57,0.35,0.13,0.5,0.66,,1.13,0.88,0.89,0.5,0.89,,0.66,1.25,1.28
traffic_volume_1,0.89,0.99,0.99,0.85,0.91,0.73,0.79,0.76,0.94,0.51,0.71,0.41,0.14,0.72,0.49,0.79,1.05,0.87,0.83,0.38,0.77,,1.34,0.74,1.2
