,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,scattered clouds_0,mist_3,drizzle_0,haze_0,few clouds_2,few clouds_0,mist_1,scattered clouds_2,fog_0,mist_4,scattered clouds_3,broken clouds_2,heavy snow_0,proximity thunderstorm_0,fog_2,heavy intensity rain_0,heavy snow_1,proximity shower rain_0,snow_0,heavy intensity drizzle_0,proximity thunderstorm with rain_0,thunderstorm with light rain_0,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,2.74,,,0.95,,,1.42,0.52,,,,,1.2,0.82,,,,,2.44,,,,,,,,,,,,,,,,,1.05,1.12,0.94,2.23,2.75,,0.9,1.1,0.9
mist_0,,2.69,,,2.38,0.94,,0.96,2.74,,,2.76,,,,2.8,3.38,,,2.29,,,,,,,,,,,,,,,,1.15,0.72,1.12,,,,0.85,1.22,1.05
overcast clouds_2,0.77,,5.85,1.29,,,,1.21,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.05,0.98,,,,1.32,0.49,0.86
broken clouds_0,0.98,,,2.03,0.62,1.85,1.27,1.64,,,,,,1.97,,,,,1.58,,,,,,,,,,,,,,,,,1.16,0.97,1.14,,,,0.93,1.01,0.96
light rain_0,,2.44,,,2.52,1.15,,1.34,2.84,,,2.72,,,,3.8,2.16,,,,,,,,,,,,,,,,,,,1.39,0.65,0.93,,,,0.88,1.33,1.09
overcast clouds_1,,1.02,,1.69,1.27,4.93,,0.91,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.42,1.18,,,,1.21,0.88,1.03
few clouds_1,1.55,,,1.75,,,4.64,0.87,,,,,,2.46,,,,,2.32,,,,,,,,,,,,,,,,,0.69,1.26,1.07,,3.83,,1.03,0.77,0.83
overcast clouds_0,,0.84,,2.24,0.84,,,2.12,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.73,1.15,,,,1.03,0.9,1.02
light intensity drizzle_0,,2.34,1.76,,2.66,,,1.34,2.94,,,2.34,,,,2.84,,,,,,,,,,,,,,,,,,,,1.39,,1.1,,,,0.89,1.33,1.02
broken clouds_1,1.18,,,,,,2.94,,,10.57,,,,4.88,,,,,,,,,,,,,,,,,,,,,,0.64,1.52,,,,,1.31,0.66,0.94
overcast clouds_3,,,,,,,,,,,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,0.6,0.9,1.53
moderate rain_0,,2.94,,,2.88,,,,3.43,,,3.61,,,,4.97,,,,,,,,,,,,,,,,,,,,1.29,,,,,,1.19,1.2,1.12
scattered clouds_1,1.78,,,,,,,,,,,,6.96,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,1.04,,
scattered clouds_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.34,,,,,,1.21,0.92
mist_3,,1.78,,,,,,,,,,,,,14.35,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,1.18,1.11,1.33
drizzle_0,,3.07,,,3.29,,,,3.68,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,1.42,1.25
haze_0,,2.74,,,,,,,,,,,,,,,6.71,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,1.0
few clouds_2,2.97,,,,,,,,,,,,,,,,,23.17,,,,,,,,,,,,,,,,,,,1.5,,5.44,,,1.41,1.36,1.4
few clouds_0,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,
mist_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scattered clouds_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,
fog_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mist_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scattered clouds_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temp_4,0.88,1.26,1.24,1.01,1.19,1.14,0.8,1.06,1.54,0.75,,1.09,1.29,0.81,1.5,1.56,0.52,1.25,0.77,1.5,,0.94,,,,,,2.43,,,,,,,,1.6,0.49,0.66,0.39,,,1.02,0.95,1.0
temp_3,0.88,0.85,1.05,0.92,0.96,1.23,0.94,0.62,0.6,1.55,3.18,0.98,1.1,0.93,,0.97,0.97,,1.19,,,,,2.07,,2.79,,,2.32,,,3.18,3.01,3.18,,0.69,2.16,,1.02,,,0.93,1.16,1.19
temp_5,0.64,1.1,0.92,0.79,1.18,0.67,0.72,1.84,1.06,1.06,,1.45,,1.06,2.29,,2.52,,,1.52,,3.4,5.59,,,,5.99,,,,,,,,5.99,0.5,,3.85,,2.21,,1.24,0.68,0.76
temp_2,2.23,,,1.54,,,2.7,,,,,,,2.03,,,,,2.81,,,,,,,,,,,,,,,,,0.26,1.38,,7.24,,,0.42,1.82,1.1
temp_6,2.54,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,14.15,,1.4,,
temp_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.17,1.05,0.67,1.07,1.13,0.99,0.71,1.1,1.07,1.18,,1.27,0.96,1.56,1.42,0.88,0.81,1.92,1.05,1.04,,1.44,,,,1.65,1.73,,1.92,,,,,2.11,2.11,0.96,1.06,1.11,1.28,0.89,,1.36,0.76,0.76
traffic_volume_0,0.8,0.9,1.13,1.0,0.86,1.1,1.39,1.04,0.87,0.71,1.53,0.8,0.83,0.5,0.69,1.23,1.15,,0.88,0.88,1.51,,,,,,,,,,,,3.26,,,1.06,0.95,0.93,0.96,0.91,,0.44,1.68,1.28
traffic_volume_1,0.9,1.03,1.51,0.86,0.91,0.89,1.11,0.75,1.03,1.0,2.24,0.71,1.3,0.49,,0.95,1.2,,1.04,1.08,,,,,,,,,,,,,,,,1.0,0.94,0.87,0.5,1.34,,0.96,0.65,1.13
