,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.97,0.95,0.82,0.86,0.54,0.16,0.75,0.61,0.9,0.72,0.81,0.6,0.61,0.74,0.63,0.55,1.99,1.04,0.45,0.15,0.51,0.72,0.42,0.36,1.62,1.01,0.89,0.8
mist_0,1.31,1.18,1.28,1.05,,,1.93,0.71,4.42,1.09,0.7,0.98,0.49,1.05,0.69,,,0.5,0.65,0.76,0.71,,1.66,0.96,,1.24,1.3,1.02
overcast clouds_2,1.11,1.14,1.63,0.81,,,1.05,0.68,0.7,0.85,0.55,0.76,0.95,0.72,,0.87,,0.82,0.61,,1.12,,0.97,0.52,,1.21,0.97,0.95
broken clouds_0,1.1,1.1,1.02,0.64,0.65,,0.85,1.17,0.67,0.68,1.07,0.95,0.62,0.69,0.92,0.81,0.8,0.62,0.59,1.2,0.47,0.4,0.43,0.52,0.52,1.16,1.01,0.93
light rain_0,1.29,1.17,1.92,,1.22,,1.74,0.76,2.28,1.01,0.7,1.0,0.65,1.02,0.63,0.99,1.6,0.53,0.56,1.53,0.72,1.03,1.59,1.25,,1.33,1.28,1.08
overcast clouds_1,1.25,1.35,1.32,0.6,1.28,,0.92,1.34,0.67,0.65,0.87,0.72,0.64,0.66,0.91,1.01,,0.8,1.12,1.41,0.66,,0.43,,,1.25,1.08,1.02
few clouds_1,1.17,1.06,0.94,0.74,0.94,0.58,0.91,1.51,0.68,0.78,1.89,0.93,0.67,0.73,0.66,0.33,0.69,1.01,0.43,,0.44,0.71,0.54,1.06,,1.17,1.02,0.96
overcast clouds_0,1.18,1.13,1.06,0.79,0.83,,1.02,0.93,0.77,0.7,0.85,0.81,0.76,0.69,0.69,0.96,,0.73,0.77,0.71,0.77,0.67,0.58,0.7,,1.25,1.05,1.01
light intensity drizzle_0,1.27,1.08,2.54,0.78,,,1.79,0.81,,1.36,0.73,1.26,,1.04,0.65,,,0.56,0.56,1.06,0.59,,2.29,,,1.43,1.36,1.17
broken clouds_1,1.36,1.36,1.1,1.04,0.88,,1.34,,0.78,0.8,0.71,0.76,1.99,0.5,,0.62,,,0.53,,1.28,0.88,1.13,0.81,,1.35,1.11,1.05
overcast clouds_3,2.53,1.23,,0.84,,,0.91,0.53,,0.41,0.63,,0.71,,,,0.62,,,,0.5,,,,,1.37,1.19,1.13
moderate rain_0,1.86,1.22,2.16,,,,,0.84,2.69,0.88,0.86,1.02,0.7,1.24,0.91,,,0.64,,0.89,,,,,,1.5,1.68,1.3
scattered clouds_1,1.27,1.07,0.99,1.5,1.17,,1.19,0.9,1.04,0.72,1.09,0.51,1.2,0.79,1.43,0.63,,,0.6,,0.46,1.38,0.58,0.58,,1.3,1.13,1.1
haze_0,1.68,1.43,1.19,1.91,,,4.63,0.91,,1.49,0.86,1.94,,2.07,1.23,,,0.57,,0.6,0.98,,,,,1.67,1.29,1.17
