,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.0,0.38,0.63,0.98,1.56,0.88,0.87,1.3,1.21,0.34,0.69,0.78,0.47,0.75,0.58,1.02,1.16,1.06,1.06,0.95,0.76,0.23,0.98,1.17,0.97
mist_0,1.07,1.03,3.15,0.87,1.0,1.08,1.34,1.48,1.11,,,,,,,,1.32,1.15,1.18,0.69,,,1.13,1.53,1.26
overcast clouds_2,1.56,0.5,1.0,1.02,0.76,0.62,0.95,1.09,,1.55,,,,,,,1.1,1.11,1.34,2.77,,,1.58,0.74,0.96
broken clouds_0,0.89,1.32,0.97,0.97,1.31,1.34,0.83,0.93,2.1,0.79,0.59,0.8,,0.75,0.41,0.97,1.36,1.18,1.07,0.68,0.59,,1.14,1.25,1.12
light rain_0,1.11,1.05,1.45,0.96,1.04,1.52,,1.57,1.01,,,,,,,,1.42,1.16,1.29,,,,1.23,1.69,1.49
overcast clouds_1,1.08,1.33,1.66,0.93,1.28,1.02,0.93,0.88,1.08,,,0.68,,0.53,,,1.09,1.29,1.36,0.73,,,1.51,1.14,1.4
few clouds_1,1.06,0.75,1.05,1.27,,0.9,1.0,0.99,,,1.04,0.77,1.24,1.01,1.04,,1.14,1.22,1.23,0.68,1.62,1.05,1.44,0.91,0.97
overcast clouds_0,0.91,1.41,0.72,1.04,0.93,1.36,1.01,0.98,1.23,0.95,0.79,1.01,,1.25,0.7,,1.34,1.2,1.01,0.93,,,1.24,1.41,1.46
light intensity drizzle_0,1.17,1.04,,0.87,1.11,1.17,,1.39,1.04,,,,,,,,1.32,1.0,1.74,,,,1.35,1.63,1.45
broken clouds_1,1.58,,0.53,1.17,,,,0.83,,0.98,0.79,1.63,1.07,,,,1.1,1.37,0.86,1.79,1.41,,1.44,1.19,1.29
overcast clouds_3,,1.6,,,0.95,,,,,,,,,,,,,1.38,,,,,2.13,1.11,1.42
moderate rain_0,,1.19,,1.14,1.19,1.56,,1.64,1.44,,,,,,,,1.77,1.28,1.58,,,,1.41,1.95,1.79
scattered clouds_1,1.36,0.83,,1.37,,,0.78,1.55,,0.9,1.0,0.98,1.18,0.97,,,1.15,1.07,1.26,3.23,1.27,,1.42,1.02,1.07
haze_0,,1.23,,,0.92,2.27,,1.94,3.1,,,1.0,,,,,1.69,1.57,1.28,1.17,,,1.74,1.09,1.34
mist_3,,1.32,,1.17,1.53,,,0.53,1.1,,,0.65,,,,,1.56,,0.81,,,,1.62,1.72,2.39
drizzle_0,,1.23,,,1.22,1.13,,2.1,1.21,,,,,,,,1.52,1.07,1.57,,,,1.45,1.81,1.64
scattered clouds_0,1.28,,,1.17,,1.6,1.24,0.91,,0.47,1.02,0.82,1.71,0.44,0.96,,1.42,1.45,0.52,1.04,,,1.05,1.93,1.57
few clouds_2,1.5,,,,,,0.72,,,0.54,0.46,0.32,1.0,,,,0.72,1.55,,2.26,,,1.47,4.8,5.24
few clouds_0,1.2,,,1.25,,1.99,1.14,1.39,,,0.8,2.03,,1.0,,,1.37,1.19,1.59,1.4,,,1.34,1.67,1.22
scattered clouds_2,1.77,,,1.73,,,1.02,1.65,,,,0.6,,,1.0,,1.15,1.02,1.1,0.94,1.69,,2.62,0.9,1.4
mist_1,,1.25,,,1.21,1.68,,,1.14,,,,,,,,1.1,1.44,1.45,,,,1.41,1.75,1.4
fog_0,,1.27,,1.25,2.47,,,,2.02,,,,,,,,1.2,,1.37,,,,1.19,1.78,1.56
mist_4,,,,,,,,,,,,,,,,,0.88,2.08,1.37,,,,1.54,1.08,1.7
scattered clouds_3,1.54,,,1.15,,,,,,,,,,,,1.0,2.8,1.33,,,,,2.2,,0.45
broken clouds_2,,,,,,,,,,,,,,,,,4.39,1.84,,0.64,,,3.16,0.53,1.65
heavy snow_0,,1.58,,1.33,2.09,,,,,,,,,,,,2.3,1.58,,,,,1.51,,2.16
proximity thunderstorm_0,,1.39,1.96,,1.35,,,,1.81,,,,,,,,,,1.5,,,,1.31,,1.91
heavy snow_1,,1.48,,,,,,,,,,,,,,,,1.71,,,,,1.79,,
heavy intensity rain_0,,1.48,,,1.75,,,1.39,,,,,,,,,3.05,1.21,,,,,1.03,,2.34
fog_2,,1.48,,,,,,,,,,,,,,,1.76,,,,,,,1.69,2.02
proximity shower rain_0,,,,1.64,,,,,,,,,,,,,,,1.8,,,,2.03,,
snow_0,,1.68,,,1.62,,,,,,,,,,,,,1.94,,,,,,1.92,1.87
heavy intensity drizzle_0,,1.68,,,,,,,,,,,,,,,2.0,1.94,,,,,,,1.87
proximity thunderstorm with rain_0,,1.68,,,1.62,,,,,,,,,,,,,1.94,,,,,,,
thunderstorm with light rain_0,,1.68,,,1.62,,,,1.54,,,,,,,,,,1.8,,,,2.03,,
temp_4,0.89,0.84,0.93,0.8,0.79,1.1,0.9,0.82,0.8,0.88,0.79,0.59,0.95,0.65,0.89,0.34,1.0,0.87,1.18,0.99,0.59,,1.08,0.95,0.96
temp_3,0.9,0.88,0.88,0.85,1.03,0.77,0.72,0.84,1.27,0.68,0.82,0.59,0.52,0.75,0.98,0.81,1.24,1.01,0.38,0.76,,,1.03,1.16,1.14
temp_5,1.1,0.91,0.84,0.83,0.93,0.73,0.93,1.15,0.9,1.28,0.98,1.85,,0.7,0.75,,1.03,2.63,0.99,,1.01,,1.22,0.97,1.03
temp_2,1.1,1.62,0.46,1.14,,1.54,1.31,0.92,,,0.23,0.97,0.38,0.74,0.77,,0.88,1.11,,1.0,,,0.74,1.68,1.31
temp_6,1.15,,,1.56,,,0.64,,,0.58,0.48,,,,0.72,,1.42,,0.93,,0.98,1.12,1.54,,0.52
temp_7,3.07,,,,,,0.78,,,,,,,,,,,,,,1.27,1.0,1.73,,
traffic_volume_2,0.97,0.9,0.59,0.87,0.93,0.76,0.62,0.86,0.93,0.69,0.6,0.93,0.8,0.85,0.46,0.33,0.96,1.03,0.8,1.39,0.51,0.38,0.99,1.48,0.98
traffic_volume_0,0.76,0.77,1.3,0.78,0.79,1.03,1.02,1.03,0.77,0.75,0.82,0.42,0.29,0.51,1.07,,1.18,0.94,1.23,0.6,2.12,,0.82,1.0,1.05
traffic_volume_1,1.03,0.93,1.2,0.86,0.87,0.91,0.91,0.8,0.87,0.69,0.86,0.54,0.43,0.81,0.76,1.84,1.05,0.92,1.14,0.58,1.27,,1.55,0.77,1.0
