,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.8,0.75,0.95,0.82,2.42,0.73,0.65,1.08,1.15,0.43,0.49,0.46,0.61,0.4,0.41,1.49,1.1,1.02,0.93,0.82,0.54,0.17,1.09,1.05,0.88
mist_0,2.08,0.75,4.08,1.1,0.72,1.09,0.87,1.23,0.73,,0.99,0.85,,,0.93,,1.48,1.34,1.38,1.1,,,1.4,1.63,1.22
overcast clouds_2,1.37,0.69,0.74,0.91,0.65,0.63,0.94,0.81,,1.27,,3.85,,1.23,,,1.34,1.14,1.63,0.95,,,1.57,0.9,1.02
broken clouds_0,0.88,1.49,0.88,0.74,1.09,1.12,0.7,0.72,1.28,0.8,0.59,0.55,,0.47,0.42,0.56,1.34,1.27,1.15,0.67,0.62,,1.33,1.2,1.05
light rain_0,1.6,0.8,2.33,1.06,0.73,1.06,1.04,1.11,0.66,1.27,0.49,1.65,,1.02,0.94,,1.56,1.37,1.93,,,,1.55,1.62,1.33
overcast clouds_1,1.02,1.33,0.99,0.66,0.98,0.75,0.65,0.65,0.91,1.43,1.6,0.65,,0.45,,,1.28,1.55,1.41,1.12,,,1.53,1.39,1.2
few clouds_1,1.01,1.49,0.74,0.87,1.47,1.03,0.72,0.76,0.7,,0.59,0.48,1.09,0.65,0.96,,1.42,1.24,1.09,0.73,1.47,0.83,1.42,1.04,1.07
overcast clouds_0,0.99,1.22,0.78,0.77,0.93,1.05,1.07,0.75,0.86,1.13,0.79,0.76,0.39,0.74,0.92,,1.39,1.41,1.2,0.8,0.56,,1.45,1.26,1.17
light intensity drizzle_0,2.17,0.86,,1.36,0.78,1.19,,1.26,0.7,,0.75,,,,,,1.48,1.39,2.79,,,,1.74,1.77,1.49
broken clouds_1,2.0,,0.82,0.84,1.1,0.58,,0.5,,0.67,0.58,1.34,0.92,1.16,1.63,,1.47,1.75,1.14,2.25,1.44,,1.58,1.45,1.27
