,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.29,1.24,0.99,1.69,1.31,0.37,1.61,0.57,1.21,1.67,0.94,0.97,1.65,1.66,0.72,0.86,0.73,0.47,1.26,0.14,1.81,1.73,1.75,0.7,1.16,1.3,1.45,1.47
mist_0,1.48,0.95,1.48,0.3,,,1.31,2.04,3.22,1.56,2.13,1.78,0.32,2.47,2.53,,,2.38,0.52,2.77,0.82,,1.95,0.55,,1.47,1.83,1.76
overcast clouds_2,1.28,1.41,1.42,1.42,,,1.68,0.78,2.03,2.51,0.96,1.58,2.16,2.09,,2.0,,1.16,1.57,,3.31,,3.75,0.83,,1.46,1.58,1.7
broken clouds_0,1.39,1.22,1.26,0.99,1.24,,1.47,1.05,1.01,1.98,1.55,2.02,1.46,2.06,1.51,1.85,0.4,0.77,1.82,1.55,2.08,0.71,1.67,1.26,1.11,1.41,1.6,1.64
light rain_0,1.54,0.96,1.92,,0.51,,1.28,2.03,2.0,1.72,2.2,2.01,0.42,2.53,2.33,0.79,0.84,2.4,0.55,3.08,0.82,0.59,1.27,1.02,,1.53,1.79,1.81
overcast clouds_1,1.44,1.56,1.32,0.49,1.4,,1.32,2.05,1.01,1.65,1.94,2.31,1.17,1.69,2.06,1.33,,2.22,2.61,2.4,1.78,,1.38,,,1.49,1.64,1.76
few clouds_1,1.36,1.34,0.94,1.43,1.72,1.21,1.6,1.26,0.81,1.92,1.57,1.47,2.08,1.84,0.53,0.51,0.61,1.14,1.07,,1.84,1.33,2.13,2.45,,1.4,1.57,1.66
overcast clouds_0,1.43,1.16,1.35,0.97,1.46,,1.52,1.41,1.05,1.87,1.54,1.57,1.63,2.08,1.47,2.0,,1.43,1.74,1.43,2.83,1.1,1.78,1.87,,1.46,1.59,1.72
light intensity drizzle_0,1.54,0.61,2.3,0.38,,,1.43,2.08,,2.19,2.22,2.15,,2.52,2.46,,,2.33,0.49,2.53,0.77,,3.17,,,1.57,1.86,1.89
broken clouds_1,1.48,1.7,1.04,1.65,1.27,,2.0,,1.27,2.11,0.73,1.04,3.41,1.11,,2.62,,,1.65,,4.11,1.59,3.61,1.7,,1.53,1.67,1.79
overcast clouds_3,0.71,1.73,,1.46,,,0.78,0.58,,0.45,1.68,,1.33,,,,2.93,,,,1.78,,,,,1.45,1.73,1.86
moderate rain_0,1.79,1.06,2.39,,,,,2.26,1.72,1.04,2.56,1.64,0.52,3.11,3.02,,,3.08,,2.16,,,,,,1.63,2.09,1.99
scattered clouds_1,1.44,1.26,0.72,2.44,1.49,,1.87,0.71,1.45,1.93,1.23,0.9,2.32,1.84,1.69,1.39,,,2.49,,1.59,3.11,2.65,0.85,,1.46,1.64,1.83
haze_0,1.39,1.29,1.5,1.23,,,3.12,2.28,,1.32,1.8,2.55,,3.12,2.85,,,2.18,,3.07,1.04,,,,,1.72,1.83,1.89
mist_3,1.56,,0.78,,,,,2.33,,0.87,2.89,,,0.87,2.86,,,0.65,,,1.21,,,,,1.57,1.9,1.84
drizzle_0,1.71,0.67,1.97,,,,,2.38,,2.32,2.54,3.04,,3.54,2.96,,,2.81,,2.75,,,,,,1.76,2.21,1.89
scattered clouds_0,1.55,1.57,0.75,1.43,1.08,,1.92,0.47,0.88,2.23,1.35,1.53,1.89,2.01,1.51,1.23,0.94,,2.57,1.7,1.82,1.88,2.17,2.0,1.42,1.51,1.7,1.79
few clouds_2,1.67,1.85,1.25,2.3,,,1.95,,,3.37,0.5,,2.82,3.89,,0.6,,,0.59,,0.9,3.15,1.94,,,1.58,1.78,1.87
few clouds_0,1.41,1.48,1.01,2.18,0.98,,1.88,0.81,0.89,2.39,0.66,1.96,2.32,2.08,,1.04,,,2.2,,2.95,2.42,2.15,,,1.61,1.78,1.79
scattered clouds_2,1.67,1.31,1.62,1.96,3.12,,1.69,1.22,1.1,2.26,1.6,,1.7,2.47,,1.71,,,1.85,,2.44,,,3.29,,1.61,1.72,1.91
mist_1,1.19,0.84,2.22,,,,,2.24,1.86,0.97,1.92,2.42,,1.45,1.87,,,2.57,,2.54,,,,,,1.65,2.03,2.06
fog_0,1.21,0.56,1.24,,,,,2.67,,0.98,3.46,,1.22,1.76,3.89,,,2.76,,3.79,,,,,,1.63,2.1,1.98
mist_4,0.51,1.12,1.82,,,,,2.67,,1.29,2.28,,,0.84,2.78,,,4.22,2.09,,,,,,,1.63,1.83,1.93
scattered clouds_3,2.09,1.81,,1.59,,,1.3,,,2.56,,,,,,,,,,,3.03,,,,3.78,1.64,1.85,1.94
broken clouds_2,2.04,1.83,,2.6,,,,,,2.58,,3.01,,,,,,,,,,,,,,1.52,1.86,1.95
heavy snow_0,2.27,1.88,,1.3,,,,2.74,,0.8,2.93,,,3.55,,,1.61,3.22,,,1.79,,,,,1.7,2.02,2.12
proximity thunderstorm_0,,,2.21,,,,,2.19,3.59,,2.05,,,4.76,2.63,,,3.76,,3.4,,,,,,1.72,3.14,2.68
heavy snow_1,,1.97,,,,,,2.65,,,,,,,,,,,,,,,,,,1.78,2.01,2.11
heavy intensity rain_0,2.57,0.91,,,,,,2.65,,1.79,2.84,,,4.23,,,,3.64,,,,,,,,1.78,2.79,2.38
fog_2,1.85,,,,,,,2.65,,,,,,,,,,,,,,,,,,1.78,2.01,2.11
proximity shower rain_0,1.99,,2.47,,,,,,,3.0,3.06,,,,,,,,,,,,,,,1.93,2.17,2.27
snow_0,1.99,2.12,,,,,,2.86,,,3.06,3.19,,,,,,3.93,,,,,,,,1.93,2.17,2.27
heavy intensity drizzle_0,1.99,2.12,,,,,,2.86,,,,,,,,,,,,4.15,,,,,,,2.17,2.27
proximity thunderstorm with rain_0,,2.12,,,,,,2.86,,,3.06,,,,,,,3.93,,,,,,,,1.93,,
thunderstorm with light rain_0,,,2.47,,,,,2.86,,,3.06,,,,3.44,,,3.93,,4.15,,,,,,1.93,,
temp_4,1.29,0.85,1.24,1.14,1.2,0.7,1.27,1.38,1.45,1.69,1.56,1.57,1.2,1.67,1.76,0.91,0.22,1.45,1.41,1.27,1.2,0.81,1.57,1.23,0.4,1.3,1.43,1.49
temp_3,1.25,1.43,0.69,1.11,0.31,,1.3,1.36,1.07,1.49,1.45,1.55,1.42,1.68,1.68,1.28,1.15,1.77,1.52,1.66,1.56,0.78,1.59,1.03,1.32,1.32,1.52,1.59
temp_5,1.15,0.97,1.66,,1.04,0.73,1.23,1.47,1.43,1.61,1.61,1.12,1.33,2.29,1.48,1.9,,1.94,1.4,2.08,2.67,1.71,2.24,1.06,,1.31,1.61,1.62
temp_2,1.43,1.49,,2.15,,,1.76,1.13,1.44,2.36,0.88,1.12,2.03,2.33,,1.66,0.68,,1.41,1.13,2.93,2.07,2.15,1.39,1.91,1.43,1.59,1.56
temp_6,1.31,0.83,1.58,,2.36,3.04,1.65,,,1.17,1.16,0.76,1.33,1.3,,0.62,,,0.61,,1.32,,1.62,1.45,,1.27,1.39,1.5
temp_7,1.81,,2.25,,3.36,4.88,2.25,,,,,,1.96,,,,,,,,,,,,,1.75,1.97,2.07
traffic_volume_2,1.22,1.08,1.2,1.11,1.02,0.82,1.26,1.37,1.24,1.51,1.55,1.33,1.27,1.8,1.64,1.03,0.53,1.58,1.22,1.61,1.76,0.95,1.56,1.12,0.8,1.25,1.48,1.51
traffic_volume_0,1.27,1.13,1.08,1.14,0.92,0.62,1.22,1.23,1.28,1.7,1.4,1.6,1.37,1.88,1.35,1.3,0.84,1.5,1.41,1.46,1.51,1.14,1.55,1.13,1.02,1.32,1.43,1.5
traffic_volume_1,1.24,1.13,1.05,1.11,0.96,1.03,1.45,1.36,1.29,1.73,1.39,1.4,1.42,1.59,1.59,1.18,0.9,1.53,1.43,1.34,1.46,1.0,1.92,0.98,1.23,1.35,1.52,1.56
