,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.24,1.21,0.81,1.34,0.76,0.17,1.35,0.66,0.99,1.26,0.9,0.7,1.37,1.28,0.72,0.84,0.69,0.49,0.75,0.16,0.12,1.36,1.23,1.11,0.52,0.46,1.04,1.27,1.32,1.34
mist_0,1.56,0.96,1.43,0.5,0.31,,1.35,1.67,2.59,1.41,1.67,1.44,0.45,1.74,1.81,,0.31,1.58,0.49,1.94,1.58,0.94,,1.36,0.33,,,1.54,1.66,1.61
overcast clouds_2,1.34,1.42,1.27,1.15,,,1.68,0.73,1.64,1.98,0.77,1.47,1.62,1.56,,1.33,,0.69,1.29,,,1.89,,2.19,1.14,,,1.48,1.55,1.57
broken clouds_0,1.48,1.29,1.12,0.96,0.91,,1.48,0.8,0.8,1.64,1.14,1.56,1.09,1.58,1.03,1.26,0.28,0.56,1.29,0.99,0.76,1.42,0.79,1.33,0.78,0.82,0.61,1.5,1.55,1.56
light rain_0,1.64,1.03,1.82,0.32,0.47,,1.35,1.68,1.7,1.49,1.74,1.65,0.45,1.83,1.7,0.51,0.58,1.63,0.33,2.47,1.77,0.9,0.61,1.24,0.67,,0.78,1.61,1.73,1.67
overcast clouds_1,1.68,1.63,1.43,0.71,0.91,,1.3,1.72,0.88,1.5,1.63,1.85,1.03,1.47,1.63,0.98,,1.55,1.95,1.45,1.72,1.2,,1.37,0.98,,,1.64,1.71,1.74
few clouds_1,1.5,1.36,0.94,1.22,1.14,0.51,1.43,1.23,0.79,1.68,1.44,1.46,1.66,1.78,0.68,0.42,0.38,0.71,0.75,0.72,,1.49,1.05,1.31,1.4,2.04,,1.52,1.58,1.61
overcast clouds_0,1.57,1.23,1.3,0.73,1.08,,1.5,1.3,0.89,1.63,1.36,1.26,1.32,1.67,1.16,1.25,,1.1,1.47,0.95,0.79,1.62,0.72,1.44,1.16,0.24,0.74,1.57,1.62,1.64
light intensity drizzle_0,1.72,0.92,2.22,0.66,,,1.48,1.77,,1.99,1.81,1.78,0.94,2.0,1.86,,,1.65,0.55,2.07,1.6,0.87,,1.72,,,,1.73,1.82,1.77
broken clouds_1,1.83,1.74,1.0,1.3,0.79,,1.9,,1.17,1.92,0.51,1.09,3.0,1.43,,1.93,,,1.41,,,3.09,0.77,2.52,1.28,,,1.7,1.77,1.8
overcast clouds_3,0.51,1.83,,1.42,,,1.16,0.47,,0.97,1.4,,1.38,,,,2.15,,,,,1.44,,0.86,,,,1.77,1.84,1.87
moderate rain_0,2.04,1.1,2.52,,,,0.95,2.0,1.76,1.13,2.13,1.48,0.39,2.44,2.37,,,2.22,0.52,2.0,2.51,1.06,,1.07,,,,1.83,2.0,1.98
scattered clouds_1,1.73,1.46,0.83,2.32,1.3,,1.93,0.55,1.52,1.8,0.88,0.71,1.82,1.72,1.01,1.59,,0.86,1.93,,,1.11,2.34,1.73,0.56,0.93,,1.77,1.85,1.88
haze_0,1.57,1.5,1.47,1.15,,,3.07,1.97,,1.41,1.46,2.07,1.18,2.09,1.91,,,1.52,,2.12,0.62,1.59,,2.29,,,,1.92,1.9,1.93
mist_3,1.77,0.77,0.69,,,,0.72,2.19,,1.51,2.63,,,0.64,2.74,,,1.26,,,,0.72,,0.86,,,,1.82,2.04,1.93
drizzle_0,1.98,0.67,1.94,,,,,2.17,,1.92,2.22,4.04,,2.53,2.36,,,2.24,,2.58,2.32,,,,,,,1.99,2.23,2.0
scattered clouds_0,1.73,1.67,0.74,1.29,0.83,,1.89,0.43,1.11,2.03,1.35,1.37,1.64,2.18,1.53,0.89,0.71,,1.87,0.97,,1.6,1.3,1.41,1.63,0.91,0.95,1.75,1.83,1.86
few clouds_2,1.87,2.03,1.24,2.0,,,1.94,,3.91,2.4,0.43,,2.36,3.22,,2.15,,,0.43,,,1.37,2.2,1.16,,,,1.85,1.93,1.96
few clouds_0,1.61,1.62,1.0,1.95,0.75,,1.92,0.86,0.91,2.02,1.03,1.39,1.94,1.71,0.73,1.06,0.75,0.62,1.55,0.46,,2.1,1.98,1.72,,,,1.88,1.93,1.96
scattered clouds_2,1.94,1.46,1.63,1.65,2.43,,2.34,1.13,0.96,2.02,1.41,1.27,1.45,2.08,,1.23,,,1.38,,,1.64,,,2.24,,,1.92,2.0,2.03
mist_1,1.38,0.94,2.24,,,,,1.96,2.26,1.4,2.01,1.68,,1.84,1.91,,,1.79,,1.84,0.71,,,,,,,1.96,2.16,2.2
fog_0,1.43,0.51,1.23,,,,,2.48,,1.11,3.85,,0.86,1.5,4.01,,,2.33,1.28,3.3,1.3,,,,,,,1.96,2.17,2.14
mist_4,0.6,1.26,1.86,,,,,2.4,,1.16,2.45,,1.19,1.89,2.56,,,2.68,1.28,,0.83,,,,,,,1.96,2.04,2.08
scattered clouds_3,2.23,2.05,,1.43,,,1.34,,,2.32,,,1.25,4.78,,,,,1.94,,,2.61,,,,2.52,,1.98,2.07,2.11
broken clouds_2,2.04,2.08,,2.36,,,,,,2.36,,2.41,4.67,,,,,,,,,,,,,,,2.01,2.1,2.14
heavy snow_0,3.24,2.2,,1.61,,,,2.43,,0.71,2.72,,,3.14,,1.31,1.31,2.54,,,,1.8,,0.99,,,,2.13,2.22,2.26
proximity thunderstorm_0,,,2.38,,,,,2.15,3.49,,1.92,,,4.27,2.29,,,2.81,,2.45,,,,,,,,2.18,3.68,2.69
heavy snow_1,,2.42,,,,,,2.69,,,,,,2.82,,,,,,,,,,,,,,2.33,2.43,2.48
heavy intensity rain_0,3.28,1.12,,,,,,2.69,,1.76,2.75,,,3.92,,,,3.01,,,,,,,,,,2.33,3.38,2.8
fog_2,2.36,,,,,,,2.69,,,,,,,,,,,,,,,,,,,,2.33,2.43,2.48
proximity shower rain_0,2.74,,2.96,,,,2.96,,,3.17,3.19,,,3.27,,,,,,,,3.56,,,,,,2.71,2.82,2.87
snow_0,2.74,2.8,,,,,,3.12,,,3.19,3.24,,,,,,3.49,,,3.56,,,,,,,2.71,2.82,2.87
heavy intensity drizzle_0,2.74,2.8,,,,,,3.12,,,,,,,,,,,,3.56,,,,,,,,2.71,2.82,2.87
proximity thunderstorm with rain_0,,2.8,,,,,,3.12,,,3.19,,,,,,,3.49,,,,,,,,,,2.71,,
thunderstorm with light rain_0,,,2.96,,,,,3.12,,,3.19,,,,3.33,,,3.49,,3.56,,,,,,,,2.71,,
temp_4,1.2,0.82,1.0,0.83,0.74,0.49,1.05,1.03,1.17,1.27,1.11,1.1,0.85,1.21,1.13,0.61,,0.86,0.9,0.84,0.94,0.8,0.53,0.94,0.79,0.3,0.7,1.22,1.26,1.26
temp_3,1.2,1.3,0.69,0.93,,,1.13,1.09,0.82,1.1,1.08,1.1,1.06,1.18,1.19,0.87,0.7,1.1,1.01,1.09,1.24,1.04,0.5,1.05,0.67,0.77,,1.27,1.34,1.35
temp_5,1.24,0.93,1.42,,0.88,0.33,1.21,1.14,1.17,1.46,1.26,0.99,1.15,1.63,1.07,1.03,,1.3,1.06,1.35,0.32,1.77,1.26,1.81,0.61,,0.6,1.31,1.45,1.43
temp_2,1.48,1.57,,1.72,,,1.65,0.77,1.2,1.84,1.14,1.24,1.66,1.93,0.8,1.49,0.43,,0.96,0.81,,2.03,1.45,1.5,0.94,1.12,,1.52,1.58,1.58
temp_6,1.44,0.84,1.56,,1.74,1.22,1.57,,,1.14,0.89,0.62,1.31,1.1,,1.5,,,0.43,,,0.9,,1.09,0.91,,,1.42,1.48,1.51
temp_7,2.27,,2.45,,2.83,3.0,2.45,,,,,,2.94,,,,,,,,,,,,,,,2.25,2.34,2.38
traffic_volume_2,1.17,0.98,1.0,0.82,0.69,0.46,1.07,1.0,0.95,1.13,1.11,0.92,0.93,1.26,1.1,0.74,0.36,0.97,0.79,0.99,0.88,1.07,0.7,0.98,0.69,0.48,0.5,1.17,1.25,1.25
traffic_volume_0,1.21,1.07,0.9,0.91,0.57,0.29,1.1,1.0,1.02,1.28,1.07,1.15,1.07,1.3,0.96,0.83,0.53,0.89,0.9,0.9,0.86,1.07,0.64,1.08,0.6,0.55,0.43,1.25,1.31,1.32
traffic_volume_1,1.2,1.07,0.88,0.88,0.62,0.44,1.22,1.03,1.04,1.38,1.05,1.2,1.04,1.22,1.09,0.87,0.59,0.97,1.01,1.0,0.9,1.01,0.54,1.22,0.7,0.67,0.5,1.33,1.37,1.36
