,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.0,0.36,0.58,0.9,1.42,0.79,0.77,1.14,1.04,0.28,0.56,0.61,0.37,0.58,0.44,0.75,1.28,1.14,1.06,0.87,0.63,0.15,1.1,1.24,1.01
mist_0,1.15,1.03,3.13,0.86,0.97,1.03,1.27,1.39,1.02,,,,,,,,1.56,1.32,1.26,0.67,,,1.35,1.74,1.4
overcast clouds_2,1.68,0.51,1.0,1.0,0.74,0.6,0.9,1.03,,1.39,,,,,,,1.31,1.27,1.44,2.72,,,1.91,0.85,1.07
broken clouds_0,0.97,1.35,0.98,0.97,1.3,1.3,0.8,0.89,1.97,0.72,0.52,0.69,,0.64,0.34,0.78,1.65,1.38,1.17,0.68,0.54,,1.4,1.46,1.27
light rain_0,1.22,1.09,1.49,0.97,1.04,1.49,,1.52,0.96,,,,,,,,1.74,1.38,1.43,,,,1.53,1.98,1.71
overcast clouds_1,1.21,1.39,1.73,0.96,1.3,1.02,0.93,0.87,1.04,,,0.6,,0.47,,,1.36,1.56,1.54,0.75,,,1.9,1.37,1.64
few clouds_1,1.2,0.79,1.11,1.31,,0.9,1.0,0.98,,,0.95,0.69,1.09,0.89,0.89,,1.42,1.48,1.39,0.7,1.52,0.78,1.83,1.09,1.14
overcast clouds_0,1.04,1.5,0.76,1.09,0.96,1.38,1.02,0.98,1.2,0.9,0.72,0.91,,1.1,0.6,,1.68,1.46,1.15,0.97,,,1.58,1.71,1.73
light intensity drizzle_0,1.36,1.14,,0.93,1.17,1.21,,1.42,1.04,,,,,,,,1.7,1.24,2.02,,,,1.76,2.02,1.76
broken clouds_1,1.9,,0.59,1.28,,,,0.88,,0.98,0.76,1.54,1.0,,,,1.45,1.76,1.03,1.96,1.4,,1.94,1.51,1.61
overcast clouds_3,,1.81,,,1.04,,,,,,,,,,,,,1.79,,,,,2.88,1.43,1.79
moderate rain_0,,1.38,,1.29,1.33,1.72,,1.78,1.53,,,,,,,,2.43,1.69,1.96,,,,1.96,2.56,2.3
scattered clouds_1,1.7,0.96,,1.55,,,0.86,1.69,,0.93,1.0,0.96,1.14,0.93,,,1.58,1.42,1.56,3.66,1.31,,1.98,1.35,1.38
haze_0,,1.46,,,1.05,2.56,,2.16,3.38,,,1.0,,,,,2.36,2.13,1.63,1.35,,,2.48,1.47,1.76
mist_3,,1.57,,1.36,1.76,,,0.59,1.2,,,0.65,,,,,2.19,,1.03,,,,2.31,2.31,3.15
drizzle_0,,1.46,,,1.41,1.28,,2.34,1.32,,,,,,,,2.13,1.46,2.0,,,,2.06,2.44,2.16
scattered clouds_0,1.63,,,1.36,,1.81,1.39,1.02,,0.5,1.04,0.82,1.69,0.44,0.92,,2.0,1.97,0.67,1.21,,,1.5,2.61,2.07
few clouds_2,1.93,,,,,,0.82,,,0.58,0.48,0.32,1.0,,,,1.02,2.13,,2.65,,,2.11,6.56,7.0
few clouds_0,1.54,,,1.47,,2.27,1.3,1.57,,,0.83,2.05,,1.0,,,1.94,1.64,2.05,1.64,,,1.93,2.28,1.63
scattered clouds_2,2.35,,,2.09,,,1.2,1.92,,,,0.63,,,1.0,,1.69,1.45,1.45,1.14,1.86,,3.89,1.27,1.92
mist_1,,1.55,,,1.45,1.97,,,1.3,,,,,,,,1.61,2.05,1.92,,,,2.1,2.46,1.92
fog_0,,1.6,,1.54,3.01,,,,2.34,,,,,,,,1.79,,1.84,,,,1.81,2.56,2.18
mist_4,,,,,,,,,,,,,,,,,1.3,3.01,1.84,,,,2.33,1.54,2.38
scattered clouds_3,2.1,,,1.43,,,,,,,,,,,,1.0,4.21,1.94,,,,,3.37,,0.64
broken clouds_2,,,,,,,,,,,,,,,,,6.69,2.72,,0.8,,,4.88,0.77,2.36
heavy snow_0,,2.12,,1.76,2.73,,,,,,,,,,,,3.66,2.44,,,,,2.44,,3.23
proximity thunderstorm_0,,1.92,2.68,,1.8,,,,2.28,,,,,,,,,,2.2,,,,2.16,,2.92
heavy snow_1,,2.15,,,,,,,,,,,,,,,,2.85,,,,,3.12,,
heavy intensity rain_0,,2.15,,,2.47,,,1.89,,,,,,,,,5.24,2.01,,,,,1.8,,3.78
fog_2,,2.15,,,,,,,,,,,,,,,3.03,,,,,,,2.8,3.27
proximity shower rain_0,,,,2.63,,,,,,,,,,,,,,,3.16,,,,4.0,,
snow_0,,2.75,,,2.58,,,,,,,,,,,,,3.65,,,,,,3.58,3.42
heavy intensity drizzle_0,,2.75,,,,,,,,,,,,,,,3.88,3.65,,,,,,,3.42
proximity thunderstorm with rain_0,,2.75,,,2.58,,,,,,,,,,,,,3.65,,,,,,,
thunderstorm with light rain_0,,2.75,,,2.58,,,,2.32,,,,,,,,,,3.16,,,,4.0,,
temp_4,0.81,0.71,0.78,0.66,0.65,0.88,0.72,0.65,0.62,0.67,0.58,0.42,0.67,0.46,0.61,0.23,1.0,0.85,1.07,0.82,0.45,,1.1,0.92,0.9
temp_3,0.84,0.77,0.76,0.73,0.87,0.64,0.59,0.69,1.02,0.53,0.62,0.43,0.38,0.54,0.69,0.55,1.28,1.01,0.35,0.65,,,1.08,1.15,1.1
temp_5,1.1,0.85,0.78,0.76,0.85,0.65,0.83,1.01,0.77,1.07,0.78,1.46,,0.55,0.56,,1.14,2.82,0.99,,0.84,,1.37,1.03,1.07
temp_2,1.21,1.66,0.47,1.14,,1.5,1.27,0.88,,,0.21,0.84,0.32,0.63,0.64,,1.07,1.3,,1.0,,,0.91,1.96,1.5
