,sky is clear_0,overcast clouds_2,broken clouds_0,overcast clouds_1,few clouds_1,overcast clouds_0,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.77,0.94,0.81,0.73,0.65,1.09,0.52,0.48,0.43,0.64,1.02,0.95,0.9,0.82,0.55,1.0,0.98,0.83
mist_0,,,,1.05,,1.19,,,,,1.31,1.2,1.27,,,1.23,1.47,1.11
overcast clouds_2,1.26,0.7,0.86,0.61,0.91,0.79,,,,,1.18,1.02,1.5,0.91,,1.38,0.81,0.92
broken clouds_0,0.81,0.83,0.7,1.07,0.67,0.69,0.59,0.55,0.48,,1.17,1.12,1.05,,,1.15,1.07,0.94
light rain_0,,,1.0,1.01,,1.06,,,,,1.35,1.21,1.75,,,1.34,1.44,1.19
overcast clouds_1,0.91,0.91,0.61,0.7,,0.61,,,,,1.1,1.35,1.26,,,1.31,1.21,1.05
few clouds_1,0.9,,0.81,,0.67,0.71,,0.47,0.64,,1.22,1.08,0.97,0.68,,1.21,0.91,0.95
overcast clouds_0,0.88,,0.71,0.98,,0.7,,0.75,,,1.18,1.22,1.07,,,1.23,1.1,1.02
light intensity drizzle_0,,,,,,,,,,,1.25,,,,,1.46,1.52,1.29
broken clouds_1,,,0.75,,,,,,,,1.22,1.46,,,,1.3,1.22,1.08
overcast clouds_3,,,,,,,,,,,,1.23,,,,1.71,1.07,1.13
moderate rain_0,,,,,,,,,,,1.96,,,,,1.48,1.73,1.56
scattered clouds_1,1.24,,0.93,,,,0.63,,,,1.24,1.14,,,,1.25,1.14,1.19
mist_3,,,,,,,,,,,1.5,,,,,1.71,,1.3
drizzle_0,,,,,,,,,,,1.48,,,,,1.75,,1.42
haze_0,,,,,,,,,,,,,,,,1.79,1.11,1.3
scattered clouds_0,1.16,,0.82,,,,,,,,1.52,1.47,,,,1.3,1.52,1.08
few clouds_0,1.08,,0.96,,,,,,,,1.27,1.23,,,,1.35,1.39,1.09
few clouds_2,1.05,,,,,,,,,0.56,,1.47,,,,1.38,,1.17
scattered clouds_2,,,,,,,,,,,,,,,,1.42,,
mist_1,,,,,,,,,,,,,,,,,,
fog_0,,,,,,,,,,,,,,,,,,
mist_4,,,,,,,,,,,,,,,,,,1.22
scattered clouds_3,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,
temp_4,0.84,0.86,0.61,0.92,0.68,0.58,0.52,0.42,0.45,0.72,0.88,0.88,1.2,0.9,0.79,1.01,0.83,0.78
temp_3,0.81,0.69,0.64,0.66,0.63,0.68,0.8,0.44,0.51,0.41,1.23,0.86,,0.65,,1.02,0.98,0.86
temp_5,0.99,0.94,0.76,0.63,0.84,0.78,,,0.81,,1.1,,0.76,,0.65,1.05,1.02,0.93
temp_2,0.91,,0.99,,0.85,1.16,,0.67,0.48,0.53,1.12,0.97,,0.69,,1.05,1.51,0.97
temp_6,0.88,,,,,,,,,,1.16,,0.77,,0.55,1.17,0.82,0.89
temp_7,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.8,0.66,0.61,0.62,0.53,0.61,0.46,0.64,0.6,0.63,0.92,0.96,0.78,0.99,0.5,0.9,1.02,0.81
traffic_volume_0,0.78,0.95,0.71,0.9,0.8,0.75,0.57,0.39,0.39,0.53,1.0,0.84,1.07,0.55,0.85,1.07,0.85,0.81
traffic_volume_1,0.93,1.05,0.65,0.78,0.75,0.64,0.73,0.43,0.48,0.62,1.08,0.95,1.15,0.66,,1.1,0.75,0.82
