,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.66,0.9,1.27,1.23,1.49,1.31,0.57,0.61,0.62,0.47,0.48,0.44,0.44,0.41,0.86,0.41
f_1,1.41,0.66,1.36,1.22,1.29,1.02,0.44,0.64,0.45,0.41,0.61,0.44,0.43,0.27,0.34,0.36
c_1,1.21,1.29,0.65,1.56,1.41,1.1,0.63,0.57,0.3,0.57,0.48,0.45,0.49,0.42,0.46,0.34
d_1,1.5,1.42,1.44,0.63,1.23,1.23,0.63,0.41,0.76,0.53,0.51,0.47,0.51,0.37,0.4,0.28
b_1,1.25,1.47,0.93,1.54,0.63,1.43,0.71,0.68,0.57,0.59,0.5,1.0,0.48,0.46,0.46,0.5
a_1,1.7,2.05,1.81,1.64,1.02,0.56,0.82,0.75,0.67,0.68,0.57,0.79,0.79,0.58,0.62,0.51
h_1,1.95,2.14,1.89,2.0,1.95,1.51,0.57,0.99,0.72,0.66,0.65,0.68,0.62,0.71,0.6,0.57
g_1,2.22,2.14,2.13,2.28,2.25,2.03,0.77,0.55,0.79,0.65,0.83,0.65,0.64,0.55,0.71,0.67
d_0,1.33,2.32,2.61,2.88,2.02,1.88,1.03,1.18,0.62,0.73,0.76,0.87,0.8,0.57,0.8,0.75
c_0,2.65,2.94,3.03,1.45,2.29,1.85,1.18,1.06,1.12,0.59,0.8,0.93,0.75,0.69,0.72,0.77
f_0,2.16,3.28,2.56,2.3,2.19,1.97,1.11,0.75,0.91,0.78,0.58,0.86,0.73,0.78,1.02,0.49
b_0,2.7,2.55,2.69,2.18,2.69,1.93,1.08,1.11,0.92,0.49,0.81,0.56,1.03,0.68,0.7,0.66
a_0,2.87,2.58,2.7,2.15,3.1,3.21,1.34,1.2,1.05,0.8,0.81,0.57,0.55,0.67,0.96,0.68
h_0,2.47,2.97,2.48,2.33,2.58,2.29,1.5,1.26,1.16,0.99,0.85,0.92,0.9,0.95,0.85,0.79
e_0,3.0,4.4,2.52,2.44,2.52,2.42,1.26,1.12,1.15,1.01,0.57,1.09,0.83,0.92,0.56,0.67
g_0,2.61,3.07,3.12,2.84,2.44,2.5,1.08,1.62,1.1,0.97,1.21,1.04,1.01,0.69,1.1,0.95
