,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.5,0.21,0.15,0.16,0.17,0.11,0.2,0.16,0.35,,0.21,0.16,0.23,0.21,0.11,0.1
e_1,0.11,1.5,0.14,0.18,0.15,0.16,0.2,0.19,0.19,0.31,0.22,0.18,0.22,0.21,0.15,
f_1,0.19,0.27,1.51,0.2,0.13,0.12,0.22,0.1,0.2,0.22,0.18,,0.22,0.14,0.15,0.17
c_1,0.15,0.17,0.17,1.54,0.22,0.13,0.24,0.2,,0.18,0.11,0.15,0.28,0.21,0.2,0.23
b_1,0.18,0.21,0.22,0.14,1.59,0.21,0.19,0.16,0.2,0.23,,0.19,0.23,0.21,,0.15
a_1,0.21,0.2,0.19,0.21,0.15,1.75,0.17,0.15,0.25,0.2,0.22,0.22,0.27,0.2,,
h_1,0.38,0.28,0.41,0.33,0.45,0.29,1.64,0.69,0.58,0.39,0.46,0.4,,0.61,0.35,0.32
g_1,0.63,0.31,0.49,0.34,0.43,0.46,0.36,1.73,0.4,0.45,0.58,0.62,0.3,,,
c_0,0.39,0.5,0.45,,0.37,0.28,0.58,0.5,1.4,0.55,0.96,0.43,0.63,0.56,0.53,0.54
d_0,,0.4,0.52,0.71,0.4,0.38,0.65,0.42,0.46,1.44,0.47,0.54,0.62,0.58,0.55,0.39
b_0,0.46,0.4,0.46,0.65,,0.27,0.42,0.5,0.45,0.74,1.5,0.54,0.56,0.6,0.85,
f_0,0.56,0.54,,0.44,0.4,0.39,0.54,0.41,0.73,0.57,0.54,1.52,0.75,0.42,0.53,0.63
h_0,0.55,0.55,0.75,0.51,0.61,0.41,,1.09,0.71,0.72,0.74,0.49,,0.91,,0.71
g_0,0.78,0.59,0.74,0.53,0.5,0.55,0.69,,0.78,0.65,0.55,1.16,0.62,,,0.66
a_0,0.67,0.5,0.5,0.54,,,0.68,,0.49,0.42,0.4,0.59,,,1.67,
e_0,0.78,,0.43,0.36,0.54,,0.72,,0.52,0.68,,0.55,0.64,0.47,,1.71
