,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.16,0.9,1.07,1.04,0.91,0.85,1.0,1.05,0.9,0.96,0.88,0.83,0.85,0.81,1.04
e_1,0.85,1.0,0.9,1.16,0.97,0.98,1.09,1.34,1.04,0.99,0.97,1.18,1.09,1.06,1.1,1.12
d_1,1.14,1.06,1.0,0.88,0.89,0.95,0.96,1.02,0.83,1.24,1.05,0.91,1.06,1.04,0.99,0.81
c_1,0.96,0.88,1.15,1.0,1.3,0.96,1.05,0.75,1.01,0.91,0.91,0.98,1.03,0.94,1.0,1.03
b_1,0.95,1.02,1.12,0.78,1.0,1.43,1.08,0.89,1.02,1.0,0.94,0.99,0.98,0.92,0.92,1.0
a_1,1.09,1.0,1.03,1.05,0.71,1.0,1.09,1.06,1.09,1.03,1.33,1.13,1.08,1.23,1.21,1.09
h_1,1.11,0.94,1.02,0.96,0.97,0.89,1.0,0.98,1.22,0.96,0.94,0.92,0.99,0.94,1.02,1.11
d_0,0.98,0.75,0.94,1.33,1.2,0.95,1.03,1.0,1.02,0.85,0.91,1.06,1.03,1.01,1.07,1.1
g_1,0.96,0.95,1.17,0.99,0.96,0.89,0.83,0.98,1.0,0.94,1.04,1.14,0.93,1.02,1.07,0.96
c_0,1.1,0.97,0.86,1.05,1.0,0.94,1.06,1.15,1.11,1.0,1.3,1.04,1.05,1.12,1.03,1.06
b_0,1.08,0.99,0.94,1.13,1.07,0.72,1.09,1.04,1.02,0.76,1.0,1.01,1.02,1.33,0.96,0.97
f_0,1.12,0.87,1.12,1.07,1.01,0.86,1.05,0.91,0.86,0.99,1.01,1.0,1.08,1.0,1.28,0.88
h_0,1.19,0.94,0.97,0.94,0.99,0.92,1.01,0.94,1.08,0.96,0.97,0.92,1.0,0.95,1.0,1.02
a_0,1.12,0.95,0.94,1.03,1.09,0.8,1.09,1.02,0.98,0.93,0.78,1.0,1.05,1.0,1.03,0.88
e_0,1.19,0.95,1.02,0.99,1.06,0.88,1.0,0.92,0.97,0.93,1.06,0.77,0.98,0.98,1.0,1.11
g_0,0.97,0.91,1.16,0.95,0.98,0.93,0.91,0.91,1.12,0.97,1.03,1.16,0.95,1.11,0.93,1.0
