,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.11,1.32,1.46,4.04,18.44,36.84,25.41,31.25,32.88,47.26,81.36,93.79,,120.88
f_1,1.32,1.0,1.22,1.49,1.74,3.82,12.71,26.7,29.51,30.31,38.13,,50.83,84.41,93.38,95.18
d_1,0.9,0.82,1.0,0.75,1.19,2.49,17.28,,24.46,43.25,38.55,30.26,58.23,58.75,90.05,66.05
c_1,0.76,0.67,1.33,1.0,1.76,2.92,17.11,15.85,26.36,,31.62,38.47,63.82,78.13,71.65,59.12
b_1,0.68,0.57,0.84,0.57,1.0,2.8,11.3,18.41,15.49,18.7,,30.06,39.48,51.93,57.17,60.86
a_1,0.25,0.26,0.4,0.34,0.36,1.0,6.75,8.71,8.5,10.62,15.93,12.2,23.03,,,35.32
h_1,0.05,0.08,0.06,0.06,0.09,0.15,1.0,1.42,1.56,1.65,2.52,2.35,,5.44,3.92,5.38
d_0,0.03,0.04,,0.06,0.05,0.11,0.7,1.0,1.05,1.47,1.61,1.79,2.7,2.76,4.02,4.3
g_1,0.04,0.03,0.04,0.04,0.06,0.12,0.64,0.96,1.0,1.08,1.28,2.04,2.1,3.04,2.86,
c_0,0.03,0.03,0.02,,0.05,0.09,0.6,0.68,0.93,1.0,1.53,1.2,1.72,2.28,3.42,2.63
b_0,0.03,0.03,0.03,0.03,,0.06,0.4,0.62,0.78,0.65,1.0,1.02,1.82,3.81,2.75,2.77
f_0,0.02,,0.03,0.03,0.03,0.08,0.43,0.56,0.49,0.83,0.98,1.0,1.29,2.37,,1.76
h_0,0.01,0.02,0.02,0.02,0.03,0.04,,0.37,0.48,0.58,0.55,0.78,,0.98,1.53,1.87
a_0,0.01,0.01,0.02,0.01,0.02,,0.18,0.36,0.33,0.44,0.26,0.42,1.02,1.0,,1.14
e_0,,0.01,0.01,0.01,0.02,,0.25,0.25,0.35,0.29,0.36,,0.66,,1.0,1.17
g_0,0.01,0.01,0.02,0.02,0.02,0.03,0.19,0.23,,0.38,0.36,0.57,0.54,0.88,0.86,
