,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.75,0.64,0.56,0.72,0.57,0.6,0.91,0.73,1.77,0.85,1.0,1.11,1.08,1.04,0.47,0.9
f_1,1.05,2.78,0.57,0.62,0.52,0.44,0.68,0.77,0.76,0.86,1.03,0.38,0.89,1.04,0.78,0.98
d_1,0.6,0.73,3.08,0.42,0.56,0.61,1.12,1.02,0.43,1.68,1.11,0.91,1.04,0.98,0.95,0.99
c_1,0.55,0.54,0.61,3.18,1.17,0.56,0.72,0.75,0.91,0.33,0.65,0.84,0.92,0.79,1.03,0.95
b_1,0.56,0.62,0.59,0.68,3.4,1.12,0.89,0.95,0.81,0.87,0.25,0.83,0.96,0.8,0.98,0.84
a_1,0.55,0.64,0.67,0.56,0.57,4.9,0.99,1.03,0.87,1.01,1.0,1.31,0.93,0.39,0.99,0.89
h_1,0.61,1.05,0.84,0.82,0.64,0.63,3.1,1.32,0.9,1.11,1.08,0.98,0.7,0.92,1.25,1.62
g_1,0.67,0.59,1.29,0.69,0.7,0.83,0.91,3.65,0.78,1.13,1.26,1.81,1.05,0.99,1.19,0.73
d_0,0.67,0.79,0.43,1.48,0.67,0.66,1.06,0.82,2.38,0.93,1.15,1.33,1.23,1.08,1.36,1.27
c_0,0.82,0.78,0.86,0.55,0.5,0.66,1.4,1.17,1.21,2.41,2.65,1.59,1.12,1.26,1.34,1.26
b_0,0.77,0.91,0.82,0.86,0.39,0.46,1.09,1.13,1.1,1.07,2.92,1.26,1.41,2.57,1.38,1.37
f_0,0.63,0.36,0.85,0.95,0.77,0.82,1.22,1.16,1.05,1.07,1.56,2.94,1.15,0.98,2.7,1.21
h_0,0.67,1.19,0.76,0.71,0.66,0.82,0.69,1.39,1.14,1.09,0.98,1.19,0.71,1.06,1.07,1.59
a_0,0.74,0.88,0.89,1.03,0.61,0.28,1.29,1.01,1.19,1.25,1.04,0.8,1.34,3.84,1.09,1.18
e_0,0.38,0.58,1.03,0.89,0.91,0.59,1.75,1.68,1.01,1.19,1.1,1.29,1.27,1.35,3.96,1.21
g_0,0.69,0.79,1.34,0.59,0.82,0.63,1.11,0.85,0.94,1.06,1.04,1.66,1.16,1.15,1.1,0.8
