,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.75,0.81,0.74,1.0,0.76,0.81,0.99,0.85,1.63,0.85,0.96,1.07,1.07,1.01,0.78,1.03
f_1,1.28,1.77,0.76,0.79,0.73,0.56,0.82,0.86,0.97,0.88,0.98,0.75,0.95,0.92,0.77,0.94
d_1,0.78,0.94,1.96,0.62,0.67,0.76,1.07,1.11,0.67,1.65,1.21,1.0,1.01,1.16,1.0,1.06
c_1,0.72,0.74,0.79,2.0,1.43,0.84,0.83,0.91,0.91,0.62,0.68,0.87,0.95,0.91,0.95,0.87
b_1,0.76,0.77,0.85,0.8,2.07,1.39,0.99,0.91,0.86,0.94,0.7,0.89,0.99,0.81,1.02,0.99
a_1,0.76,0.9,0.93,0.85,0.79,2.84,1.08,1.06,0.81,1.04,1.08,1.18,0.98,0.63,1.01,0.93
h_1,0.85,1.14,0.9,0.88,0.75,0.73,1.74,1.23,0.88,0.9,1.0,1.02,0.91,0.98,1.16,1.46
g_1,0.71,0.8,1.35,0.8,0.73,0.91,1.01,2.02,0.78,1.13,1.17,1.49,0.97,0.99,1.17,0.8
d_0,0.75,0.88,0.68,1.51,0.96,0.79,0.97,0.87,1.43,0.68,0.93,1.01,1.05,1.01,1.22,0.96
c_0,0.95,0.96,0.84,0.85,0.63,0.81,1.17,1.05,1.09,1.52,1.97,1.19,1.06,1.39,1.16,1.11
b_0,0.93,1.04,0.89,0.92,0.68,0.61,1.09,1.03,1.02,1.03,1.77,1.15,1.18,2.08,1.17,1.05
f_0,0.74,0.73,1.01,0.97,0.91,0.9,1.1,1.19,0.97,0.96,1.21,1.76,1.07,0.99,2.21,1.17
h_0,0.83,1.14,0.91,0.85,0.77,0.92,0.81,1.26,0.89,0.93,1.03,0.98,0.88,1.06,1.12,1.24
a_0,0.84,0.98,1.01,0.98,0.81,0.58,1.16,1.08,0.99,1.07,1.0,0.9,1.03,2.06,1.1,0.93
e_0,0.71,0.91,1.06,0.9,0.99,0.71,1.2,1.38,0.9,1.01,1.12,1.01,1.11,1.09,2.12,1.33
g_0,0.83,0.87,1.27,0.75,0.85,0.85,1.01,0.86,0.74,1.06,1.03,1.44,1.02,1.03,1.27,0.84
