,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.76,2.45,2.06,2.15,1.6,0.78,0.81,0.94,0.68,0.76,1.11,0.39,0.76,0.52,0.64
d_1,2.35,0.66,2.07,1.95,1.71,1.83,1.16,1.31,0.7,1.11,0.68,0.76,0.6,0.69,0.67,0.45
e_1,1.28,2.6,0.66,2.24,2.16,2.11,0.88,1.03,1.09,0.65,0.8,0.82,0.73,0.65,1.67,0.77
c_1,2.1,2.53,2.06,0.64,2.78,2.17,0.79,0.45,1.08,1.47,0.66,0.73,0.7,0.73,0.61,0.63
b_1,2.21,2.35,2.26,1.46,0.63,2.27,1.21,0.91,0.92,0.96,1.72,0.69,0.74,0.89,1.08,0.68
a_1,3.77,2.79,2.2,2.36,1.55,0.58,1.25,0.96,1.4,0.98,0.98,0.93,0.8,1.62,1.01,0.67
h_1,2.64,2.36,2.9,3.48,2.42,2.61,0.59,0.92,1.31,0.91,0.95,1.02,1.21,0.81,0.82,0.85
d_0,3.11,6.04,1.63,3.32,3.07,2.88,1.6,0.67,1.02,0.93,1.0,0.91,0.86,0.82,1.06,0.97
g_1,3.04,3.02,2.83,2.69,3.21,2.42,1.11,1.44,0.56,1.08,1.14,1.2,0.76,1.15,1.12,1.28
c_0,3.57,1.6,3.25,5.54,3.07,2.4,1.34,1.31,1.52,0.65,1.31,0.99,1.15,0.91,0.91,0.84
b_0,2.91,3.08,2.8,3.74,6.03,3.42,1.24,0.93,1.19,0.61,0.65,1.0,0.89,1.17,1.1,0.73
f_0,8.77,3.0,2.93,2.96,3.26,2.71,1.4,1.17,0.94,1.1,1.22,0.63,0.86,1.15,1.26,0.61
h_0,4.6,2.96,3.06,3.37,3.02,2.98,2.01,1.37,1.4,1.09,1.07,1.28,1.71,0.89,1.0,1.34
a_0,4.26,2.97,3.83,3.29,4.38,,1.57,1.45,1.51,1.48,0.79,1.29,1.21,0.59,0.89,0.9
e_0,6.4,3.18,4.22,4.7,3.44,2.59,1.51,1.39,1.29,1.32,1.14,0.8,1.0,1.53,0.58,0.84
g_0,3.71,4.01,3.74,3.66,3.34,3.41,1.48,1.31,2.4,1.38,1.41,1.56,0.81,1.09,1.21,1.5
