,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.37,0.18,0.18,0.13,0.08,0.15,0.14,0.14,0.11,0.14,0.06,0.17,0.1,0.12,0.07
e_1,0.2,0.89,0.15,0.2,0.17,0.12,0.14,0.12,0.33,0.16,0.16,0.14,0.13,0.1,0.13,0.04
d_1,0.24,0.15,0.89,0.14,0.13,0.11,0.19,0.15,0.07,0.31,0.2,0.16,0.19,0.11,0.13,0.1
c_1,0.21,0.2,0.15,0.88,0.28,0.1,0.17,0.12,0.15,0.07,0.1,0.15,0.15,0.12,0.11,0.08
b_1,0.2,0.19,0.15,0.19,0.88,0.22,0.17,0.11,0.15,0.13,0.05,0.11,0.2,0.07,0.14,0.09
a_1,0.24,0.17,0.22,0.15,0.15,0.87,0.17,0.14,0.16,0.15,0.16,0.14,0.21,0.06,0.12,0.09
h_1,0.36,0.22,0.24,0.19,0.15,0.09,0.55,0.22,0.2,0.22,0.18,0.14,0.12,0.13,0.23,0.11
g_1,0.22,0.21,0.35,0.22,0.16,0.12,0.2,0.54,0.18,0.18,0.18,0.24,0.19,0.14,0.1,0.11
d_0,0.27,0.21,0.13,0.41,0.16,0.12,0.2,0.12,0.43,0.15,0.21,0.15,0.18,0.12,0.14,0.16
c_0,0.3,0.21,0.29,0.13,0.11,0.12,0.22,0.18,0.2,0.42,0.38,0.14,0.27,0.17,0.2,0.16
b_0,0.31,0.2,0.25,0.22,0.08,0.11,0.23,0.2,0.22,0.2,0.44,0.16,0.22,0.26,0.19,0.14
f_0,0.14,0.17,0.3,0.23,0.18,0.14,0.22,0.15,0.24,0.27,0.22,0.42,0.21,0.13,0.22,0.25
h_0,0.38,0.23,0.24,0.22,0.18,0.11,0.12,0.22,0.18,0.18,0.2,0.15,0.14,0.14,0.23,0.11
a_0,0.35,0.19,0.25,0.18,0.17,0.06,0.25,0.17,0.2,0.18,0.19,0.19,0.24,0.39,0.18,0.16
g_0,0.22,0.19,0.37,0.22,0.17,0.12,0.16,0.11,0.17,0.2,0.22,0.27,0.2,0.12,0.12,0.11
e_0,0.34,0.13,0.23,0.24,0.16,0.12,0.23,0.18,0.23,0.2,0.23,0.15,0.28,0.19,0.18,0.37
