,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.65,1.15,1.05,1.09,1.06,0.91,0.38,0.51,0.39,0.35,0.35,0.41,0.32,0.24,0.31,0.32
e_1,0.76,0.65,1.09,1.14,1.1,1.04,0.56,0.49,0.5,0.41,0.41,0.46,0.42,0.31,0.32,0.44
d_1,1.16,1.17,0.64,1.07,0.98,0.91,0.47,0.33,0.49,0.48,0.42,0.39,0.37,0.31,0.24,0.36
c_1,1.09,0.98,1.27,0.64,1.26,1.01,0.46,0.45,0.27,0.49,0.34,0.34,0.37,0.33,0.31,0.32
b_1,1.22,1.33,1.31,0.75,0.62,1.2,0.59,0.64,0.44,0.5,0.49,0.42,0.44,0.38,0.37,0.44
a_1,1.57,1.33,1.28,1.34,0.77,0.58,0.69,0.64,0.53,0.53,0.56,0.46,0.73,0.55,0.38,0.49
h_1,2.03,1.47,1.63,1.93,1.62,1.42,0.55,0.9,0.67,0.64,0.63,0.57,0.56,0.62,0.5,0.6
g_1,1.96,1.8,2.02,2.15,1.79,1.58,0.67,0.53,0.69,0.64,0.6,0.72,0.56,0.42,0.63,0.57
d_0,1.9,1.26,2.54,2.3,1.96,1.81,0.79,1.06,0.58,0.61,0.7,0.64,0.69,0.62,0.56,0.61
c_0,2.41,1.81,1.23,2.72,1.98,1.69,0.83,0.88,1.04,0.56,0.87,0.72,0.7,0.62,0.58,0.66
b_0,2.22,1.81,1.6,2.78,2.88,1.79,0.93,0.93,0.83,0.45,0.56,0.65,0.78,0.66,0.65,0.66
f_0,2.91,1.95,1.86,2.23,2.08,2.05,1.0,0.65,0.84,0.66,0.87,0.54,0.73,0.65,0.46,0.94
a_0,2.5,1.92,2.14,2.26,2.77,2.43,1.07,1.1,0.81,0.69,0.52,0.82,0.53,0.65,0.62,0.66
h_0,2.7,2.21,2.19,2.28,2.24,1.56,1.13,1.09,0.84,0.81,0.71,0.74,0.77,0.77,0.63,0.68
g_0,2.66,2.42,2.45,2.55,2.35,2.27,0.89,0.98,0.92,0.88,0.85,0.93,0.84,0.61,0.81,0.77
e_0,3.12,2.54,2.26,2.9,2.29,2.23,1.0,1.1,0.83,0.76,0.91,0.44,0.91,0.75,0.62,0.53
