,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.75,0.64,0.51,0.81,0.6,0.51,0.84,0.99,0.82,1.63,1.05,1.04,0.95,1.0,0.49,1.02
f_1,1.09,2.82,0.58,0.66,0.45,0.4,0.94,0.63,0.72,0.84,0.97,0.31,0.8,0.95,0.84,0.86
d_1,0.5,0.66,3.05,0.43,0.69,0.68,0.84,1.04,1.83,0.4,1.03,0.91,1.22,1.07,1.07,0.82
c_1,0.56,0.61,0.61,3.27,1.17,0.45,0.73,0.77,0.28,0.89,0.61,1.09,0.82,0.95,1.11,1.03
b_1,0.49,0.58,0.69,0.58,3.5,1.27,0.94,0.77,0.78,0.76,0.32,1.1,1.06,0.51,0.98,0.96
a_1,0.64,0.71,0.61,0.55,0.54,4.81,1.06,0.92,1.07,0.96,0.97,0.86,1.06,0.51,1.02,1.12
h_1,0.73,1.08,0.72,0.7,0.59,0.71,3.02,1.52,1.21,1.02,1.14,0.93,0.47,1.23,0.93,1.44
g_1,0.55,0.63,1.23,0.82,0.64,0.7,0.95,3.52,1.1,0.9,1.06,1.79,1.22,0.96,1.06,0.58
c_0,0.8,0.77,0.93,0.42,0.5,0.92,1.21,0.95,2.41,1.19,2.39,1.2,1.26,1.29,1.25,1.2
d_0,0.91,0.78,0.3,1.47,0.7,0.53,1.13,1.03,0.9,2.37,1.46,1.33,1.1,1.0,1.13,1.26
b_0,0.72,0.83,0.93,0.76,0.32,0.66,1.24,1.22,1.25,1.03,2.56,1.37,1.26,2.63,1.26,1.23
f_0,0.62,0.46,0.93,0.86,0.74,0.91,1.16,1.34,1.04,1.16,1.37,2.58,1.3,1.15,2.03,1.0
h_0,0.8,1.03,1.02,0.71,0.56,0.66,0.59,1.34,1.15,1.09,1.21,0.96,0.72,0.84,1.18,1.62
a_0,0.77,0.79,0.87,0.66,0.81,0.25,1.22,1.38,1.14,1.2,1.31,1.28,1.48,3.3,1.05,1.2
e_0,0.4,0.78,0.73,0.97,0.75,0.66,1.39,1.14,1.19,1.48,1.15,1.22,1.18,1.13,3.58,1.19
g_0,0.67,0.62,1.2,0.95,0.74,0.71,0.89,0.68,1.2,1.02,1.48,2.1,1.02,1.43,0.98,0.62
