,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,4.2,3.03,3.18,3.58,3.02,1.55,2.39,1.63,1.42,1.54,,1.2,1.82,1.36,1.89
e_1,2.2,0.41,4.06,3.68,3.4,3.4,1.84,1.92,1.92,1.82,1.58,1.56,1.33,1.64,1.65,
d_1,3.65,3.29,0.41,2.98,3.43,4.05,1.94,1.57,1.87,,1.78,1.67,1.41,1.64,0.97,1.33
c_1,3.8,3.3,4.52,0.39,3.56,4.12,1.94,1.46,,1.11,1.5,1.84,1.28,,1.51,1.36
b_1,3.69,3.85,3.53,2.33,0.37,4.27,2.47,1.66,1.79,1.47,,1.48,1.26,1.77,1.44,1.61
a_1,3.99,4.76,4.3,4.12,2.5,0.31,1.88,1.87,1.31,1.24,1.88,1.42,1.95,,1.19,
h_1,1.86,1.84,1.88,1.81,1.59,1.88,0.26,0.97,0.85,0.77,0.87,0.76,,0.88,0.67,0.66
g_1,1.76,2.56,1.5,2.41,2.28,2.0,0.93,0.24,0.86,0.69,0.76,1.06,0.51,0.58,,
c_0,1.63,1.48,1.05,,1.66,1.86,0.74,0.73,0.29,0.98,0.9,0.93,0.56,0.62,0.68,0.56
d_0,1.64,0.99,,1.64,1.92,2.21,0.91,0.91,0.55,0.29,0.68,0.63,0.68,0.79,0.53,0.6
b_0,1.95,2.57,1.44,1.89,,1.48,0.65,0.76,0.51,0.71,0.26,0.56,0.54,1.04,0.69,0.74
f_0,,1.51,1.88,1.3,1.59,1.36,1.02,0.69,0.61,0.74,0.86,0.26,0.6,0.61,0.47,0.77
h_0,1.15,1.19,1.25,1.71,1.19,0.94,,0.82,0.55,0.51,0.74,0.58,,0.54,0.56,
a_0,1.73,2.11,1.72,,1.66,,0.94,1.21,0.82,0.75,0.37,0.71,0.48,0.22,0.59,
g_0,1.6,1.11,1.55,1.12,1.51,1.25,0.51,,0.53,0.63,0.5,0.77,0.37,0.59,,
e_0,1.89,,1.88,1.79,1.44,,0.94,,1.0,0.69,0.66,0.4,,,,0.21
