,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,111.72,11.45,24.75,18.28,18.87,98.75,1682.77,3257.49,4185.92,6368.23,,8903.19,16764.27,27260.68,33285.53,
d_1,15.28,115.14,14.64,13.17,21.3,,1745.03,3377.95,,9315.41,7046.56,8934.51,25018.68,23416.94,27375.47,21941.98
e_1,9.33,9.92,118.53,15.8,22.91,78.72,1895.3,2699.42,5927.92,6756.58,7032.82,9219.58,24810.0,29879.77,18551.65,
c_1,11.57,13.43,12.45,137.58,32.93,,1481.02,2626.47,4089.55,,6085.94,7169.76,21104.41,25490.1,25122.03,35864.74
b_1,12.48,11.6,10.15,12.73,178.09,97.36,1483.28,2512.15,3693.81,4820.67,5265.55,,16882.8,26261.76,,30678.61
a_1,5.7,,7.14,,10.65,515.58,1020.47,1648.75,2187.09,3639.69,3632.26,4530.87,11278.62,,,
h_1,7.88,5.23,5.78,8.74,9.39,33.08,2926.14,2110.76,1967.75,2223.14,2832.18,3715.82,,19360.65,12252.34,17183.4
g_1,4.25,5.83,5.68,6.36,7.37,29.93,471.37,5008.96,1692.16,2587.32,3772.42,3519.12,6764.23,,8755.48,12384.6
d_0,5.48,,5.56,10.0,9.09,38.5,845.93,1487.72,4728.63,2228.73,1878.94,3099.7,8284.91,11152.69,12443.38,12084.34
c_0,2.97,4.15,4.19,,8.66,34.62,823.85,1316.38,1738.66,5768.01,2911.54,5160.53,9244.19,10243.02,13253.94,11686.91
f_0,,4.5,4.36,5.86,9.63,30.54,671.7,933.38,1476.7,2298.69,6606.4,3572.46,6301.01,10872.95,10061.87,20972.63
b_0,4.66,5.3,3.66,5.7,,26.62,588.72,901.8,1859.45,1334.04,1998.72,7747.97,8442.46,9320.23,14942.91,12253.59
h_0,6.63,4.07,3.92,4.4,7.83,25.59,,1540.04,1230.44,1630.79,2569.18,2037.78,,13544.69,7297.55,8490.99
g_0,3.5,6.08,3.67,5.06,5.27,,461.01,,1364.78,1971.36,2423.64,2578.7,3727.25,,6930.03,8165.75
a_0,2.42,2.8,3.67,4.17,,,464.01,868.81,836.63,1023.67,1675.58,1393.36,5440.08,7077.44,21755.59,
e_0,,3.92,,2.79,3.74,,397.62,725.66,972.32,1301.06,984.1,1988.07,5271.42,7658.22,,22798.63
