,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.13,0.95,0.89,0.9,0.7,0.68,0.91,0.64,0.63,0.71,0.6,0.6,0.55,0.57
f_1,1.26,1.0,1.01,0.99,0.89,0.78,0.53,0.68,0.64,0.66,0.62,0.54,0.53,0.51,0.47,0.61
c_1,0.85,0.97,1.0,1.02,1.33,0.89,0.78,0.69,0.5,0.56,0.53,0.67,0.59,0.59,0.56,0.59
d_1,1.05,1.04,0.97,1.0,0.99,0.86,0.76,0.59,0.75,0.72,0.83,0.64,0.59,0.56,0.6,0.45
b_1,1.11,1.12,0.78,1.01,1.0,1.34,0.74,0.72,0.61,0.67,0.75,0.59,0.5,0.68,0.6,0.65
a_1,1.11,1.24,1.13,1.14,0.75,1.0,1.02,0.94,0.77,0.89,0.73,0.72,0.77,0.77,0.79,0.68
h_1,1.4,1.95,1.32,1.33,1.34,0.97,1.0,1.06,0.89,0.88,0.9,0.81,0.84,0.87,0.85,0.99
g_1,1.45,1.42,1.44,1.73,1.34,1.09,0.96,1.0,0.91,0.99,0.97,1.11,0.87,0.74,0.95,0.87
d_0,1.13,1.51,2.03,1.41,1.57,1.32,1.09,1.08,1.0,1.05,0.83,1.0,0.92,0.98,0.92,0.85
b_0,1.46,1.53,1.84,1.4,1.51,1.15,1.14,0.97,0.99,1.0,0.8,1.01,1.31,0.94,0.89,0.84
c_0,1.68,1.65,1.82,1.18,1.31,1.44,1.13,0.97,1.27,1.29,1.0,0.99,1.0,1.01,0.95,0.89
f_0,1.44,1.81,1.48,1.52,1.69,1.39,1.17,0.88,1.01,1.01,1.0,0.99,1.03,1.0,1.3,0.73
a_0,1.62,1.91,1.63,1.69,2.05,1.24,1.15,1.13,1.15,0.79,0.94,0.98,1.0,1.11,0.85,1.0
h_0,1.67,1.95,1.65,1.73,1.53,1.29,1.13,1.33,1.0,1.01,0.98,0.99,0.92,1.0,0.83,1.08
e_0,1.74,2.26,1.74,1.61,1.66,1.28,1.11,0.97,1.11,1.24,1.07,0.78,1.25,1.21,1.0,1.05
g_0,1.74,1.61,1.67,2.17,1.6,1.44,1.05,1.13,1.21,1.2,1.11,1.32,1.04,0.9,0.97,1.0
