,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.58,1.12,0.62,0.65,0.52,0.66,0.81,0.86,0.8,0.85,0.92,0.44,0.87,0.86,0.62,0.85
e_1,0.66,2.68,0.49,0.76,0.68,0.58,0.97,0.78,0.9,1.78,1.06,0.92,1.01,0.94,0.53,0.92
d_1,0.75,0.61,2.7,0.55,0.6,0.69,1.02,0.97,1.7,0.39,1.19,1.25,1.06,1.02,1.0,1.0
c_1,0.54,0.67,0.62,2.8,1.28,0.55,0.73,0.67,0.31,0.82,0.6,0.81,0.88,0.91,0.81,0.89
b_1,0.67,0.52,0.76,0.69,2.98,1.03,0.77,0.79,0.87,0.89,0.45,0.93,0.76,1.07,1.14,0.98
a_1,0.74,0.6,0.7,0.69,0.55,4.28,0.97,0.96,1.07,0.98,0.92,0.95,0.43,1.04,1.05,1.12
h_1,1.09,0.73,1.02,0.72,0.72,0.62,2.83,1.51,1.25,1.06,1.2,1.02,0.97,0.74,1.16,1.62
g_1,0.82,0.63,1.28,0.8,0.61,0.7,0.95,3.45,0.86,0.89,1.13,1.99,1.05,1.12,1.61,0.76
c_0,0.93,0.73,0.97,0.53,0.53,0.81,1.4,1.37,2.34,1.07,2.41,1.31,1.58,1.29,1.38,1.19
d_0,0.78,0.81,0.4,1.49,0.82,0.74,1.37,1.11,0.74,2.16,1.13,1.09,1.07,1.12,1.08,1.17
b_0,0.99,0.84,0.99,0.83,0.38,0.56,1.11,1.25,1.17,1.12,2.52,1.32,2.7,1.4,1.19,1.15
f_0,0.59,0.75,0.92,0.89,0.79,0.82,1.15,1.44,1.32,1.07,1.27,2.62,1.32,1.34,2.58,1.13
a_0,0.86,0.65,1.02,0.82,0.84,0.4,1.4,1.27,1.15,1.07,1.22,1.17,2.91,1.42,1.45,1.16
h_0,1.19,0.75,0.99,0.71,0.59,0.85,0.75,1.73,1.07,1.03,1.3,1.09,1.06,0.7,1.27,1.37
e_0,0.92,0.34,1.02,0.97,0.63,0.84,1.49,1.38,1.07,1.15,1.21,1.32,1.26,1.24,3.73,1.41
g_0,0.64,0.62,1.49,0.75,0.72,0.8,1.19,0.86,1.16,0.82,1.26,1.82,1.24,0.99,1.36,0.79
