,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.48,0.76,0.53,0.92,0.63,0.58,0.8,2.2,0.79,0.92,1.08,0.97,1.15,1.09,0.64,0.85
f_1,1.66,11.45,0.58,0.63,0.5,0.55,1.0,0.99,0.88,0.79,0.93,0.51,0.79,0.9,0.61,0.96
d_1,0.59,0.67,16.88,0.38,0.62,0.63,1.06,0.42,2.65,1.01,1.2,1.12,1.05,1.11,1.02,1.06
c_1,0.47,0.55,0.6,16.97,1.8,0.67,0.77,0.89,0.34,0.72,0.68,0.87,0.94,0.75,0.92,0.92
b_1,0.5,0.57,0.64,0.7,16.44,1.81,0.83,0.81,0.86,1.1,0.56,1.06,0.9,0.67,1.14,0.8
a_1,0.65,0.89,0.65,0.72,0.6,21.35,1.02,1.01,0.81,0.63,0.9,0.81,0.96,0.55,1.16,1.12
h_1,0.6,1.26,0.98,0.67,0.62,0.57,3.71,0.84,1.21,1.62,1.06,1.17,0.8,1.28,0.99,1.59
d_0,0.72,0.85,0.45,2.14,0.75,0.68,0.85,2.03,0.65,0.94,0.88,0.99,1.17,0.96,0.99,0.99
c_0,0.79,1.03,0.94,0.43,0.61,0.74,1.3,0.85,2.46,1.14,2.97,1.13,1.16,1.46,1.16,1.27
g_1,0.51,0.58,2.25,0.69,0.52,0.79,1.08,0.75,1.07,5.22,0.92,2.09,1.07,0.86,1.61,0.82
b_0,0.84,0.76,0.96,0.83,0.42,0.58,1.2,1.0,1.24,1.16,2.58,1.22,1.29,2.91,1.19,1.23
f_0,0.47,0.51,1.11,0.99,0.65,0.79,1.13,1.06,1.28,1.3,1.33,3.3,1.46,1.36,3.53,1.3
h_0,0.73,1.14,0.81,0.82,0.77,0.64,0.89,0.97,1.04,1.92,1.12,1.21,0.78,1.05,1.15,1.69
a_0,0.89,0.87,0.95,0.7,0.61,0.33,1.36,0.8,1.04,1.27,1.09,1.38,1.38,3.56,1.02,1.3
e_0,0.42,0.86,0.95,0.7,0.88,0.74,1.44,0.99,1.25,1.25,1.57,1.43,1.14,1.34,4.05,1.2
g_0,0.6,0.54,1.68,0.73,0.74,0.59,1.02,0.68,1.13,0.79,1.19,2.27,1.18,1.59,1.39,0.83
