,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.06,1.39,1.83,2.25,1.87,1.78,0.79,0.82,0.8,0.52,0.62,0.66,0.64,0.48,0.48,0.87
f_1,2.19,1.06,1.74,1.92,1.94,1.57,0.63,0.59,0.91,0.58,0.49,0.74,0.52,0.34,0.46,0.37
d_1,2.64,2.49,1.06,1.89,1.81,1.71,0.77,0.95,0.52,0.75,0.64,0.59,0.53,0.47,0.36,0.53
c_1,1.9,2.4,2.95,1.06,2.62,1.8,0.92,0.41,0.8,0.83,0.58,0.58,0.52,0.51,0.43,0.52
b_1,3.16,2.97,2.91,1.66,1.06,3.32,1.06,0.78,1.06,0.87,1.36,0.92,0.71,0.82,0.65,0.74
a_1,3.22,4.04,3.53,3.64,1.69,1.07,1.43,1.07,1.29,0.99,1.33,1.08,1.55,0.74,0.98,0.9
h_1,5.43,5.58,5.14,4.86,4.82,4.01,1.31,1.6,1.97,1.45,1.42,1.41,1.37,1.39,1.16,1.29
d_0,3.93,7.17,8.44,8.39,7.59,5.47,2.8,1.5,2.61,1.53,1.92,1.82,1.74,1.37,1.5,1.67
g_1,6.33,6.23,8.25,6.42,5.93,5.57,2.19,1.89,1.32,2.24,1.99,2.26,1.86,1.14,2.09,1.77
c_0,8.0,6.77,4.34,10.53,6.96,5.48,2.92,3.19,2.28,1.52,2.46,2.19,2.1,1.92,1.8,1.61
b_0,6.65,9.21,6.66,8.6,10.16,5.07,3.09,2.45,2.43,1.39,1.52,1.99,2.52,1.75,1.49,1.95
f_0,7.1,12.94,6.9,7.62,6.5,5.74,3.04,2.32,1.68,2.01,2.21,1.46,2.14,1.83,1.24,2.41
a_0,8.17,9.87,8.26,10.84,10.17,11.26,3.81,3.03,2.94,2.51,1.55,2.23,1.54,1.98,1.77,2.53
h_0,8.35,10.61,8.77,10.19,7.83,7.22,4.53,3.13,4.25,2.36,2.83,2.58,2.43,2.72,2.21,2.21
g_0,9.87,11.69,10.48,12.43,9.61,6.11,3.51,3.03,3.75,2.29,2.74,2.83,3.03,1.77,2.6,2.22
e_0,11.87,15.64,10.11,10.23,9.3,7.95,3.93,3.25,3.01,3.05,2.92,1.76,2.61,2.45,2.33,1.63
