,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.91,0.84,0.67,0.97,0.7,0.61,0.97,1.57,0.95,0.89,1.1,1.03,1.11,1.07,0.98,0.68
f_1,1.22,1.94,0.75,0.72,0.66,0.64,0.91,0.9,0.82,0.81,0.96,0.61,0.87,0.99,0.87,0.58
d_1,0.74,0.78,2.32,0.58,0.6,0.73,0.97,0.57,1.79,1.13,1.11,1.11,1.08,1.06,1.09,1.08
c_1,0.67,0.75,0.75,2.39,1.4,0.63,0.9,0.91,0.49,0.84,0.64,0.92,0.89,0.95,0.93,1.11
b_1,0.71,0.8,0.74,0.67,2.64,1.5,0.87,0.94,0.89,0.82,0.6,0.84,0.93,0.63,0.97,1.0
a_1,0.78,0.85,0.76,0.82,0.68,3.52,1.08,0.87,0.8,1.05,0.93,0.92,0.92,0.48,1.11,1.08
h_1,0.79,1.08,0.89,0.82,0.82,0.8,1.88,1.01,0.86,1.33,1.05,1.05,0.92,0.87,1.4,1.07
d_0,0.77,0.82,0.63,1.55,0.88,0.69,1.0,1.56,0.74,0.91,1.01,1.14,0.97,1.01,0.95,1.12
c_0,0.85,0.89,0.92,0.61,0.58,0.85,1.23,1.01,1.66,1.08,2.09,1.27,1.27,1.4,1.13,0.99
g_1,0.78,0.67,1.28,0.84,0.65,0.71,1.04,0.94,1.26,2.83,1.17,1.88,1.01,1.15,0.67,1.36
b_0,0.77,1.0,1.01,0.86,0.55,0.59,1.09,0.84,1.08,1.2,1.94,1.19,1.22,2.24,1.05,1.14
f_0,0.55,0.66,1.04,0.96,0.98,0.94,1.14,1.04,1.18,1.15,1.13,2.07,1.28,1.1,1.07,2.72
h_0,0.79,1.14,0.95,0.85,0.71,0.76,0.79,0.99,1.01,1.24,1.28,0.96,0.79,1.1,1.37,1.09
a_0,0.9,0.84,0.95,0.85,0.92,0.54,1.18,1.11,1.07,1.01,1.15,1.05,1.25,2.53,1.04,1.04
g_0,0.56,0.68,1.39,0.84,0.96,0.76,0.97,0.81,1.15,0.83,1.15,1.81,1.14,1.09,0.89,1.65
e_0,0.59,0.97,0.8,0.88,0.97,1.01,1.08,1.02,1.01,1.04,1.0,1.22,1.2,1.04,0.93,2.62
