,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.41,0.93,0.99,0.89,0.88,0.73,0.41,0.33,0.45,0.68,0.45,0.34,0.45,0.32,0.4,0.28
f_1,0.8,0.41,0.94,0.98,0.81,0.81,0.37,0.56,0.34,0.39,0.36,0.56,0.33,0.27,0.28,0.36
e_1,0.89,0.58,0.4,1.06,0.92,0.95,0.55,0.45,0.43,0.52,0.5,0.43,0.41,0.31,0.59,0.36
c_1,1.01,0.87,0.69,0.39,1.02,0.8,0.56,0.5,0.53,0.23,0.39,0.42,0.39,0.4,0.42,0.3
b_1,1.05,0.99,0.89,0.53,0.37,1.07,0.5,0.5,0.4,0.48,0.58,0.39,0.36,0.36,0.45,0.4
a_1,0.99,0.87,0.94,1.01,0.53,0.3,0.52,0.58,0.46,0.39,0.44,0.42,0.68,0.4,0.4,0.34
h_1,0.72,0.95,0.73,0.72,0.86,0.81,0.25,0.49,0.32,0.36,0.35,0.34,0.35,0.44,0.33,0.31
g_1,0.87,0.74,0.88,0.84,0.77,0.63,0.33,0.23,0.34,0.41,0.36,0.4,0.35,0.23,0.36,0.42
c_0,0.47,1.02,0.75,1.29,1.0,0.73,0.47,0.42,0.26,0.46,0.43,0.36,0.4,0.27,0.36,0.28
d_0,1.13,0.87,0.47,0.96,0.73,0.94,0.48,0.48,0.32,0.25,0.34,0.38,0.33,0.28,0.38,0.31
b_0,0.67,0.88,0.68,0.83,1.15,0.81,0.4,0.43,0.22,0.36,0.23,0.36,0.46,0.35,0.41,0.33
f_0,0.78,1.19,0.74,0.79,0.83,0.73,0.4,0.29,0.33,0.34,0.31,0.24,0.34,0.36,0.38,0.22
a_0,0.67,0.8,0.79,0.8,0.96,1.37,0.44,0.44,0.29,0.35,0.2,0.36,0.21,0.28,0.28,0.3
h_0,0.79,0.81,0.87,0.71,0.68,0.62,0.51,0.53,0.37,0.37,0.32,0.33,0.32,0.41,0.32,0.34
e_0,0.7,1.16,0.98,0.81,0.78,0.79,0.38,0.36,0.34,0.36,0.29,0.23,0.39,0.29,0.21,0.27
g_0,0.75,0.85,0.72,0.83,0.73,0.89,0.33,0.69,0.37,0.31,0.27,0.35,0.34,0.24,0.31,0.33
