,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.22,0.25,0.32,0.25,0.14,0.22,0.3,0.17,0.19,0.16,0.19,0.16,0.14,0.1,0.14
d_1,0.32,0.94,0.31,0.24,0.24,0.18,0.2,0.11,0.15,0.29,0.15,0.2,0.14,0.12,0.13,0.15
f_1,0.44,0.29,0.94,0.28,0.24,0.17,0.18,0.2,0.16,0.17,0.19,0.06,0.17,0.14,0.1,0.13
c_1,0.28,0.32,0.29,0.94,0.45,0.17,0.21,0.18,0.15,0.06,0.14,0.15,0.14,0.12,0.12,0.18
b_1,0.29,0.33,0.34,0.21,0.93,0.36,0.21,0.21,0.21,0.19,0.09,0.17,0.19,0.09,0.13,0.13
a_1,0.45,0.36,0.35,0.38,0.21,0.93,0.21,0.17,0.2,0.23,0.19,0.16,0.19,0.07,0.13,0.16
h_1,0.5,0.6,0.69,0.49,0.44,0.35,0.73,0.31,0.36,0.3,0.32,0.25,0.14,0.23,0.22,0.26
d_0,0.55,0.32,0.6,0.91,0.38,0.42,0.46,0.61,0.35,0.31,0.36,0.27,0.35,0.25,0.19,0.27
g_1,0.5,0.82,0.5,0.6,0.43,0.36,0.34,0.32,0.72,0.33,0.31,0.42,0.21,0.22,0.19,0.15
c_0,0.57,0.57,0.74,0.34,0.46,0.33,0.45,0.42,0.34,0.62,0.57,0.35,0.4,0.27,0.23,0.28
b_0,0.72,0.73,0.61,0.72,0.31,0.28,0.45,0.41,0.34,0.33,0.61,0.31,0.4,0.42,0.21,0.25
f_0,0.6,0.64,0.36,0.62,0.5,0.42,0.46,0.42,0.39,0.45,0.4,0.63,0.32,0.32,0.48,0.27
h_0,0.64,0.77,0.75,0.76,0.41,0.44,0.28,0.43,0.5,0.29,0.3,0.33,0.25,0.29,0.26,0.41
a_0,0.69,0.77,0.7,0.68,0.61,,0.46,0.46,0.53,0.41,0.35,0.37,0.46,0.57,0.3,0.28
e_0,0.36,0.75,0.79,0.65,0.5,0.44,0.58,0.64,0.52,0.48,0.5,0.3,0.48,0.35,0.6,0.43
g_0,0.56,0.89,0.75,0.55,0.58,0.45,0.49,0.45,0.29,0.48,0.43,0.47,0.4,0.26,0.28,0.21
