,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.31,0.4,0.25,0.25,0.2,0.3,0.54,0.3,0.24,0.27,0.27,0.24,0.2,0.15,0.22
f_1,0.55,0.9,0.28,0.32,0.22,0.18,0.26,0.27,0.29,0.22,0.24,0.13,0.26,0.19,0.12,0.22
c_1,0.28,0.3,0.9,0.29,0.49,0.19,0.26,0.27,0.15,0.19,0.15,0.25,0.25,0.17,0.16,0.23
d_1,0.34,0.32,0.25,0.91,0.3,0.18,0.28,0.17,0.5,0.24,0.3,0.26,0.27,0.14,0.18,0.22
b_1,0.29,0.35,0.29,0.32,0.89,0.38,0.29,0.26,0.31,0.22,0.16,0.23,0.26,0.12,0.16,0.23
a_1,0.33,0.35,0.31,0.34,0.2,0.89,0.32,0.31,0.26,0.24,0.24,0.28,0.28,0.11,0.21,0.23
h_1,0.34,0.46,0.36,0.35,0.26,0.18,0.62,0.28,0.29,0.34,0.25,0.26,0.24,0.19,0.21,0.33
d_0,0.34,0.33,0.62,0.23,0.29,0.2,0.28,0.51,0.23,0.23,0.26,0.28,0.32,0.19,0.2,0.27
c_0,0.35,0.43,0.29,0.39,0.18,0.23,0.32,0.34,0.51,0.25,0.53,0.23,0.34,0.26,0.22,0.28
g_1,0.32,0.28,0.34,0.57,0.24,0.21,0.28,0.27,0.31,0.59,0.27,0.41,0.27,0.16,0.21,0.2
b_0,0.34,0.36,0.41,0.37,0.2,0.16,0.34,0.33,0.32,0.26,0.52,0.26,0.33,0.42,0.2,0.29
f_0,0.29,0.28,0.39,0.38,0.33,0.22,0.34,0.34,0.3,0.27,0.29,0.5,0.33,0.21,0.41,0.25
h_0,0.3,0.47,0.37,0.38,0.29,0.18,0.24,0.3,0.28,0.3,0.28,0.24,0.25,0.22,0.2,0.35
a_0,0.34,0.4,0.35,0.39,0.29,0.15,0.34,0.31,0.3,0.28,0.25,0.26,0.4,0.41,0.2,0.29
e_0,0.25,0.41,0.35,0.38,0.28,0.23,0.4,0.3,0.32,0.28,0.31,0.28,0.31,0.23,0.42,0.29
g_0,0.29,0.31,0.34,0.5,0.32,0.19,0.34,0.26,0.33,0.24,0.26,0.42,0.28,0.25,0.25,0.23
