,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,2.34,5.04,4.54,3.99,4.84,1.47,1.23,0.84,0.97,0.89,1.16,0.99,0.64,2.84,0.78
f_1,4.36,0.44,4.03,5.28,3.82,4.57,0.75,1.93,0.93,0.83,0.9,4.56,0.75,0.4,0.82,0.54
d_1,4.94,5.36,0.42,4.11,4.51,4.97,1.21,0.75,3.38,0.86,1.02,0.76,0.98,0.58,0.97,0.38
c_1,3.63,4.47,5.79,0.41,5.21,4.94,1.46,1.23,0.53,3.37,1.03,0.9,0.98,0.55,0.78,0.65
b_1,5.58,5.34,5.5,2.36,0.39,4.39,1.64,1.62,1.03,1.27,4.53,1.46,0.81,0.9,1.13,1.0
a_1,5.92,6.27,7.3,7.93,3.19,0.32,2.25,2.19,1.24,1.25,1.52,0.87,10.46,0.85,0.94,1.55
h_1,4.6,5.82,4.33,5.13,5.6,4.63,0.35,1.24,1.14,1.17,1.1,1.25,0.97,2.77,0.86,0.86
g_1,5.61,7.23,5.29,5.32,4.36,4.96,1.12,0.33,1.34,1.15,1.13,1.27,1.25,0.9,1.04,2.18
d_0,3.02,6.15,11.78,6.17,6.17,6.75,1.66,1.7,0.46,1.21,1.08,0.79,1.19,1.03,0.96,0.9
c_0,5.08,6.6,2.64,18.48,11.42,5.42,1.7,1.96,1.47,0.43,1.0,0.89,0.92,0.88,1.07,0.74
b_0,5.36,5.79,4.74,8.55,19.37,4.79,1.72,1.76,1.1,0.57,0.4,1.05,1.08,0.89,1.15,0.76
f_0,7.06,24.29,5.38,7.49,6.61,5.71,1.76,1.05,1.29,1.02,1.02,0.37,0.96,1.16,1.04,0.56
a_0,6.13,7.67,6.62,6.26,9.78,,2.1,1.81,1.34,1.18,0.68,1.12,0.4,0.97,1.52,0.98
h_0,6.42,7.91,6.71,9.04,6.15,5.4,6.2,1.82,1.37,1.16,1.28,1.2,1.22,3.62,1.33,0.88
e_0,20.97,11.12,5.59,6.75,7.35,6.5,1.74,2.4,1.64,1.24,1.48,0.6,1.18,0.89,0.35,0.93
g_0,10.96,8.08,5.91,8.64,7.81,7.47,1.91,5.48,1.72,1.6,1.94,1.73,1.31,0.9,1.56,2.78
