,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.49,0.47,0.4,0.35,0.44,0.36,0.63,0.94,0.47,0.37,0.6,0.5,0.59,0.47,0.52,0.58
f_1,0.45,1.51,0.76,0.39,0.37,0.33,0.54,0.52,0.48,0.63,0.55,0.21,0.52,0.43,0.46,0.42
e_1,0.55,0.43,1.52,0.48,0.46,0.41,0.5,0.53,0.4,0.86,0.56,0.58,0.59,0.43,0.52,0.24
c_1,0.58,0.5,0.45,1.59,0.76,0.34,0.41,0.18,0.46,0.47,0.4,0.47,0.65,0.42,0.58,0.55
b_1,0.54,0.49,0.46,0.34,1.61,0.7,0.6,0.6,0.46,0.52,0.36,0.65,0.66,0.39,0.59,0.44
a_1,0.53,0.66,0.45,0.51,0.3,1.75,0.58,0.65,0.54,0.55,0.77,0.61,0.71,0.22,0.68,0.37
h_1,0.73,0.91,0.76,0.84,0.55,0.51,1.67,0.84,1.12,0.76,0.77,0.84,0.64,0.75,1.09,0.61
c_0,0.69,0.8,0.83,0.64,0.66,0.59,1.03,1.5,0.92,0.99,1.47,0.88,1.07,1.09,1.21,0.78
g_1,1.09,0.69,0.72,0.83,0.62,0.57,0.74,0.78,1.75,0.65,0.8,1.1,0.91,0.72,0.65,0.69
d_0,0.35,0.78,0.69,1.35,0.82,0.61,0.86,0.78,0.87,1.5,0.94,0.76,0.97,0.65,0.66,0.57
b_0,0.68,0.92,0.75,1.02,0.29,0.61,1.0,0.84,0.89,0.78,1.55,1.04,1.09,1.46,1.04,0.78
f_0,0.95,0.67,0.59,0.94,0.67,0.54,0.89,1.05,1.04,1.07,0.86,1.59,1.03,0.96,0.89,1.36
h_0,0.87,1.11,0.79,0.73,0.68,0.51,0.59,0.83,1.01,0.99,0.8,0.9,0.6,0.88,1.2,0.79
a_0,0.93,0.85,0.85,0.86,0.81,,1.18,0.93,0.84,1.1,0.76,0.95,1.21,1.67,1.17,0.92
g_0,1.13,0.77,0.69,0.78,0.68,0.54,0.82,0.8,0.79,0.95,0.83,1.3,0.9,0.82,0.66,0.89
e_0,0.83,1.08,0.52,0.74,0.79,0.76,1.14,1.03,1.14,1.2,1.01,0.79,1.05,1.04,0.85,1.67
