,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,12.02,1.51,0.56,0.62,0.53,0.59,0.89,0.83,0.98,0.85,0.56,0.96,0.94,0.64,0.98,0.83
e_1,0.73,12.57,0.94,0.52,0.6,0.73,0.84,0.81,2.25,0.83,1.0,0.91,0.9,0.68,1.0,0.94
c_1,0.63,0.51,13.52,0.63,1.82,0.51,0.91,0.89,0.78,0.43,0.88,0.62,0.98,0.99,0.88,0.96
d_1,0.72,0.56,0.44,16.3,0.56,0.56,1.04,0.91,0.6,3.0,1.09,1.21,1.05,1.15,0.93,1.35
b_1,0.64,0.59,0.66,0.6,15.75,1.63,1.05,0.75,0.65,0.69,0.9,0.48,0.89,0.91,0.79,0.92
a_1,0.71,0.7,0.85,0.69,0.48,24.01,0.97,1.17,1.05,0.68,1.08,1.07,0.95,1.08,0.56,0.75
h_1,1.13,0.7,0.64,0.82,0.64,0.66,3.57,1.55,0.87,0.96,1.02,1.13,0.76,0.96,0.97,1.42
g_1,0.61,0.58,0.72,1.84,0.61,0.7,0.83,4.57,0.68,1.24,2.24,1.33,0.97,1.26,1.14,0.73
d_0,0.67,0.7,2.29,0.4,0.79,0.77,1.03,1.17,1.86,0.64,1.23,1.13,1.15,0.93,1.08,0.95
c_0,1.03,0.74,0.59,0.9,0.43,0.71,0.94,1.13,1.03,2.69,1.01,3.61,1.34,1.41,1.48,1.4
f_0,0.47,0.58,0.97,0.94,0.85,0.78,1.05,1.04,1.06,1.04,2.92,1.43,1.27,3.2,1.03,1.17
b_0,0.83,0.72,0.91,1.1,0.34,0.55,1.05,1.29,1.15,1.18,1.0,2.94,1.67,1.02,3.36,0.97
h_0,1.15,0.64,0.76,0.93,0.76,0.59,0.81,1.66,1.05,1.03,1.09,1.14,0.93,1.18,1.39,1.62
e_0,0.79,0.52,0.69,1.22,0.84,0.78,1.06,1.31,0.88,1.2,1.49,1.62,1.58,3.54,1.27,1.18
a_0,0.84,0.55,0.76,1.16,0.7,0.51,1.26,1.32,1.22,1.18,1.09,1.24,1.65,1.24,3.32,1.21
g_0,0.58,0.58,0.68,1.57,0.77,0.71,0.97,0.79,0.93,1.27,1.96,1.34,1.25,1.55,1.36,0.64
