,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,0.55,0.53,0.46,0.4,0.39,0.12,0.08,0.09,0.14,0.09,0.09,0.06,0.08,0.08,0.04
e_1,0.5,0.16,0.26,0.53,0.51,0.42,0.15,0.16,0.1,0.1,0.1,0.13,0.07,0.09,0.15,0.08
f_1,0.42,0.44,0.16,0.49,0.43,0.38,0.1,0.2,0.09,0.09,0.09,0.12,0.05,0.09,0.09,0.07
c_1,0.57,0.37,0.45,0.14,0.46,0.42,0.13,0.12,0.13,0.05,0.1,0.1,0.06,0.08,0.09,0.07
b_1,0.47,0.42,0.52,0.24,0.12,0.52,0.13,0.14,0.11,0.1,0.17,0.1,0.07,0.12,0.1,0.08
a_1,0.5,0.42,0.57,0.42,0.24,0.09,0.14,0.13,0.11,0.11,0.14,0.08,0.09,0.15,0.09,0.07
h_1,0.36,0.42,0.53,0.39,0.34,0.33,0.06,0.12,0.09,0.1,0.08,0.07,0.08,0.07,0.07,0.06
g_1,0.37,0.41,0.46,0.42,0.41,0.37,0.09,0.05,0.09,0.08,0.08,0.07,0.05,0.07,0.08,0.06
c_0,0.24,0.44,0.41,0.74,0.45,0.44,0.13,0.11,0.05,0.13,0.08,0.08,0.06,0.07,0.08,0.05
d_0,0.58,0.24,0.39,0.44,0.49,0.35,0.13,0.14,0.08,0.05,0.09,0.09,0.07,0.08,0.09,0.07
b_0,0.28,0.41,0.4,0.6,0.56,0.43,0.11,0.12,0.05,0.11,0.05,0.08,0.07,0.08,0.08,0.06
f_0,0.35,0.34,0.63,0.38,0.43,0.38,0.12,0.08,0.08,0.09,0.09,0.05,0.06,0.08,0.08,0.04
h_0,0.39,0.36,0.39,0.42,0.44,0.31,0.15,0.11,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06
a_0,0.33,0.37,0.42,0.5,0.63,0.56,0.13,0.1,0.07,0.09,0.04,0.08,0.05,0.04,0.08,0.05
e_0,0.36,0.51,0.55,0.51,0.34,0.3,0.1,0.09,0.08,0.08,0.09,0.04,0.07,0.09,0.04,0.05
g_0,0.35,0.4,0.53,0.4,0.4,0.34,0.09,0.14,0.08,0.09,0.08,0.08,0.05,0.08,0.08,0.06
