,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,1.11,2.05,2.03,2.45,2.1,0.62,0.82,0.42,0.5,0.39,0.58,0.34,0.36,0.91,0.35
f_1,1.94,0.43,1.73,2.06,1.87,2.3,0.42,0.7,0.39,0.44,0.38,0.8,0.19,0.4,0.42,0.29
d_1,2.27,1.98,0.43,2.84,2.17,1.66,0.51,0.3,0.35,1.41,0.45,0.36,0.28,0.31,0.39,0.2
c_1,1.74,2.21,2.93,0.41,2.05,1.76,0.61,0.77,0.97,0.22,0.54,0.38,0.35,0.46,0.39,0.35
b_1,2.45,2.84,2.94,1.07,0.38,2.87,0.68,0.75,0.67,0.48,1.04,0.57,0.4,0.47,0.45,0.35
a_1,2.83,3.51,3.24,4.48,1.27,0.31,1.14,0.89,0.58,0.76,0.77,0.65,0.51,1.63,0.58,0.53
h_1,3.18,3.51,2.69,3.74,3.47,2.88,0.34,0.89,0.65,0.71,0.68,0.63,0.84,0.62,0.66,0.43
g_1,3.51,4.26,3.14,4.06,3.73,3.78,0.84,0.31,0.73,0.81,0.84,0.7,0.44,0.82,0.58,0.87
c_0,3.62,3.75,1.97,8.5,4.1,4.14,1.12,0.98,0.4,1.0,0.77,0.71,0.51,0.66,0.72,0.55
d_0,1.91,4.46,7.84,3.36,4.46,3.23,1.36,1.47,0.82,0.38,0.69,0.65,0.54,0.76,0.69,0.62
b_0,3.47,3.82,2.88,4.72,8.7,4.25,1.08,1.26,0.45,0.87,0.38,0.67,0.64,0.79,0.64,0.48
f_0,3.91,7.42,3.39,3.96,4.69,3.87,1.44,0.71,0.75,0.82,0.8,0.36,0.57,0.93,0.81,0.34
h_0,4.22,4.68,4.62,4.89,4.57,3.33,2.27,1.28,0.83,1.05,0.78,0.79,0.96,0.8,0.8,0.71
a_0,4.65,5.89,4.51,4.8,6.02,9.47,1.3,1.48,0.91,0.97,0.51,0.98,0.62,0.36,0.9,0.58
e_0,8.81,7.01,4.59,4.97,4.62,4.67,1.36,1.35,0.88,0.87,0.85,0.44,0.6,1.22,0.32,0.68
g_0,4.54,5.77,4.69,5.41,5.35,4.78,0.99,2.58,0.94,1.06,1.06,1.18,0.51,0.97,0.89,1.12
