,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,82.95,65.64,71.77,84.59,68.24,17.04,31.91,17.21,14.09,17.3,,9.2,21.06,13.07,23.2
e_1,46.14,1.15,102.32,88.17,84.59,94.24,23.37,29.25,22.37,16.76,21.96,16.53,11.5,21.06,15.35,
d_1,83.89,82.95,1.15,75.27,82.17,116.41,25.56,16.71,18.14,,19.69,20.35,12.94,18.95,8.21,14.5
c_1,102.53,89.33,128.85,1.15,79.89,131.93,28.21,21.27,,11.7,19.69,22.04,14.79,,15.35,16.57
b_1,111.85,116.13,102.32,56.11,1.15,116.41,40.9,27.0,25.81,20.67,,18.89,12.94,25.27,17.65,20.47
a_1,167.77,232.27,217.44,205.73,99.17,1.15,43.05,43.88,24.85,24.8,38.07,24.05,31.85,,17.65,
h_1,92.28,99.54,105.42,99.55,92.77,104.16,2.0,27.0,19.74,18.79,19.03,19.59,,23.69,11.39,15.13
g_1,123.03,193.56,79.07,154.3,151.37,131.93,30.3,2.0,23.14,18.79,19.69,31.12,11.19,16.48,,
c_0,94.64,89.33,52.71,,102.71,104.16,20.97,20.65,2.94,25.83,21.96,25.19,11.19,15.79,14.71,15.13
d_0,97.13,51.24,,85.72,125.04,141.36,29.21,28.08,15.6,3.33,18.42,16.53,15.33,23.69,11.77,15.13
b_0,141.96,217.75,96.64,134.17,,104.16,20.45,24.21,14.59,20.67,2.94,16.53,14.28,27.07,16.81,21.75
f_0,,105.58,151.26,90.76,110.62,86.04,40.9,27.0,20.97,22.96,27.19,3.09,15.92,18.05,12.61,19.33
h_0,78.53,87.1,96.64,146.95,84.59,73.3,,30.52,17.66,17.22,27.19,19.59,,15.79,14.71,
a_0,194.26,248.86,183.11,,179.75,,54.53,63.82,37.28,36.47,14.28,29.39,15.33,2.96,22.06,
g_0,160.48,102.47,128.85,99.55,151.37,104.16,19.95,,21.65,24.8,19.69,31.12,11.5,23.69,,
e_0,246.07,,204.65,192.88,151.37,,51.12,,51.62,31.0,31.72,15.11,,,,3.0
