,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,10.92,0.78,1.0,0.57,0.63,0.73,0.87,0.78,2.36,0.96,0.86,0.94,0.94,0.96,0.65,1.02
f_1,1.97,11.37,0.67,0.69,0.58,0.58,0.68,0.87,0.97,0.99,0.88,0.51,0.81,0.93,0.63,0.89
c_1,0.54,0.64,11.06,0.69,1.64,0.75,0.98,0.87,0.9,0.62,0.46,1.21,0.88,0.86,1.04,1.03
d_1,0.53,0.71,0.58,14.42,0.66,0.69,1.16,1.1,0.66,1.42,2.75,1.13,1.11,1.03,1.2,0.92
b_1,0.65,0.68,0.64,0.62,12.62,1.8,0.97,0.84,0.72,0.57,0.82,0.88,0.64,0.98,0.79,0.93
a_1,0.71,0.71,0.73,0.83,0.65,16.65,1.23,1.19,0.77,1.0,0.78,0.88,0.79,1.16,1.06,0.87
h_1,0.75,1.48,0.7,0.9,0.72,0.55,3.01,1.44,0.76,0.99,1.07,0.89,1.1,0.84,1.24,1.46
g_1,0.57,0.71,0.8,1.69,0.66,0.64,1.05,4.03,0.64,1.1,1.07,2.11,0.88,1.04,1.57,0.68
d_0,0.68,0.82,2.24,0.53,0.91,0.68,0.84,0.89,1.82,1.05,0.6,0.97,1.07,1.03,1.13,1.0
b_0,0.75,0.99,0.8,1.05,0.51,0.54,1.08,1.13,0.94,2.62,1.45,1.27,3.64,1.29,1.35,1.35
c_0,0.85,0.9,0.64,0.94,0.55,0.74,1.08,1.01,1.04,3.49,2.36,1.22,1.94,1.34,1.27,1.29
f_0,0.48,0.61,0.94,0.99,1.08,0.63,1.17,1.2,1.0,1.2,1.2,2.98,1.48,1.22,3.68,1.12
a_0,0.66,1.03,0.76,1.0,1.0,0.45,0.99,0.9,1.13,1.01,1.05,0.99,2.7,1.35,1.12,1.51
h_0,0.8,1.2,0.77,1.01,0.72,0.66,0.72,1.52,0.81,1.04,0.92,1.02,1.05,0.69,0.99,1.43
e_0,0.53,1.12,0.9,0.99,0.76,0.46,0.97,0.99,0.94,1.34,1.08,1.23,1.53,1.53,3.05,1.37
g_0,0.81,0.53,0.82,1.56,0.69,0.69,0.91,0.68,0.95,1.37,1.08,1.79,1.4,0.97,1.23,0.85
