,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.24,1.51,2.53,4.82,22.01,37.33,34.06,50.7,64.58,89.05,107.73,127.79,,146.47
f_1,1.31,1.0,1.39,1.49,1.82,4.15,18.13,32.88,35.11,48.92,59.2,,83.88,119.23,97.2,169.38
c_1,0.81,0.72,1.0,1.97,2.0,3.13,19.32,14.61,,32.04,48.12,52.31,62.41,59.82,110.49,106.92
d_1,0.66,0.67,0.51,1.0,1.18,3.21,15.84,,28.82,44.89,31.09,52.66,61.37,57.73,80.32,86.15
b_1,0.4,0.55,0.5,0.85,1.0,3.32,14.05,19.31,19.61,,25.96,43.25,55.58,45.82,50.82,68.55
a_1,0.21,0.24,0.32,0.31,0.3,1.0,6.02,9.65,14.18,,13.97,17.53,25.24,,28.93,34.11
h_1,0.05,0.06,0.05,0.06,0.07,0.17,1.0,1.29,1.58,2.17,2.43,3.48,,4.23,4.76,6.92
d_0,0.03,0.03,0.07,,0.05,0.1,0.77,1.0,1.45,1.97,2.16,1.86,3.27,3.02,,5.6
c_0,0.03,0.03,,0.03,0.05,0.07,0.63,0.69,1.0,1.65,1.34,1.59,2.24,2.75,2.41,3.04
b_0,0.02,0.02,0.03,0.02,,,0.46,0.51,0.61,1.0,0.95,1.05,1.57,2.07,,2.99
g_1,0.02,0.02,0.02,0.03,0.04,0.07,0.41,0.46,0.75,1.06,1.0,1.24,1.36,,1.7,
f_0,0.01,,0.02,0.02,0.02,0.06,0.29,0.54,0.63,0.95,0.81,1.0,1.65,1.34,1.89,1.56
h_0,0.01,0.01,0.02,0.02,0.02,0.04,,0.31,0.45,0.64,0.74,0.61,,1.13,0.97,1.58
a_0,0.01,0.01,0.02,0.02,0.02,,0.24,0.33,0.36,0.48,,0.75,0.89,1.0,1.12,1.48
e_0,,0.01,0.01,0.01,0.02,0.03,0.21,,0.42,,0.59,0.53,1.03,0.89,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.18,0.33,0.33,,0.64,0.63,0.68,0.82,
