,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.51,0.81,0.93,0.89,0.92,0.47,0.43,0.54,0.4,0.35,0.46,0.31,0.4,0.37,0.58
f_1,0.9,0.4,0.73,0.79,0.81,0.72,0.32,0.38,0.44,0.32,0.34,0.49,0.25,0.32,0.34,0.29
d_1,0.92,0.87,0.39,0.79,0.74,0.73,0.43,0.63,0.3,0.43,0.45,0.33,0.32,0.34,0.21,0.3
c_1,0.7,0.86,0.93,0.39,0.95,0.71,0.47,0.23,0.42,0.39,0.32,0.31,0.28,0.37,0.31,0.34
b_1,0.79,0.94,0.85,0.53,0.37,0.93,0.5,0.39,0.46,0.41,0.48,0.39,0.3,0.39,0.32,0.44
a_1,0.72,1.04,0.88,0.85,0.48,0.31,0.47,0.39,0.58,0.37,0.6,0.4,0.4,0.82,0.32,0.38
h_1,0.65,0.89,0.67,0.7,0.72,0.68,0.24,0.36,0.43,0.34,0.27,0.31,0.35,0.29,0.36,0.34
d_0,0.5,0.68,0.86,0.92,0.79,0.69,0.36,0.25,0.43,0.28,0.35,0.35,0.31,0.31,0.35,0.34
g_1,0.66,0.76,0.84,0.76,0.75,0.69,0.3,0.32,0.21,0.29,0.3,0.33,0.22,0.3,0.34,0.35
c_0,0.69,0.75,0.48,1.2,0.75,0.67,0.39,0.44,0.4,0.24,0.42,0.35,0.31,0.34,0.29,0.34
b_0,0.69,0.76,0.63,0.92,0.91,0.59,0.45,0.31,0.37,0.19,0.22,0.33,0.28,0.36,0.26,0.28
f_0,0.69,1.05,0.7,0.83,0.63,0.68,0.4,0.35,0.26,0.31,0.3,0.22,0.27,0.29,0.21,0.37
h_0,0.71,0.8,0.64,0.71,0.78,0.62,0.47,0.3,0.41,0.28,0.28,0.29,0.34,0.27,0.3,0.3
a_0,0.65,0.74,0.69,0.85,0.95,0.76,0.38,0.37,0.37,0.28,0.19,0.29,0.3,0.2,0.35,0.3
g_0,0.74,0.76,0.76,0.73,0.76,0.68,0.25,0.35,0.47,0.32,0.36,0.31,0.25,0.26,0.29,0.32
e_0,0.9,1.22,0.7,0.66,0.65,0.62,0.37,0.34,0.39,0.31,0.37,0.17,0.26,0.32,0.25,0.19
