,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,1.45,1.23,1.31,1.17,1.32,0.67,0.47,1.06,0.67,0.58,0.56,0.51,0.68,0.35,0.52
f_1,1.24,0.41,1.48,1.47,1.32,1.21,0.53,0.78,0.56,0.57,0.5,1.11,0.34,0.49,0.59,0.45
e_1,1.6,0.82,0.41,1.37,1.3,1.35,0.78,0.73,0.7,0.68,0.67,0.65,0.49,0.53,0.44,0.93
c_1,1.5,1.2,1.24,0.37,1.47,1.33,0.71,0.63,0.39,0.86,0.48,0.68,0.64,0.47,0.5,0.62
b_1,1.29,1.45,1.27,0.84,0.36,1.62,0.67,0.66,0.57,0.56,1.29,0.58,0.47,0.84,0.56,0.6
a_1,1.1,1.56,1.24,1.38,0.84,0.3,0.88,1.11,0.65,0.57,0.71,0.6,0.52,1.38,0.61,0.72
h_1,1.03,1.04,0.88,0.85,1.11,0.85,0.26,0.66,0.39,0.38,0.41,0.38,0.67,0.46,0.43,0.42
g_1,1.16,0.91,1.1,0.92,1.0,0.75,0.36,0.24,0.5,0.46,0.45,0.51,0.34,0.5,0.42,0.48
d_0,1.32,1.04,0.62,1.13,1.01,0.96,0.57,0.57,0.27,0.38,0.49,0.37,0.42,0.34,0.38,0.46
c_0,0.57,1.1,0.93,2.41,1.14,0.97,0.65,0.5,0.55,0.28,0.5,0.42,0.41,0.43,0.38,0.47
b_0,0.85,1.15,0.87,1.31,1.52,0.8,0.56,0.51,0.4,0.25,0.25,0.4,0.38,0.45,0.34,0.33
f_0,0.85,1.5,1.0,0.9,0.89,0.86,0.58,0.4,0.46,0.44,0.48,0.24,0.35,0.44,0.28,0.6
h_0,0.84,1.07,1.0,0.88,1.01,1.04,0.72,0.53,0.42,0.36,0.38,0.43,0.59,0.38,0.42,0.31
a_0,0.8,1.09,0.95,1.03,0.84,,0.47,0.58,0.53,0.39,0.31,0.35,0.37,0.22,0.42,0.49
g_0,1.03,0.82,1.02,1.12,0.84,0.81,0.43,,0.43,0.49,0.4,0.46,0.31,0.41,0.56,0.45
e_0,0.9,1.44,1.84,0.96,0.94,0.83,0.49,0.48,0.35,0.34,0.62,0.2,0.46,0.49,0.34,0.2
