,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.18,6.98,11.71,14.28,12.84,12.75,4.42,2.6,3.2,2.79,3.06,2.8,2.03,2.87,1.91,
f_1,13.61,0.17,13.38,11.55,16.62,17.85,2.8,2.8,4.64,2.82,,2.57,1.0,2.1,1.82,1.99
c_1,11.44,12.32,0.16,14.77,13.76,12.23,3.08,1.45,3.35,,2.16,3.11,2.05,3.61,2.36,2.6
d_1,17.98,14.91,13.82,0.15,12.67,11.1,2.96,,2.29,2.5,2.87,2.61,1.53,2.63,1.06,2.73
b_1,13.64,13.85,7.27,13.11,0.14,13.13,3.85,2.73,3.49,2.55,4.19,,1.59,,1.27,2.45
a_1,14.49,9.79,15.62,13.87,6.24,0.1,3.61,2.55,2.25,4.3,2.58,,2.32,,2.35,
h_1,5.53,3.01,3.55,3.12,3.58,3.61,0.07,0.58,0.94,0.65,0.51,0.52,,0.59,0.51,0.75
d_0,1.38,2.8,2.66,,3.98,3.04,0.6,0.09,0.82,0.59,0.48,0.54,0.37,0.41,0.47,0.44
g_1,3.01,4.43,3.93,3.18,2.77,3.25,0.7,0.82,0.06,0.9,0.58,0.88,0.33,,,
c_0,2.71,2.16,,1.49,3.33,2.23,0.73,0.68,1.06,0.08,0.6,0.59,0.29,0.59,0.33,0.37
f_0,2.52,,2.1,3.11,2.31,2.33,0.68,0.46,0.52,0.48,0.07,0.57,0.62,0.42,0.23,0.48
b_0,3.38,3.22,2.98,3.21,,,0.66,0.56,0.74,0.24,0.5,0.06,0.33,0.6,0.41,
h_0,1.8,1.93,1.43,1.53,1.13,1.86,,0.43,0.54,0.29,0.28,0.3,,0.29,0.35,0.36
a_0,3.02,3.9,4.21,3.33,,,1.05,0.43,,0.63,0.46,0.27,0.33,0.04,0.34,
g_0,1.45,2.04,1.39,1.29,1.9,2.04,0.4,0.41,,0.35,0.48,0.37,0.2,0.39,,0.34
e_0,,2.81,3.4,2.57,3.02,,0.63,0.48,,0.68,0.23,,0.45,,0.24,0.04
