,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9685.07,8240.42,4282.94,5613.68,10330.34,69854.49,3898029.44,14456894.59,14152538.73,22357137.34,38119786.8,23425374.93,167370362.22,146208098.88,326762772.69,218456340.66
e_1,4043.52,13034.33,4086.0,8058.9,12993.57,63926.02,4553607.71,15921899.87,15493717.82,37492047.69,38484914.39,49695650.51,174024898.73,184544375.95,292722680.32,219709495.46
d_1,3939.44,4173.16,14472.5,5082.9,15498.42,58770.06,4945049.55,29784984.92,15177690.78,11804438.22,46796157.91,47720162.19,178127472.44,171394665.4,299444135.57,372228126.38
c_1,3297.76,3918.17,5220.52,18374.27,27189.99,67773.59,4347519.69,10427450.81,12012687.93,19628041.69,28028188.53,43774240.54,170263878.35,136397310.42,303785133.6,283489371.4
b_1,3558.2,4142.01,5164.02,6621.78,48701.41,142399.26,4759633.29,14610206.13,13862070.13,18366877.4,27086435.58,46491171.34,178577953.72,141927563.24,272450287.47,280859138.59
a_1,3365.32,4432.85,6035.62,6414.57,14333.37,359487.52,4574585.72,17505937.9,18444215.73,19256496.7,41114087.38,46885864.1,200763686.19,146298890.61,324203607.41,304128297.99
h_1,5287.55,4601.04,6305.74,6136.39,13544.67,73056.82,9762056.94,17183724.0,22483670.7,23409994.85,43833358.38,44980844.33,134627102.15,159162541.47,454286186.08,333933327.75
c_0,4751.42,4731.42,5849.21,5425.36,9993.16,77528.28,5711102.58,29222690.75,21005913.92,25809608.88,84119566.49,58834220.6,212322108.22,254875403.17,347279979.79,398203848.97
g_1,3579.34,4457.5,8131.89,6803.21,15478.09,68983.4,5010773.55,18721902.8,41175670.1,19777279.69,40392396.52,72152987.55,156476472.62,198978952.15,217684621.68,333900183.01
d_0,4059.02,4420.31,3818.52,12375.01,16162.69,59606.15,4999721.14,12423510.72,18235556.2,37658052.12,44893671.84,51074889.69,174637572.66,212012566.1,363510581.6,347184972.9
b_0,4669.72,5411.63,6075.95,7021.66,10014.29,62712.18,4947446.24,17323358.49,17722129.07,24245106.2,82648132.76,54565344.8,206852479.87,391439512.41,370211941.63,318000174.29
f_0,3373.85,3768.88,6841.32,7400.69,16020.97,77827.12,6390342.28,19188361.12,18551105.31,22709868.04,44047946.58,96287087.49,171035841.96,209812366.25,336733654.75,806278242.52
h_0,5464.3,5387.37,5734.05,7085.12,13342.49,71188.82,3766687.3,16833112.9,24626596.95,21784184.67,43575230.4,47822789.61,140322195.63,184333550.29,401974443.44,288958760.41
a_0,4035.33,5411.22,6603.52,7967.16,15258.99,48452.04,5544207.97,17734415.68,15427576.65,23726895.16,41977563.24,52150224.51,178972709.68,386347425.73,287272987.26,375501722.49
g_0,3629.0,4623.09,8264.49,7264.53,13707.17,61761.99,4762632.54,18589175.35,14557055.09,21922866.77,45657039.11,78366948.95,178772829.51,174358791.08,254061769.45,421124557.08
e_0,4281.16,3853.46,6396.61,7750.61,16648.24,64490.58,4838159.37,20659382.02,13725223.37,21699485.09,38206987.01,47622384.12,208616192.78,177979479.8,350720559.18,794340084.94
