,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.91,1.36,1.69,1.27,1.43,1.33,6.13,5.67,13.43,3.57,9.62,7.98,10.59,9.43,8.59,12.46
e_1,1.16,6.02,1.61,1.84,1.62,1.61,5.24,5.08,6.69,13.59,7.11,8.2,11.9,9.06,3.17,10.41
f_1,1.38,2.71,6.13,1.53,1.42,1.16,4.23,4.52,6.53,6.53,7.5,3.45,11.26,6.09,5.18,7.07
c_1,1.58,1.38,1.41,7.14,2.73,1.5,5.54,4.8,2.81,6.66,4.78,7.16,10.01,5.61,5.3,10.69
b_1,1.64,1.28,1.51,1.44,7.97,3.06,6.24,5.29,6.15,5.9,3.55,6.85,8.28,4.79,9.13,10.95
a_1,1.72,1.57,1.68,1.46,1.15,10.93,5.7,6.27,6.58,8.5,6.74,8.5,14.12,4.5,9.29,11.67
h_1,1.85,1.57,2.48,2.01,1.92,1.86,15.95,8.72,8.1,8.62,8.93,8.37,8.0,7.0,10.15,17.54
g_1,2.99,1.47,1.04,2.04,1.8,1.81,5.76,19.85,8.56,6.67,8.11,13.73,12.43,10.51,11.36,9.02
c_0,2.19,1.96,1.8,1.13,1.62,1.88,6.13,7.24,15.86,9.25,17.3,9.49,14.8,11.7,10.03,13.48
d_0,0.93,1.88,1.96,3.86,1.68,1.68,6.93,7.32,6.24,16.62,7.11,8.83,13.19,8.73,10.08,14.23
b_0,2.26,1.96,1.99,1.67,1.02,1.39,7.61,7.03,9.91,8.7,18.14,8.47,16.14,22.13,8.87,15.32
f_0,2.12,1.31,1.17,1.85,1.8,2.51,7.84,8.61,9.79,8.9,9.17,19.03,17.04,9.81,23.35,13.46
h_0,2.2,1.82,2.76,2.02,1.92,1.31,4.03,8.44,9.01,8.11,6.16,7.23,8.25,10.4,6.78,16.47
a_0,2.21,1.93,1.89,2.1,1.57,1.02,7.86,7.64,10.04,9.47,9.33,10.12,15.4,22.71,9.14,11.93
e_0,2.13,1.08,2.13,2.17,1.78,1.94,8.66,6.73,9.1,8.29,9.27,9.42,17.45,10.42,24.58,14.58
g_0,3.07,1.39,1.77,1.69,1.48,1.65,6.38,5.23,9.84,7.57,8.13,14.25,12.76,11.02,9.09,12.09
