,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.67,2.31,1.8,2.1,1.78,1.73,0.67,0.7,0.82,0.71,1.56,0.74,0.45,0.77,0.56,0.73
e_1,1.29,0.67,2.45,1.95,2.11,1.97,1.04,0.91,1.13,0.71,0.8,0.71,0.72,1.22,0.93,0.55
c_1,2.54,1.83,0.65,2.38,2.56,1.61,0.9,0.53,1.04,1.22,0.73,0.64,0.66,0.71,0.67,0.65
d_1,2.12,2.6,2.12,0.64,1.87,1.86,1.13,1.77,0.64,0.83,0.75,0.93,0.67,0.73,0.74,0.43
b_1,2.52,2.61,1.36,2.63,0.62,2.89,1.0,0.9,1.1,0.84,0.81,1.76,0.67,0.79,0.86,0.55
a_1,2.85,2.58,2.63,2.84,1.47,0.58,1.26,1.17,1.06,1.1,0.95,1.09,0.77,0.79,1.66,0.81
h_1,2.9,2.88,2.73,2.44,2.88,2.78,0.59,0.89,1.32,1.1,0.86,0.83,1.26,0.79,0.76,0.74
d_0,3.18,1.85,3.72,5.29,2.66,2.27,1.47,0.68,1.38,1.17,1.2,1.11,0.97,0.77,0.83,1.43
g_1,3.15,2.56,3.35,3.13,2.96,3.12,0.94,1.12,0.56,0.84,1.26,0.9,0.68,1.06,1.08,1.53
c_0,3.45,2.89,7.51,1.67,3.76,2.78,1.16,1.03,1.74,0.65,1.03,1.23,0.97,0.91,1.16,0.88
f_0,5.51,2.48,3.17,2.52,3.1,3.12,1.79,0.91,0.9,1.09,0.63,1.08,0.85,1.17,1.12,0.71
b_0,3.36,2.98,3.9,2.74,4.73,2.92,1.42,1.11,1.29,0.66,1.04,0.63,0.76,0.87,1.09,0.78
h_0,4.65,2.67,3.26,3.37,3.04,2.88,2.38,1.16,1.63,1.19,1.13,1.23,1.36,1.04,1.03,1.05
e_0,3.92,4.71,4.65,2.83,4.09,3.02,1.96,1.75,1.35,1.06,0.71,1.35,1.08,0.57,1.04,1.02
a_0,5.04,3.25,3.66,3.83,3.4,5.99,1.73,1.57,1.52,1.1,1.45,0.78,1.25,1.08,0.58,1.25
g_0,3.92,4.28,3.1,4.01,3.44,3.7,1.42,1.05,2.13,1.62,1.18,1.33,1.02,1.05,1.15,1.71
