,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,3.44,2.6,3.63,3.98,2.47,2.03,1.71,2.1,1.95,1.45,1.51,1.31,1.57,,1.61
d_1,5.39,0.41,3.88,3.47,3.34,3.53,1.78,,1.23,1.56,1.56,1.79,1.1,1.71,1.9,1.07
f_1,4.33,3.25,0.41,4.01,3.45,3.56,1.32,1.63,2.0,1.31,1.85,,1.21,2.0,1.48,1.38
c_1,3.45,4.19,3.54,0.39,4.69,3.0,1.9,1.07,1.72,,1.44,1.61,1.37,1.26,2.2,1.61
b_1,3.39,3.54,3.68,2.1,0.36,5.08,1.97,1.68,2.14,1.66,,1.59,1.5,1.88,1.88,1.23
a_1,5.9,4.41,3.73,3.54,2.2,0.3,1.73,1.3,1.8,1.76,,1.45,1.13,,,1.32
h_1,1.56,1.88,2.3,1.7,1.83,2.13,0.27,0.7,1.23,0.86,0.73,0.86,,0.83,0.72,0.6
d_0,1.08,,1.48,1.8,1.68,2.33,0.92,0.3,0.84,0.75,0.84,0.7,0.58,0.65,0.49,0.65
g_1,1.88,2.17,2.19,1.92,1.55,1.7,0.73,0.94,0.24,0.7,0.94,0.93,0.54,0.88,0.91,
c_0,1.47,1.16,1.81,,1.55,1.59,0.89,0.8,0.96,0.29,0.74,0.63,0.97,0.56,0.62,0.48
b_0,1.67,1.79,1.35,2.05,,,0.77,0.64,0.9,0.54,0.27,0.69,0.67,1.11,0.58,0.55
f_0,1.51,1.27,,1.82,1.53,2.06,0.83,0.88,0.58,0.66,0.69,0.26,0.66,0.73,0.95,0.55
h_0,1.35,1.56,1.32,1.47,1.24,1.18,,0.52,0.91,0.44,0.52,0.66,,0.43,0.61,0.48
a_0,1.57,1.56,1.3,1.93,2.05,,0.87,0.77,0.83,0.97,0.4,0.65,0.59,0.23,,
e_0,,1.35,1.63,1.47,1.52,,0.87,1.01,0.75,0.93,1.0,0.44,0.57,,0.21,0.55
g_0,1.42,1.21,1.29,0.98,1.55,1.52,0.88,0.63,,0.65,0.63,0.7,0.33,,0.55,
