,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.97,0.82,0.7,0.61,0.38,0.46,0.4,0.34,0.36,0.3,0.3,0.32,0.3,0.24
e_1,0.77,1.0,1.14,0.93,1.01,0.68,0.52,0.44,0.65,0.45,0.41,0.46,0.4,0.34,0.35,0.4
c_1,1.03,0.88,1.0,1.05,1.23,0.66,0.57,0.46,0.31,0.34,0.35,0.38,0.36,0.29,0.32,0.3
d_1,1.22,1.06,0.95,1.0,0.87,0.8,0.48,0.36,0.41,0.53,0.39,0.4,0.35,0.38,0.28,0.3
b_1,1.42,1.0,0.81,1.15,1.0,1.21,0.61,0.57,0.55,0.54,0.49,0.43,0.48,0.34,0.41,0.3
a_1,1.64,1.47,1.54,1.24,0.83,1.0,0.69,0.69,0.71,0.58,0.49,0.57,0.65,0.5,0.45,0.37
h_1,2.6,1.98,1.85,2.06,1.62,1.43,1.0,1.05,0.83,0.88,0.85,0.65,0.85,0.66,0.76,0.63
g_1,2.19,2.34,2.14,2.71,1.86,1.53,0.93,1.0,0.94,0.87,0.85,1.0,0.71,0.74,0.67,0.84
d_0,2.36,1.54,3.12,2.43,1.96,1.27,1.26,1.1,1.0,0.76,0.94,0.93,0.95,0.9,0.75,0.79
c_0,2.96,2.25,3.16,1.89,1.76,1.75,1.07,1.18,1.33,1.0,1.38,0.98,0.99,1.06,0.89,0.89
b_0,2.8,2.46,3.06,2.52,2.06,1.95,1.23,1.17,1.02,0.69,1.0,0.93,0.96,1.14,0.71,0.77
f_0,2.88,2.19,2.64,2.49,2.07,1.76,1.41,0.99,1.19,1.03,1.05,1.0,1.12,0.92,0.7,1.16
h_0,3.42,2.53,2.68,2.85,2.23,1.59,1.2,1.43,1.05,1.01,1.02,0.88,1.0,0.89,0.92,0.74
a_0,3.14,2.79,3.37,2.82,3.19,2.37,1.45,1.38,1.09,0.91,0.89,1.08,1.04,1.0,0.88,1.06
g_0,3.36,2.99,3.06,3.47,2.39,2.01,1.31,1.42,1.26,1.08,1.33,1.44,1.1,1.11,1.0,1.0
e_0,4.51,2.3,3.46,3.12,3.47,2.79,1.57,1.19,1.33,1.18,1.3,0.89,1.34,0.87,1.0,1.0
