,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.87,1.36,1.31,1.75,4.46,18.83,29.85,42.0,46.22,54.83,49.85,78.47,101.36,153.5,159.13
f_1,1.14,1.0,1.25,1.25,1.37,3.3,13.96,27.44,24.06,37.69,45.46,47.01,72.57,68.29,77.27,126.73
c_1,0.74,0.8,1.0,1.15,1.48,2.94,14.9,20.91,14.91,33.46,39.93,36.75,64.16,76.59,90.92,100.36
d_1,0.75,0.8,0.87,1.0,0.97,3.01,13.29,16.32,20.31,44.66,38.91,40.25,67.01,63.86,76.79,82.58
b_1,0.58,0.73,0.68,1.03,1.0,3.78,13.18,18.94,20.26,35.13,34.07,46.84,48.2,65.2,75.49,116.13
a_1,0.22,0.3,0.34,0.34,0.26,1.0,4.88,6.55,6.99,12.66,11.71,14.67,17.77,23.99,31.15,33.17
h_1,0.05,0.07,0.07,0.08,0.08,0.2,1.0,1.83,1.48,2.35,2.58,2.74,3.85,4.93,5.79,8.38
g_1,0.04,0.04,0.05,0.06,0.05,0.15,0.55,1.0,0.9,1.57,2.18,1.74,2.62,2.96,4.05,4.7
d_0,0.02,0.04,0.07,0.05,0.05,0.14,0.68,1.12,1.0,1.41,1.75,1.92,2.86,2.94,3.93,5.67
c_0,0.02,0.03,0.03,0.02,0.03,0.08,0.42,0.63,0.66,1.0,1.05,1.53,1.67,1.87,2.21,3.32
f_0,0.02,0.02,0.03,0.03,0.03,0.08,0.38,0.45,0.57,0.86,1.0,1.1,1.58,1.98,3.34,2.17
b_0,0.02,0.02,0.03,0.03,0.02,0.06,0.35,0.6,0.5,0.64,0.92,1.0,2.23,1.7,1.92,2.6
a_0,0.01,0.01,0.02,0.02,0.02,0.05,0.26,0.38,0.35,0.55,0.63,0.46,1.0,1.08,1.56,1.58
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.35,0.35,0.55,0.48,0.55,0.92,1.0,1.19,1.73
e_0,0.01,0.01,0.01,0.01,0.01,0.04,0.17,0.23,0.25,0.44,0.3,0.5,0.61,0.9,1.01,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.21,0.19,0.31,0.46,0.38,0.57,0.56,0.92,1.0
