,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.98,1.19,0.99,1.07,1.11,1.02,1.45,0.91,1.04,1.13,1.1,1.04,1.07,1.06
f_1,1.28,1.0,0.89,1.03,1.0,0.79,0.79,1.03,1.03,0.9,0.94,0.98,0.86,0.94,0.9,1.02
d_1,0.99,1.13,1.0,0.91,0.91,0.94,1.06,0.85,0.99,1.29,1.11,0.97,1.02,0.99,0.92,0.82
c_1,0.86,0.96,1.13,1.0,1.4,0.95,0.91,1.02,0.72,0.82,0.81,0.87,1.0,0.91,0.98,1.05
b_1,1.01,0.98,1.08,0.71,1.0,1.43,1.11,1.13,0.93,1.25,0.91,0.97,1.11,1.0,1.02,1.03
a_1,0.94,1.26,1.08,1.06,0.71,1.0,1.15,1.02,0.96,1.09,1.25,1.16,0.97,1.05,1.1,1.09
h_1,0.93,1.26,0.91,1.1,0.89,0.87,1.0,1.1,0.91,0.89,0.97,0.95,1.05,0.85,0.98,1.22
g_1,0.98,0.99,1.18,0.99,0.88,0.97,0.88,1.0,0.88,1.0,1.04,1.13,0.81,1.0,0.85,0.94
d_0,0.68,0.97,1.01,1.39,1.14,1.0,1.09,1.07,1.0,0.85,0.92,1.05,1.06,0.98,1.12,1.1
c_0,1.11,1.1,0.77,1.26,0.81,0.93,1.13,0.98,1.22,1.0,1.47,1.18,1.04,1.09,1.13,1.02
b_0,0.96,1.1,0.86,1.25,1.02,0.78,1.04,0.97,1.07,0.7,1.0,0.94,1.17,1.6,1.01,1.04
f_0,0.88,0.99,1.01,1.15,1.01,0.86,1.04,0.86,0.92,0.86,0.99,1.0,1.02,1.03,1.45,0.87
h_0,0.92,1.16,0.97,1.01,0.89,0.95,0.93,1.21,0.92,0.92,0.89,0.93,1.0,1.01,0.97,1.09
a_0,0.93,1.09,0.99,1.11,0.98,0.96,1.15,1.06,1.0,0.95,0.65,0.93,0.95,1.0,1.01,0.89
e_0,0.98,1.16,1.05,0.97,1.02,0.86,1.12,1.16,0.88,0.94,1.02,0.68,1.03,1.04,1.0,1.02
g_0,0.95,0.97,1.2,0.98,0.94,0.93,0.82,0.99,0.85,0.99,1.0,1.13,0.93,1.06,1.02,1.0
