,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.54,0.9,0.97,1.21,1.0,0.77,1.22,1.81,1.15,1.23,1.17,1.27,1.22,1.32,0.87,1.05
d_1,0.98,1.57,1.08,0.89,0.9,0.82,1.13,1.07,1.76,1.0,1.4,1.14,1.36,1.15,1.19,1.14
f_1,1.5,0.9,1.56,1.1,0.86,0.79,0.99,1.27,1.08,1.0,1.03,0.87,1.25,1.15,0.79,0.89
c_1,0.96,0.98,1.02,1.56,1.54,0.85,1.19,0.89,1.02,1.05,0.84,1.07,1.21,1.14,0.94,0.86
b_1,1.05,1.08,1.09,0.9,1.62,1.46,1.23,1.19,1.14,1.08,0.97,1.13,1.38,1.28,0.99,0.9
a_1,1.17,1.15,1.21,1.12,0.8,1.76,1.35,1.38,1.26,1.2,1.39,1.4,1.41,1.37,1.19,0.93
h_1,1.21,1.36,1.57,1.22,1.08,0.97,1.89,1.37,1.35,1.59,1.36,1.35,1.34,1.68,1.15,1.22
d_0,1.09,0.99,1.35,2.01,1.42,0.99,1.6,1.82,1.08,1.43,1.4,1.41,1.56,1.35,1.16,1.34
c_0,1.37,1.27,1.41,1.29,1.09,1.11,1.46,1.69,1.87,1.29,2.19,1.58,1.73,1.59,1.36,1.58
g_1,1.01,1.67,1.2,1.28,1.31,1.06,1.39,1.38,1.55,1.94,1.53,1.86,1.47,1.47,1.4,1.26
b_0,1.29,1.26,1.53,1.55,1.17,0.88,1.59,1.52,1.4,1.33,1.9,1.42,1.69,1.67,1.16,2.11
f_0,1.11,1.48,1.23,1.38,1.31,1.11,1.59,1.59,1.57,1.37,1.7,1.91,1.76,1.6,1.99,1.51
h_0,1.4,1.37,1.62,1.41,1.18,1.03,1.41,1.63,1.42,1.72,1.52,1.55,1.5,1.92,1.21,1.27
g_0,1.23,1.87,1.3,1.46,1.26,1.05,1.49,1.54,1.68,1.47,1.51,2.03,1.58,1.4,1.38,1.33
e_0,1.04,1.49,1.7,1.42,1.36,1.12,1.67,1.52,1.71,1.42,1.76,1.61,1.99,1.76,2.03,1.57
a_0,1.37,1.43,1.49,1.71,1.33,1.21,1.71,1.64,1.54,1.65,1.56,1.67,2.0,1.76,1.4,1.91
