,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.52,1.16,0.75,0.73,0.6,0.49,0.75,0.8,0.81,0.79,0.52,0.77,0.61,0.92,0.58,0.87
e_1,0.68,1.52,0.6,0.92,0.78,0.62,0.91,1.44,0.8,0.87,0.91,0.85,0.81,0.96,0.51,0.8
d_1,0.83,0.91,1.55,0.58,0.59,0.64,0.9,0.65,0.66,1.45,0.87,0.93,0.71,0.88,0.85,0.77
c_1,0.77,0.62,0.78,1.56,1.14,0.59,0.84,0.79,0.77,0.52,0.83,0.69,0.74,0.86,0.8,0.91
b_1,0.89,0.66,0.85,0.61,1.6,1.02,0.86,0.87,0.77,0.8,0.98,0.5,0.7,0.95,0.8,0.91
a_1,0.99,0.82,0.79,0.82,0.65,1.76,1.05,1.08,0.85,0.93,0.93,1.13,0.78,0.94,0.75,0.83
h_1,1.25,0.99,0.96,1.0,0.87,0.67,1.75,1.07,1.32,1.11,0.99,1.01,0.97,1.03,0.85,1.4
d_0,1.1,0.79,0.83,1.78,0.99,0.64,1.25,1.63,1.01,0.94,1.03,1.24,1.01,1.21,1.03,1.38
g_1,0.85,0.97,1.59,0.92,0.93,0.74,1.04,1.07,1.84,1.02,1.4,1.24,0.99,1.14,1.1,0.98
c_0,1.27,1.02,0.9,0.76,0.87,0.76,1.38,1.19,1.26,1.64,1.24,2.02,1.4,1.39,1.09,1.27
f_0,0.88,0.92,1.14,1.17,0.91,0.82,1.3,1.31,1.14,1.23,1.72,1.37,1.26,1.32,2.0,1.0
b_0,1.15,1.08,1.14,1.19,0.87,0.49,1.29,1.15,1.12,1.02,1.15,1.74,2.16,1.33,1.03,1.2
a_0,1.2,1.11,1.29,1.07,1.13,0.47,1.42,1.33,1.23,1.17,1.27,0.96,1.73,1.39,1.11,1.27
h_0,1.43,1.01,1.22,1.19,0.94,0.77,0.95,1.22,1.31,1.19,1.1,1.15,1.02,0.93,1.09,1.51
e_0,1.2,0.79,1.15,1.23,1.17,1.0,1.34,1.16,1.13,1.22,1.07,1.26,1.19,1.37,1.77,1.21
g_0,1.04,1.06,1.57,1.15,0.8,0.89,1.27,1.13,0.97,1.18,2.03,1.23,1.14,1.23,1.22,1.03
