,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,117.81,59.79,70.05,131.72,116.12,319.13,9153.04,15428.78,22202.17,41137.05,42888.35,49614.12,123958.46,87962.06,107540.26,176298.94
d_1,75.02,121.06,75.75,86.84,109.59,305.26,9014.25,14826.1,36414.13,17383.79,42255.52,50555.72,118857.3,117897.95,125725.84,170765.29
f_1,101.49,68.08,125.03,89.97,98.17,271.42,7687.01,16241.06,21654.75,24701.7,28566.91,44361.26,93497.09,74764.73,114356.35,174120.97
c_1,48.43,65.44,70.33,158.53,160.98,277.43,7106.23,13333.22,15657.67,17948.54,33813.47,29668.14,107689.91,96855.27,80090.58,162130.19
b_1,55.56,58.5,65.52,74.08,176.91,471.33,7219.33,14675.18,16719.19,21114.72,30716.74,28035.69,111501.07,100825.7,77878.2,155921.1
a_1,43.64,47.79,49.59,67.76,55.77,415.18,4823.42,10774.61,12359.59,16895.67,23825.73,35890.38,68140.09,79221.8,60923.62,98383.47
h_1,17.01,19.82,24.86,27.35,28.26,75.46,3030.12,4988.52,5820.44,6253.6,10392.37,13612.44,27527.8,28000.4,25643.09,58808.84
g_1,13.67,21.09,14.96,18.76,21.85,68.86,1715.26,5279.7,5385.39,4876.82,10988.08,11575.26,21174.94,25384.8,21654.1,36639.02
c_0,13.92,14.27,16.05,16.19,21.71,61.39,1831.69,3362.69,6002.41,5477.99,8002.18,15864.31,22642.99,21061.39,27697.39,38220.98
d_0,10.51,11.78,14.75,32.39,23.24,53.62,1608.27,2826.51,3089.12,6442.26,7221.08,8713.08,23123.22,19759.71,19928.16,35777.17
f_0,9.48,11.91,13.14,16.48,21.41,48.46,1511.21,2893.01,4144.55,4197.38,8975.34,8547.74,22198.68,33202.23,17954.0,29514.97
b_0,10.18,12.84,12.96,19.12,14.86,33.8,1333.76,2467.98,3055.26,3742.02,6129.39,10210.02,20699.33,17652.0,31082.04,28999.39
h_0,7.47,9.38,12.05,13.63,13.12,39.15,845.54,2751.72,2663.45,3162.04,4527.96,5804.1,12602.06,12601.64,13683.27,29273.95
e_0,7.05,9.02,10.99,11.76,12.74,36.26,1125.02,2017.59,2931.05,2794.17,4077.85,6382.0,16553.85,20012.61,13083.3,23757.11
a_0,7.82,8.72,9.88,13.14,13.63,28.42,1112.74,2067.58,2686.22,3041.11,4822.85,5341.31,16692.86,14384.62,19820.14,26426.64
g_0,6.28,10.37,7.36,11.91,11.91,34.83,799.03,1512.27,2415.75,2350.26,5497.2,5458.45,11770.07,12689.12,9882.26,16326.02
