,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.66,1.88,1.39,2.74,1.99,2.07,1.03,0.98,0.82,0.81,0.92,0.85,0.68,0.68,1.62,0.64
d_1,2.66,0.66,1.94,2.18,2.51,1.97,0.89,0.58,0.85,2.23,0.68,0.59,0.65,0.62,0.66,0.4
f_1,2.21,2.24,0.66,1.93,2.09,1.97,0.78,1.04,0.72,0.82,1.24,0.7,0.45,0.68,0.59,0.71
c_1,1.78,2.49,2.54,0.64,2.63,1.63,0.83,1.44,1.4,0.46,0.83,0.66,0.66,0.76,0.74,0.57
b_1,2.44,2.25,2.42,1.29,0.63,2.45,1.1,0.95,0.88,0.79,0.79,1.74,0.71,0.94,1.0,0.69
a_1,2.52,2.54,3.03,2.85,1.4,0.58,1.29,1.3,0.99,1.19,1.09,1.5,0.82,2.33,0.74,0.81
h_1,2.41,2.69,2.63,2.76,2.38,2.74,0.61,1.18,0.87,0.85,0.94,0.96,1.2,0.79,0.77,0.81
g_1,2.78,3.48,2.73,2.68,2.81,2.28,1.1,0.57,0.94,1.25,1.03,1.02,0.53,0.95,0.93,1.49
c_0,2.83,1.69,3.15,7.25,3.85,2.9,1.45,1.29,0.64,1.57,0.92,1.15,0.77,1.21,1.13,1.0
d_0,1.83,5.72,2.99,3.21,2.96,2.53,1.55,1.36,1.07,0.66,1.11,1.22,0.83,1.03,1.0,1.04
f_0,2.52,2.84,7.68,2.88,3.15,3.25,1.51,0.98,1.13,1.15,0.62,1.1,1.02,1.11,1.33,0.77
b_0,3.03,3.06,3.31,5.18,5.09,2.07,1.27,1.19,0.67,1.08,0.97,0.62,1.12,1.33,0.95,0.74
h_0,3.33,3.31,4.16,3.25,2.83,3.34,2.99,2.15,1.52,1.37,1.17,0.98,1.52,1.07,1.0,1.09
a_0,4.14,3.39,3.19,3.41,3.53,,1.65,1.88,1.05,1.48,1.27,0.69,1.07,0.59,1.51,1.04
e_0,6.45,3.16,4.89,3.28,3.1,3.01,1.7,1.58,1.18,1.41,0.63,1.45,1.23,1.29,0.59,0.97
g_0,4.61,3.87,3.5,3.27,3.66,3.09,1.31,2.27,1.22,1.55,1.2,1.46,0.77,1.05,1.39,1.59
