,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,11006.29,3381.14,2502.91,4898.71,8754.64,42178.24,3723553.75,7237733.22,5909684.6,23815490.89,20211672.17,38458403.55,119107326.69,103314002.4,262209593.6,221699180.61
f_1,2635.81,12279.92,5592.1,6508.57,7174.99,25444.24,3959065.82,6612039.6,10083296.01,11027326.12,14547979.21,13865351.57,106971167.36,86512718.57,254522807.15,102464703.57
e_1,2481.23,3188.08,12521.68,7236.37,9590.1,34274.74,4152961.04,5995670.65,19096631.44,12625414.23,17556819.95,32576088.21,98975390.43,92332282.6,224827044.91,89949688.22
c_1,2699.5,2750.76,2795.89,30888.56,16322.91,28986.26,4228573.19,7447156.03,10196245.8,3790405.25,11229419.38,37543247.23,112528546.19,89801018.04,200145224.28,177875537.49
b_1,2954.91,2995.65,3136.4,6859.76,44639.46,69506.15,3168279.84,5891139.14,9545150.17,10028831.28,7632697.03,37116711.56,95325241.42,80813918.77,258832897.7,193633022.87
a_1,3151.94,2992.26,2893.28,6980.79,8270.99,252759.37,4327863.41,8144977.68,10034731.8,11697252.49,19424233.23,34682048.14,106432287.1,51266341.54,271487846.87,217222375.38
h_1,3735.11,5448.44,3208.93,8504.84,9399.26,35768.37,11712578.9,11907392.83,12849946.84,13357528.64,17817136.09,36226486.28,89724660.78,115943750.56,339898952.92,252813611.65
g_1,5360.81,3542.96,3203.08,8284.83,10375.46,34134.86,4514904.72,24053179.04,10467877.83,14598239.6,19340114.38,56240185.26,129312590.61,95771573.68,137466230.98,254329322.09
d_0,2298.68,3737.87,3628.55,15878.37,10239.86,38142.53,5070249.49,8759016.12,23684990.13,12224751.32,21241363.45,31745739.13,127693953.94,88385538.25,271262855.03,295221868.05
c_0,4001.25,4406.02,3569.53,5260.75,8953.88,41446.63,5867642.73,8196087.35,14086867.57,26004930.27,40496982.52,41645035.14,139853202.6,146313897.78,277099722.36,304087389.62
b_0,4034.92,4704.51,3683.64,8799.34,5998.62,39740.75,5522522.54,8462936.7,11164308.02,14624184.66,41647788.9,36078820.69,154155263.56,224173510.16,360094468.47,213079312.9
f_0,4121.5,2731.93,3268.33,7443.0,10843.03,45719.32,4899412.82,8592636.88,14157424.02,16763976.83,22193208.66,89736274.95,128514529.57,136895991.71,324079272.99,590111054.27
h_0,3912.82,5894.96,3986.14,7213.51,9682.18,32918.84,2724806.15,10776403.05,10531501.94,14482430.91,23261062.37,37921631.69,91971219.1,111307955.88,402442026.68,190863615.63
a_0,3372.14,4660.8,3995.48,9142.36,10331.31,17705.42,5392153.77,8129421.96,14587740.86,17961403.74,23406899.75,37952371.93,154308472.93,291570683.65,310611043.46,209589561.5
g_0,5429.0,3143.2,3526.1,8548.18,9557.0,34603.18,3927841.01,5819784.55,10512554.08,15845320.5,22043173.98,64165970.09,131853004.05,115821354.8,211516808.13,268202573.54
e_0,4467.84,4450.45,2535.14,7607.39,11969.12,42878.17,4905601.56,9279535.86,11800495.65,14215068.07,26199301.83,39648021.76,158868331.02,113970825.64,301285180.58,656861039.76
