,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.65,0.91,0.67,1.03,1.07,0.81,0.44,0.46,0.42,0.34,0.35,0.43,0.3,0.43,0.35,0.29
d_1,1.09,0.64,1.0,0.91,0.86,0.81,0.39,0.31,0.4,0.37,0.34,0.32,0.26,0.29,0.31,0.2
f_1,1.13,0.91,0.64,0.98,0.85,0.73,0.36,0.47,0.39,0.34,0.33,0.39,0.21,0.29,0.31,0.29
c_1,0.87,1.22,0.99,0.63,1.17,0.87,0.43,0.46,0.25,0.39,0.32,0.34,0.3,0.32,0.31,0.26
b_1,0.97,1.13,1.25,0.71,0.61,1.25,0.48,0.47,0.36,0.5,0.47,0.4,0.34,0.37,0.3,0.32
a_1,1.29,1.22,1.48,1.11,0.69,0.57,0.58,0.55,0.47,0.48,0.59,0.41,0.34,0.39,0.55,0.37
h_1,1.6,1.57,1.73,1.65,1.43,1.34,0.53,0.71,0.61,0.56,0.59,0.61,0.52,0.55,0.52,0.45
g_1,1.54,1.72,1.71,1.6,1.54,1.45,0.68,0.53,0.61,0.6,0.6,0.61,0.4,0.53,0.53,0.48
d_0,1.23,2.25,1.62,1.92,1.69,1.64,0.88,0.86,0.55,0.65,0.57,0.61,0.51,0.6,0.59,0.53
c_0,1.84,1.25,1.94,2.17,1.57,1.48,0.86,0.73,0.86,0.54,0.73,0.65,0.55,0.62,0.67,0.5
b_0,1.9,1.51,1.8,2.32,1.87,1.43,0.87,0.79,0.83,0.47,0.53,0.68,0.52,0.6,0.64,0.54
f_0,1.55,1.87,2.24,1.82,1.71,1.72,0.83,0.62,0.7,0.67,0.7,0.53,0.57,0.77,0.56,0.41
h_0,1.97,2.04,2.45,1.96,1.91,1.67,0.99,0.94,0.74,0.67,0.74,0.68,0.69,0.65,0.59,0.52
e_0,2.06,2.13,2.85,2.13,1.98,1.77,0.93,0.82,0.77,0.76,0.8,0.5,0.57,0.53,0.68,0.49
a_0,2.02,1.96,2.16,2.68,2.47,2.01,1.02,1.0,0.94,0.6,0.51,0.76,0.62,0.68,0.51,0.61
g_0,2.16,2.42,2.35,2.48,2.02,1.95,0.85,1.05,0.84,0.82,0.81,0.81,0.58,0.76,0.63,0.7
