,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,1.12,1.33,1.69,3.38,14.73,24.87,29.13,30.76,33.81,45.23,69.24,76.53,81.06,128.95
e_1,0.8,1.0,1.12,1.44,2.03,3.6,19.25,27.54,42.16,32.73,38.05,59.65,77.75,82.53,94.41,128.4
d_1,0.91,0.87,1.0,1.03,1.49,3.14,14.11,18.8,26.68,32.25,33.51,39.88,64.52,66.67,76.19,86.95
c_1,0.75,0.67,0.97,1.0,1.9,2.84,12.74,17.1,17.28,22.15,19.31,34.19,56.22,55.31,65.48,85.91
b_1,0.59,0.5,0.66,0.55,1.0,2.96,10.41,13.87,16.0,18.65,21.5,25.18,43.19,37.85,53.97,68.19
a_1,0.29,0.28,0.31,0.35,0.34,1.0,5.14,7.3,9.26,9.29,11.59,12.88,21.59,26.46,28.04,35.14
h_1,0.07,0.06,0.07,0.08,0.09,0.19,1.0,1.67,1.82,1.7,2.06,2.62,4.6,4.5,5.32,7.99
g_1,0.04,0.04,0.05,0.06,0.07,0.14,0.6,1.0,1.16,1.14,1.4,2.32,2.86,3.09,3.65,4.7
d_0,0.03,0.02,0.04,0.06,0.06,0.11,0.56,0.87,1.0,0.83,1.07,1.55,2.61,2.82,3.11,4.28
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.6,0.85,1.2,1.0,1.52,1.57,2.7,3.31,2.95,4.12
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.49,0.73,0.91,0.68,1.0,1.34,2.22,3.48,2.8,3.47
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.36,0.43,0.69,0.62,0.73,1.0,1.73,1.85,2.54,2.11
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.35,0.41,0.37,0.45,0.57,1.0,1.0,1.07,1.79
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.22,0.31,0.36,0.32,0.31,0.59,1.03,1.0,1.29,1.5
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.26,0.31,0.34,0.35,0.39,0.91,0.82,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.22,0.24,0.25,0.29,0.47,0.55,0.65,0.81,1.0
